asset_id,official_name,alternative_name_acronym,asset_type,short_description,owner,operator_maintainer,official_url,geographic_coverage,sector_product_process_coverage,intended_users,main_use_cases,language,temporal_coverage,current_version,release_update_date,maintenance_status,access_model,licence_or_usage_rights,commercial_restricted_open_status,registration_requirement,governance_arrangement,long_term_stewardship_information,data_content_type,data_model_or_schema,exchange_format,api_or_machine_readable_interface,nomenclature_classification,identifiers,metadata_approach,versioning_mechanism,documentation_availability,qa_validation_approach,review_procedure,data_quality_documentation,methodological_basis,provenance_information,citation_mechanism,known_limitations,related_assets,relationship_type,evidence_for_relationship,import_export_compatibility,existing_mapping_or_conversion,potential_interoperability_opportunity,known_interoperability_constraint,primary_sources,supporting_sources,evidence_excerpt,access_date,confidence_level,unresolved_questions,public_evidence_status
LCA-FMT-0006,EcoSpold 1,ecoSpold v1,Data schema / exchange format,Historical XML life-cycle inventory exchange format that preceded ecoSpold2 and remains relevant for legacy datasets and converters.,ecoinvent / former EcoSpold development community,Historical format; no active maintenance identified,https://support.ecoinvent.org/data-formats-overview,Global technical legacy,Cross-sector LCI datasets,"Legacy database users, software developers and conversion-tool maintainers",Legacy LCI exchange and migration,English technical resources,Not publicly confirmed,Version 1 legacy format,Not publicly confirmed,Superseded / not actively used,Public historical documentation where available,Not publicly confirmed,Public legacy specification context,No for public overview,Superseded by ecoinvent's ecoSpold2,Not publicly confirmed,XML LCI process datasets,XML,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Historical version family,Public format overview and third-party legacy documentation,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Essential modern features such as parameters and formulas are missing; current use is limited,ecoSpold2; Lavoisier; openLCA schema,predecessor/legacy conversion,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://support.ecoinvent.org/data-formats-overview ; https://github.com/GreenDelta/olca-schema/blob/master/intro.md,Not publicly confirmed,Current format documentation treats EcoSpold 1 as a legacy exchange format superseded by ecoSpold2 and no longer widely used.,2026-08-22,Medium,"Authoritative archived schema, original licence and final release identifier",Legacy identity and supersession verified; archival details incomplete
LCA-DB-0018,World Food LCA Database,WFLDB,Database / dataset,"International life-cycle inventory database for agricultural commodities, food ingredients and processing activities.",Quantis,Quantis and WFLDB partners,https://quantis.com/services-solutions/consortium-building-and-management/wfldb/,150+ countries stated by provider,"Agri-food; 3,800+ datasets and 12,000 sub-datasets stated","Agri-food companies, researchers and LCA practitioners","Food LCA, carbon/water/land footprints and decision support",English public documentation,Not publicly confirmed,Current provider-hosted release; numbered release not stated on public page,Not publicly confirmed,Active,Access through commercial eQosphere software; public metadata and dataset list,Commercial terms,Commercial / restricted,Contact or licence required; not used,Quantis-led initiative with industry and research partners,Not publicly confirmed,Documented and disaggregated food LCI datasets,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Public overview and dataset list,Provider states external expert review and documented datasets,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Underlying database and methodology package were not accessed,Agri-footprint; ecoinvent; eQosphere,sector database; software distribution,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://quantis.com/services-solutions/consortium-building-and-management/wfldb/,Not publicly confirmed,"Quantis identifies WFLDB as an international agri-food LCI database with 3,800+ datasets, 12,000 sub-datasets and coverage in 150+ countries.",2026-08-22,High,"Current release identifier, detailed licence and dataset-level geography",Public scope and access metadata verified; database not accessed
LCA-DB-0019,RIVM Database on the environmental impact of food products,Database milieubelasting voedingsmiddelen; RIVM food LCA database,Database / dataset,Public Dutch database of life-cycle environmental results for generic food products and several system boundaries.,National Institute for Public Health and the Environment (RIVM),RIVM; LCI update performed by Mérieux NutriSciences | Blonk,https://www.rivm.nl/en/food-and-nutrition/sustainable-food/environmental-impact-of-food-products,Netherlands market and consumption context,Approximately 400 generic food products,"Researchers, policymakers and food-system analysts","Dietary footprint research, monitoring and category-level comparison",Dutch data with Dutch/English documentation,2019 and 2024 versions published side by side,2024 database version; published 2026-03-30,2026-03-30,Active,Free public XLSX download,CC BY 4.0,Open,No,RIVM public programme for the Dutch agriculture ministry,Not publicly confirmed,Calculated LCIA results for three food-chain system boundaries,Not publicly confirmed,XLSX,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Dated database versions,Public method and limitations,ISO 14040/44-aligned modelling; no critical review for individual-product comparisons,Not publicly confirmed,Not publicly confirmed,Attributional LCA using SimaPro and ReCiPe 2016 midpoint indicators,Not publicly confirmed,Not publicly confirmed,Not critically reviewed for comparative assertions between individual products; 2019 and 2024 results are not directly comparable,ReCiPe 2016; SimaPro; Agri-footprint,method/software/background implementation,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://www.rivm.nl/en/food-and-nutrition/sustainable-food/environmental-impact-of-food-products,Not publicly confirmed,RIVM publishes free CC BY 4.0 food LCA results for about 400 products and states explicit comparison and critical-review limitations.,2026-08-22,High,Stable machine-readable identifiers for products and version lineage,"Public database, licence and method verified"
LCA-DB-0020,ProBas 2,ProBas; Prozessorientierte Basisdaten für Umweltmanagement-Instrumente,Database / dataset,German federal public database of process-oriented environmental and life-cycle inventory data.,"German Environment Agency (Umweltbundesamt, UBA)",German Environment Agency,https://data.probas.umweltbundesamt.de/,Germany with international source datasets,"Cross-sector; predecessor page states more than 20,000 datasets","LCA practitioners, environmental managers, researchers and public users","Life-cycle inventory, environmental reporting and background-data research",German; technical interface partly English,Not publicly confirmed,ProBas2 soda4LCA 7.28.0 observed,Not publicly confirmed,Active successor interface,Public searchable stocks and standard export functions,Dataset-source-specific responsibilities and terms,Public/mixed-source,No for visible public stocks; login exists for privileged functions,Federal public database; data responsibility remains with dataset creators,Not publicly confirmed,Unit-process and other environmental datasets,Not publicly confirmed,soda4LCA/ILCD-style standard exports,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Data-stock and dataset versions,Public database interface and predecessor overview,Source-level responsibility; platform metadata and standard formats,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Mixed provenance and varying dataset ages; detailed rights are dataset-specific,soda4LCA; ILCD Data Format; LCDN; openLCA Nexus; openLCA,platform/schema implementation,Not publicly confirmed; Public openLCA Nexus metadata lists ProBas with openLCA-oriented groups/packages and formats (https://nexus.openlca.org/ws/dataproviders/8101),Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://data.probas.umweltbundesamt.de/ ; https://www.probas.umweltbundesamt.de/,Not publicly confirmed; https://nexus.openlca.org/ws/dataproviders/8101; https://nexus.openlca.org/databases,UBA provides ProBas process data publicly and the successor ProBas2 exposes public stocks through a soda4LCA interface.,2026-08-22,High,"Formal migration completeness, dataset counts in ProBas2 and current licence matrix",Public federal database and access verified
LCA-DB-0021,INIES Database,INIES,Database / dataset,"French national reference database for environmental and health declarations, life-cycle inventories and other building data.",INIES governance partners under French public convention,Alliance HQE-GBC and INIES governance bodies,https://www.inies.fr/en/accueil/,France,"Construction products, building equipment and related LCI","Building LCA practitioners, manufacturers, verifiers, regulators and software providers","RE2020 building LCA, FDES/PEP consultation and verified declaration publication",French and English,Not publicly confirmed,Continuously updated online database,Not publicly confirmed,Active,All database data viewable online free of charge; declaration and some web-service functions use accounts/contracts,Database terms and declaration-programme rules,Public consultation / controlled submission and services,No for consultation; yes for declaration account,Supervisory board and technical committee; state-conventioned verification programmes,Not publicly confirmed,"FDES, PEP, life-cycle inventories, configurator and regulatory data",Not publicly confirmed,Not publicly confirmed,Digitised-data web service,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Declaration and database updates,"Public guides, FAQ, programme and verification documentation",Programme verification and admission procedures,Not publicly confirmed,Not publicly confirmed,NF EN 15804 and French national supplement for construction declarations,Not publicly confirmed,Not publicly confirmed,Direct database links are not stable; machine service conditions differ from free viewing,EN 15804; ILCD+EPD; ECO Platform,conformance; exchange; network participation,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://www.inies.fr/en/accueil/ ; https://www.inies.fr/en/ressources-documentaires/how-to-consult-the-inies-database/,Not publicly confirmed,INIES identifies itself as the French reference building database and states that all data can be consulted online free of charge.,2026-08-22,High,"Current API terms, machine-readable format profiles and dataset-level licence fields","Public database, governance and consultation access verified"
LCA-DB-0022,PlasticsEurope Eco-profiles,PlasticsEurope LCI and EPD set,Database / dataset,Industry-maintained collection of life-cycle inventory datasets and environmental product declarations for plastics and precursor materials.,Plastics Europe,Plastics Europe and relevant sector groups,https://plasticseurope.org/sustainability/circularity/life-cycle-thinking/eco-profiles-set/,"Primarily European production, with product-specific scopes","Plastics, polymers, feedstocks and conversion processes","LCA practitioners, plastics producers and downstream users","Plastic-product LCA, background data and EPD use",English,Not publicly confirmed,Product-specific packages; methodology version 3.1; selected profiles updated 2026-03,Not publicly confirmed,Active with mixed current and withdrawn packages,Public downloadable reports and datasets in several formats; obsolete data available on request,Package-specific terms not fully confirmed,Public downloads / mixed legacy access,No for current public downloads,Industry-association programme with sector data providers,Not publicly confirmed,"LCI datasets, EPDs and methodology reports",Not publicly confirmed,Several downloadable formats; aggregated versions in commercial databases,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Product-specific calculation/process dates and methodology versions,Public methodology and dataset packages,"Methodology, sector review and update notes",Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,"Dataset age, format and scope vary; some legacy packages are withdrawn",ecoinvent; SimaPro; Sphera Managed LCA Content; GLAD,distribution and aggregation,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://plasticseurope.org/sustainability/circularity/life-cycle-thinking/eco-profiles-set/,Not publicly confirmed,PlasticsEurope publishes LCI and EPD packages for plastics in several formats and records current and withdrawn datasets plus a methodology document.,2026-08-22,High,"Complete inventory of active packages, licence consistency and current format versions",Public dataset collection and methodology verified
LCA-DB-0023,worldsteel Life Cycle Inventory Database,worldsteel LCI data; worldsteel eco-profiles,Database / dataset,Global and regional life-cycle inventory data and eco-profiles for steel products.,World Steel Association,worldsteel,https://worldsteel.org/wider-sustainability/life-cycle-thinking/life-cycle-inventory-data-and-eco-profiles/,Global and regional,16 steel products in the current 2024 LCI dataset,"Steel customers, designers, LCA practitioners and researchers","Steel LCA, materials comparison and product/environmental assessment",English,Not publicly confirmed,2024 LCI dataset (released 2026-05),2026-05,Active periodic study series,Eco-profiles publicly downloadable; full LCI data via request form,worldsteel terms,Mixed public outputs / request-based data,Request form for full LCI dataset; not used,Industry-association global LCI study,Not publicly confirmed,LCI data and cradle-to-gate/recycling-credit eco-profiles,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Study and data-year releases,Public methodology and eco-profiles; detailed current study report pending at access date,ISO 14040/44-aligned worldsteel methodology,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Full current LCI package requires a request and the detailed 2024 study report was announced but not yet published,ISO 14040; ISO 14044; openLCA Nexus; openLCA,method conformance,Not publicly confirmed; Public openLCA Nexus metadata lists worldsteel with openLCA-oriented groups/packages and formats (https://nexus.openlca.org/ws/dataproviders/9751),Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://worldsteel.org/wider-sustainability/life-cycle-thinking/life-cycle-inventory-data-and-eco-profiles/,Not publicly confirmed; https://nexus.openlca.org/ws/dataproviders/9751; https://nexus.openlca.org/databases,worldsteel states that the current 2024 LCI dataset was released in May 2026 and covers 16 steel products with global and regional data.,2026-08-22,High,"Full data licence, exact regional coverage and publication of the detailed 2024 report",Public release metadata and eco-profiles verified; full data not requested
LCA-FMT-0007,openEPD Interchange Format,openEPD,Data schema / exchange format,Open JSON/OpenAPI-oriented interchange format for digital environmental product declarations and related entities.,openEPD Forum / Building Transparency ecosystem,openEPD contributors and reference implementers,https://www.open-epd-forum.org/,Global technical scope,"EPDs, initially construction materials with extensible sector specifications","EPD programme operators, databases, software developers and LCA practitioners","Digital EPD exchange, validation, API integration and machine processing",English technical documentation,Not publicly confirmed,Versioned public specification; exact release identifier requires capture,Not publicly confirmed,Active,Free public specification and reference code,Open implementation principles; repository-level licences,Open,No for specification,Open forum with sector extensions and public documentation,Not publicly confirmed,"EPD, PCR, organisation, plant, measurement and material-spec schemas",JSON-compatible schemas and OpenAPI 3.0,Not publicly confirmed,REST API schemas,Not publicly confirmed,open-xpd UUID-style identifiers and source URLs,Not publicly confirmed,Document and schema versions with backward-compatibility goal,"Public format guide, API and changelog","Mandatory fields, precise definitions, examples and reference helper functions",Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Sector extensions vary in maturity and full conformance governance remains to be assessed,ISO 14025; EN 15804; ILCD+EPD,standards compatibility and format interoperability,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://docs.open-epd-forum.org/en/open-epd-format/ ; https://docs.open-epd-forum.org/en/open-epd-format-1/,Not publicly confirmed,"openEPD is a free, versioned and extensible digital EPD format compatible with ISO 14025, EN 15804, ILCD+EPD and OpenAPI.",2026-08-22,High,"Canonical version number, formal governance charter and conformance-test coverage",Public specification and interoperability claims verified
LCA-FMT-0008,PACT Technical Specifications for PCF Data Exchange,PACT Technical Specifications; Pathfinder data exchange protocol,Data schema / exchange format,Versioned data model and HTTP API specification for interoperable exchange of product carbon footprints.,World Business Council for Sustainable Development,Partnership for Carbon Transparency (PACT),https://wbcsd.github.io/data-exchange-protocol/,Global technical scope,Cross-sector product carbon footprint data,"Software providers, auditors, sustainability teams and value-chain partners","Peer-to-peer PCF data exchange, assurance metadata and interoperable networks",English,Not publicly confirmed,3.0.3 latest stable stated on current index,Not publicly confirmed,Active,"Public specification, OpenAPI and simplified models",Public licence in specification appendix,Open specification,No,PACT/WBCSD consensus process with public release repository,Not publicly confirmed,"ProductFootprint/CarbonFootprint data model, data-quality/assurance fields and HTTP REST API",JSON/OpenAPI plus simplified Excel/HTML model,Not publicly confirmed,HTTP REST API and OpenAPI schema,Not publicly confirmed,UUID-based product-footprint records and version lineage,Not publicly confirmed,Semantic specification releases and stable timestamped records,"Public current and archived versions, changelogs and methodology references","Conformance requirements, consensus review and versioned release source of truth",Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,It exchanges PCF results rather than full multi-impact LCA inventories; method version and implementation compatibility matter,PACT Methodology; GHG Protocol Product Standard; ISO 14067,method implementation and data exchange,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://wbcsd.github.io/data-exchange-protocol/ ; https://wbcsd.github.io/tr/,Not publicly confirmed,PACT publishes a versioned PCF data model and exchange API; the current index lists 3.0.3 as latest stable.,2026-08-22,High,Adoption/conformance registry and long-term compatibility policy beyond major versions,Public versioned specification and schemas verified
LCA-STD-0007,ISO 14044:2006,ISO 14044; Environmental management — Life cycle assessment — Requirements and guidelines,Method / guidance (incl. LCIA),"International standard specifying requirements and guidelines for LCA and LCI studies, reporting and critical review.",International Organization for Standardization,ISO/TC 207/SC 5,https://www.iso.org/standard/38498.html,International,Cross-sector,"LCA practitioners, reviewers, programme owners and standard setters","Requirements for LCA/LCI studies, impact assessment, interpretation, reporting and critical review",Multiple ISO publication languages,Not publicly confirmed,ISO 14044:2006 with Amendments 1:2017 and 2:2020,2006-07; confirmed current in 2022,Current / periodically reviewed,Public catalogue abstract; full standard sold by ISO/member bodies,ISO copyright,Restricted standard / public metadata,No for catalogue metadata; purchase for full text; not used,ISO/TC 207/SC 5,Not publicly confirmed,Normative LCA requirements and guidance,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,"Edition, amendments and systematic review",Public abstract and metadata; full text not accessed,International standards development and review,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Full normative clauses were not accessed due to purchase restriction,ISO 14040; ILCD Handbook; GHG Protocol Product Standard,core conformance basis,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://www.iso.org/standard/38498.html,Not publicly confirmed,"ISO identifies the 2006 edition as current, confirmed in 2022, with two amendments and requirements covering all LCA phases and critical review.",2026-08-22,High,Timing and scope of the next revision,Public ISO catalogue metadata verified; full text not accessed
LCA-MTH-0011,CML-IA characterisation factors,CML-IA; CML 2001 baseline,Method / guidance (incl. LCIA),Midpoint life-cycle impact assessment method and characterisation-factor set developed by Leiden University's Institute of Environmental Sciences.,"Leiden University, Institute of Environmental Sciences (CML)",CML-IE; public resources are now largely archival,https://www.universiteitleiden.nl/en/research/research-output/science/cml-ia-characterisation-factors,Global/non-regional method with category-specific models,Cross-sector LCIA,"LCA practitioners, software/database providers and researchers",Midpoint impact characterisation and legacy LCA comparability,English,Not publicly confirmed,Version 4.8 (2016) commonly implemented; owner page availability intermittent,2016 for v4.8,Legacy/archival with continued software use,Public characterisation-factor resources and archival documentation,Not clearly stated on accessible owner pages,Public method resources,No,Developed by CML at Leiden University,Not publicly confirmed,Characterisation and normalisation factors,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Numbered factor releases,Owner archival resources and handbook; no recent maintenance record confirmed,Peer-reviewed guide and internal/external review stated by CML,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Ageing factors and fragmented archival hosting; users must cite the exact implementation version,SimaPro; openLCA; ecoinvent,software/database method implementation,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://web.universiteitleiden.nl/cml/ssp/projects/lca2/ ; https://www.universiteitleiden.nl/en/research/research-output/science/cml-ia-characterisation-factors,Not publicly confirmed,Leiden CML provides the characterisation-factor resources; public implementations identify v4.8 (2016) as the current legacy release.,2026-08-22,Medium,"Authoritative current download, licence and whether formal maintenance has ceased",Identity and legacy factor set verified; current maintenance/licence incomplete
LCA-MTH-0012,Global Life Cycle Impact Assessment Method,GLAM; GLAM 1.0,Method / guidance (incl. LCIA),"Consensus-based global LCIA method covering midpoint and damage characterisation, normalisation and weighting.",UNEP-hosted Life Cycle Initiative,Life Cycle Initiative GLAM stewardship community,https://www.lifecycleinitiative.org/activities/life-cycle-assessment-data-and-methods/global-guidance-for-life-cycle-impact-assessment-indicators-and-methods-glam/,Global with regionalized factors where applicable,Cross-sector products and services,"LCA practitioners, method developers, software providers and policymakers","Consistent global LCIA, method implementation and harmonization",English,Not publicly confirmed,GLAM 1.0.2024.10,2024-10,Active stewardship from 2026,Public downloadable method files and documentation,Public resource terms; file-level licence requires capture,Open public method resources,No,"UNEP-hosted, consensus-based project with hundreds of experts and current stewardship",Not publicly confirmed,"Approximately one million characterisation factors for 14,000 LCI flows and 22 impact categories stated",Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Numbered dated releases and stewardship updates,"Public spreadsheets, documentation and project history","Multi-year expert consensus, consultations and review workshops",Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Software implementation and LCI-flow mapping are still being expanded,GLAD network; AWARE; Life Cycle Initiative,nomenclature mapping and programme governance,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://www.lifecycleinitiative.org/activities/life-cycle-assessment-data-and-methods/global-guidance-for-life-cycle-impact-assessment-indicators-and-methods-glam/,Not publicly confirmed,The Life Cycle Initiative launched GLAM 1.0.2024.10 after an 11-year consensus process and began an active stewardship phase in 2026.,2026-08-22,High,"File-level licences, supported software packages and exact mapping release to GLAD flows","Public method, version, governance and downloads verified"
LCA-QA-0002,US EPA Guidance on Data Quality Assessment for Life Cycle Inventory Data,US EPA LCI Data Quality System; EPA pedigree matrices,QA / validation system,Public data-quality indicator and pedigree-matrix system for assessing LCI flows and unit processes.,United States Environmental Protection Agency,US EPA Office of Research and Development,https://cfpub.epa.gov/si/si_public_record_report.cfm?Lab=NRMRL&dirEntryId=321834,General LCI use with US EPA institutional origin,Cross-sector LCI data,"LCI data collectors, practitioners, reviewers and managers","Data-quality goals, pedigree scoring, review and documentation",English,Not publicly confirmed,EPA/600/R-16/096 (2016),2016-06-20,"Published guidance; designed to be updateable, but no newer edition confirmed",Public report and text,US government publication terms,Open public guidance,No,US EPA ORD research guidance,Not publicly confirmed,"Flow- and process-level indicators, pedigree matrices, examples and limitations",Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Report editions,Public full report and science inventory record,Flow indicators for reliability/representativeness/data collection; process indicators for review and completeness,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Semi-quantitative guidance does not replace practitioner judgment and does not cover every ISO data-quality dimension,USLCI; Federal LCA Commons; ISO 14044; ecoinvent Data Quality Guidelines,validation guidance,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://cfpub.epa.gov/si/si_public_record_report.cfm?Lab=NRMRL&dirEntryId=321834,Not publicly confirmed,US EPA's 2016 guidance defines a two-level pedigree matrix and aims to improve reproducibility of LCI data-quality assessments.,2026-08-22,High,Whether a maintained machine-readable implementation or successor edition exists,Public official data-quality guidance verified
LCA-QA-0003,Environmental Footprint Data Quality Rating,PEF DQR; EF Data Quality Rating,QA / validation system,Data-quality scoring and representativeness framework embedded in the EU Environmental Footprint methods.,European Commission,European Commission Joint Research Centre and Environmental Footprint governance,https://op.europa.eu/en/publication-detail/-/publication/867f763f-01d7-11ed-acce-01aa75ed71a1,European Union method with wider use,"Products, organisations and EF-compliant life-cycle datasets","PEF/OEF practitioners, dataset providers, reviewers and programme operators","Scoring technological, geographical and time representativeness plus precision/uncertainty",All EU publication languages,Not publicly confirmed,Commission Recommendation (EU) 2021/2279 method annexes; current EF implementation updates apply,2021-12-30,Active component of Environmental Footprint methods,Public recommendation and method annexes,EU reuse terms,Open public documentation,No,European Commission/JRC method governance,Not publicly confirmed,"DQR criteria, formulas, requirements and review/application rules",Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Recommendation/method and sector-rule revisions,Public EU publication formats,Quantified DQR based on representativeness and precision/uncertainty criteria,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,DQR application is method/profile-specific and can depend on EF-compliant dataset metadata,Product Environmental Footprint method; Environmental Footprint database; ILCD/eILCD format family,embedded QA method,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://op.europa.eu/en/publication-detail/-/publication/867f763f-01d7-11ed-acce-01aa75ed71a1,Not publicly confirmed,Commission Recommendation (EU) 2021/2279 publishes the Environmental Footprint methods and their data-quality requirements as public annexes.,2026-08-22,High,Current implementation guidance and machine-validation rules by EF package version,Public EU method and QA framework verified
LCA-NET-0005,Life Cycle Initiative,UNEP Life Cycle Initiative; UNEP/SETAC Life Cycle Initiative,Platform / repository / network,"UNEP-hosted global multi-stakeholder partnership advancing life-cycle knowledge, methods, data access and capacity building.",United Nations Environment Programme,Life Cycle Initiative secretariat and steering governance,https://www.lifecycleinitiative.org/,Global,"Cross-sector environmental, social and economic life-cycle knowledge","Governments, businesses, researchers, civil society and practitioners","Consensus building, global methods/data infrastructure, guidance, capacity and networks",English with multilingual resources,Not publicly confirmed,Strategic approach 2022–2027,Not publicly confirmed,Active,"Public website, reports, tools and network resources",Resource-specific public terms,Open public programme,No for public resources; membership and newsletters optional,"UNEP-hosted public-private multi-stakeholder partnership, launched with SETAC in 2002",Not publicly confirmed,"Methods, guidance, databases/network programmes, tools and capacity resources",Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,"Strategies, project releases and governed tool/method versions","Public strategy, governance, reports and project pages",Multi-stakeholder consensus and expert project governance,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,"The initiative is a portfolio/network, so individual outputs require separate asset records",GLAD; GLAM; USEtox; Social LCA Guidelines,programme governance/development,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://www.lifecycleinitiative.org/about/our-mission-vision-and-approach/,Not publicly confirmed,The Life Cycle Initiative is a UNEP-hosted global multi-stakeholder partnership launched in 2002 to build consensus and access to life-cycle knowledge.,2026-08-22,High,Complete canonical inventory of active and retired initiative outputs,"Public mission, governance and programme activity verified"
LCA-SW-0010,LCA as Code,LCA-as-Code,Software / API / tool,"Domain-specific language and development environment for parameterized, version-controlled and reproducible LCA models.",LCA as Code project/provider,LCA as Code team,https://lca-as-code.com/,Global technical scope,Cross-sector LCA models,"LCA consultants, database vendors, researchers and companies","Parametric modelling, automated scenario generation, version control and reproducible LCA",English documentation and text-based modelling language,Not publicly confirmed,1.7.12,2025-02,Active public product/download page,Free functional JetBrains plugin; demo/contact for broader deployment,Product terms not fully confirmed,Freely downloadable component / commercial services,No account stated for public documentation/download; demo uses contact form and was not requested,Provider-maintained software,Not publicly confirmed,"Text models, templates, calculation and development tooling",Not publicly confirmed,"Imports SimaPro, ecoinvent and openLCA; exports ecoSpold2, ILCD and CSV",Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Numbered releases,Public product page and tutorial,Built-in consistency checks and code/version-control workflow,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,"Licence, source availability and full deployment architecture were not publicly clear",ecoinvent; SimaPro; openLCA; ecoSpold2; ILCD Data Format,import/export and model execution,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://lca-as-code.com/,Not publicly confirmed,"The public site documents version 1.7.12, a text-based LCA language, parameterized models, checks and imports/exports to major LCA systems.",2026-08-22,High,"Formal licence, source-code availability and current roadmap","Public software functions, version and download verified"
