release_record_id,asset_id,asset_name,asset_type,release_line,first_development_release_year,version,release_date,lifecycle_status,predecessor_release,successor_release,release_evidence_urls,evidence_status,evidence_as_of,notes
RLS-0011,LCA-DB-0003,Agri-footprint,Database / dataset,Database release,2014,v5,2019,Historical release,v4,v6.3 methodology/reporting line,https://blonksustainability.nl/tools/agri-footprint/bugs | https://blonksustainability.nl/previous-versions-of-agri-footprint-methodology-reports,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0012,LCA-DB-0003,Agri-footprint,Database / dataset,Methodology/database milestone,2014,v6.3 methodology/reporting line,2022–2023,Historical release,v5,v7.0,https://blonksustainability.nl/tools/agri-footprint/bugs | https://blonksustainability.nl/previous-versions-of-agri-footprint-methodology-reports,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0013,LCA-DB-0003,Agri-footprint,Database / dataset,Database release,2014,v7.0,2025-05,Current release,v6.3 methodology/reporting line,None recorded after evidence cut-off,https://blonksustainability.nl/tools-and-databases/agri-footprint,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0014,LCA-DB-0004,AGRIBALYSE,Database / dataset,Development milestone,2009 programme; database v1 in 2013,Programme launch,2009,Development milestone,None recorded in verified milestone set,v1,https://www.ademe.fr/presse/communique-national/lademe-et-inrae-devoilent-la-nouvelle-version-de-la-base-de-donnees-agribalyse-au-service-de-lalimentation-durable/ | https://data.ademe.fr/datasets/agribalyse-31-detail-par-etape,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0015,LCA-DB-0004,AGRIBALYSE,Database / dataset,First database publication,2009 programme; database v1 in 2013,v1,2013,Historical release,Programme launch,v3.0,https://www.ademe.fr/presse/communique-national/lademe-et-inrae-devoilent-la-nouvelle-version-de-la-base-de-donnees-agribalyse-au-service-de-lalimentation-durable/ | https://data.ademe.fr/datasets/agribalyse-31-detail-par-etape,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0016,LCA-DB-0004,AGRIBALYSE,Database / dataset,Major database release,2009 programme; database v1 in 2013,v3.0,2020-09-29,Historical release,v1,v3.2,https://www.ademe.fr/presse/communique-national/lademe-et-inrae-devoilent-la-nouvelle-version-de-la-base-de-donnees-agribalyse-au-service-de-lalimentation-durable/ | https://data.ademe.fr/datasets/agribalyse-31-detail-par-etape,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0017,LCA-DB-0004,AGRIBALYSE,Database / dataset,Database release,2009 programme; database v1 in 2013,v3.2,2025-09-05,Current release,v3.0,None recorded after evidence cut-off,https://www.ademe.fr/presse/communique-national/lademe-et-inrae-devoilent-la-nouvelle-version-de-la-base-de-donnees-agribalyse-au-service-de-lalimentation-durable/ | https://data.ademe.fr/datasets/agribalyse-31-detail-par-etape,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0018,LCA-DB-0005,Swiss Federal Administration LCI Database (BAFU),Database / dataset,Current known release snapshot,Not publicly confirmed,BAFU:2026 Version 1,2026-06-22,Active annual/versioned programme,BAFU:2025,Not publicly confirmed,https://nexus.openlca.org/ws/dataproviders/10465,Current public provider release verified,2026-08-25,Current snapshot; intermediate annual releases remain separate evidence work.
RLS-0019,LCA-DB-0006,cm.chemicals,Database / dataset,Database family launch,2021,v1.00,2021,Historical release,None recorded in verified milestone set,v1.01,https://www.carbon-minds.com/products/data/carbon-footprint-and-lca-data/database-and-methodology-versions/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0020,LCA-DB-0006,cm.chemicals,Database / dataset,Database release,2021,v1.01,2022-09,Historical release,v1.00,v2.00,https://www.carbon-minds.com/products/data/carbon-footprint-and-lca-data/database-and-methodology-versions/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0021,LCA-DB-0006,cm.chemicals,Database / dataset,Database release,2021,v2.00,2023-07,Historical release,v1.01,v2.01,https://www.carbon-minds.com/products/data/carbon-footprint-and-lca-data/database-and-methodology-versions/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0022,LCA-DB-0006,cm.chemicals,Database / dataset,Database release,2021,v2.01,2024-03,Historical release,v2.00,v2.02,https://www.carbon-minds.com/products/data/carbon-footprint-and-lca-data/database-and-methodology-versions/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0023,LCA-DB-0006,cm.chemicals,Database / dataset,Database release,2021,v2.02,2025-04,Historical release,v2.01,v2.03,https://www.carbon-minds.com/products/data/carbon-footprint-and-lca-data/database-and-methodology-versions/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0024,LCA-DB-0006,cm.chemicals,Database / dataset,Database release,2021,v2.03,2026-06,Current release,v2.02,None recorded after evidence cut-off,https://www.carbon-minds.com/products/data/carbon-footprint-and-lca-data/database-and-methodology-versions/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0025,LCA-DB-0007,EXIOBASE 3,Database / dataset,Documented database-generation milestone,2018 documented public v3 line,v3 documented compilation/public line,2018,Historical release,None recorded in verified milestone set,v3.8.2,https://zenodo.org/records/5589597 | https://zenodo.org/records/20051562 | https://github.com/EXIOBASE,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0026,LCA-DB-0007,EXIOBASE 3,Database / dataset,Public database release,2018 documented public v3 line,v3.8.2,2021-10-21,Historical release,v3 documented compilation/public line,v3.9.0 internal beta,https://zenodo.org/records/5589597 | https://zenodo.org/records/20051562 | https://github.com/EXIOBASE,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0027,LCA-DB-0007,EXIOBASE 3,Database / dataset,Internal release,2018 documented public v3 line,v3.9.0 internal beta,2022-02,Internal release,v3.8.2,v3.9.2 internal,https://zenodo.org/records/5589597 | https://zenodo.org/records/20051562 | https://github.com/EXIOBASE,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0028,LCA-DB-0007,EXIOBASE 3,Database / dataset,Internal release,2018 documented public v3 line,v3.9.2 internal,2023-08,Internal release,v3.9.0 internal beta,v3.9.3 internal,https://zenodo.org/records/5589597 | https://zenodo.org/records/20051562 | https://github.com/EXIOBASE,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0029,LCA-DB-0007,EXIOBASE 3,Database / dataset,Internal release,2018 documented public v3 line,v3.9.3 internal,2023-10,Internal release,v3.9.2 internal,v3.9.4,https://zenodo.org/records/5589597 | https://zenodo.org/records/20051562 | https://github.com/EXIOBASE,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0030,LCA-DB-0007,EXIOBASE 3,Database / dataset,Database release,2018 documented public v3 line,v3.9.4,2025-01,Historical release,v3.9.3 internal,v3.9.5,https://zenodo.org/records/5589597 | https://zenodo.org/records/20051562 | https://github.com/EXIOBASE,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0031,LCA-DB-0007,EXIOBASE 3,Database / dataset,Database release,2018 documented public v3 line,v3.9.5,2025-02,Historical release,v3.9.4,v3.9.6,https://zenodo.org/records/5589597 | https://zenodo.org/records/20051562 | https://github.com/EXIOBASE,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0032,LCA-DB-0007,EXIOBASE 3,Database / dataset,Database release,2018 documented public v3 line,v3.9.6,2025-06,Historical release,v3.9.5,v3.10.1,https://zenodo.org/records/5589597 | https://zenodo.org/records/20051562 | https://github.com/EXIOBASE,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0033,LCA-DB-0007,EXIOBASE 3,Database / dataset,Database release,2018 documented public v3 line,v3.10.1,2026-03-23,Historical release,v3.9.6,v3.10.2,https://zenodo.org/records/5589597 | https://zenodo.org/records/20051562 | https://github.com/EXIOBASE,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0034,LCA-DB-0007,EXIOBASE 3,Database / dataset,Database release,2018 documented public v3 line,v3.10.2,2026-05,Current DOI-stamped release,v3.10.1,None recorded after evidence cut-off,https://zenodo.org/records/20051562,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0035,LCA-DB-0008,AIST-IDEA,Database / dataset,Current known release snapshot,Not publicly confirmed,v4,Not publicly confirmed,Active; minor adjustments stated in progress in 2026,Not publicly confirmed,Not publicly confirmed,https://idea-lca.com/en/features/ | https://www.aist.go.jp/aist_e/about_aist,Current snapshot retained; a public milestone history was not found in this review pass,2026-08-22,Coverage row only. Exact first-release and intermediate-version dates remain a documented public-evidence gap.
RLS-0036,LCA-DB-0009,Banca Dati Italiana LCA,Platform / repository / network,Current public evidence snapshot,Not publicly confirmed,Continuously updated node,Not publicly confirmed,Active; 2024–2029 maintenance and development agreement reported,Not publicly confirmed,Not publicly confirmed,https://bancadatiitalianalca.enea.it/Node/index.xhtml?stock=BDILCA | https://www.arcadia.enea.it/la-banca-dati.html,Current snapshot retained; a public milestone history was not found in this review pass,2026-08-22,Coverage row only. Exact first-release and intermediate-version dates remain a documented public-evidence gap.
RLS-0037,LCA-DB-0010,US Environmentally-Extended Input-Output models,Database / dataset,Peer-reviewed first model publication,2017,USEEIO v1 publication,2017,Historical release,None recorded in verified milestone set,v1.1,https://hero.epa.gov/reference/3870365/ | https://github.com/USEPA/USEEIO | https://github.com/USEPA/useeior/releases,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0038,LCA-DB-0010,US Environmentally-Extended Input-Output models,Database / dataset,Database release,2017,v1.1,2017–2020 public technical-content period,Historical release,USEEIO v1 publication,v1.2,https://hero.epa.gov/reference/3870365/ | https://github.com/USEPA/USEEIO | https://github.com/USEPA/useeior/releases,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0039,LCA-DB-0010,US Environmentally-Extended Input-Output models,Database / dataset,Database release,2017,v1.2,2017–2020 public technical-content period,Historical release,v1.1,v2.0+ model-generation line,https://hero.epa.gov/reference/3870365/ | https://github.com/USEPA/USEEIO | https://github.com/USEPA/useeior/releases,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0040,LCA-DB-0010,US Environmentally-Extended Input-Output models,Database / dataset,Major model architecture line,2017,v2.0+ model-generation line,2020 onward,Historical release,v1.2,v2.3 model family,https://hero.epa.gov/reference/3870365/ | https://github.com/USEPA/USEEIO | https://github.com/USEPA/useeior/releases,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0041,LCA-DB-0010,US Environmentally-Extended Input-Output models,Database / dataset,Current public model family,2017,v2.3 model family,Current at 2026-08-22; exact model-release date not captured,Current release,v2.0+ model-generation line,None recorded after evidence cut-off,https://hero.epa.gov/reference/3870365/ | https://github.com/USEPA/USEEIO | https://github.com/USEPA/useeior/releases,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0042,LCA-DB-0011,Sphera Managed LCA Content,Database / dataset,Current known release snapshot,Not publicly confirmed,2026 release/catalogue,Not publicly confirmed,Active; regular updates stated,Not publicly confirmed,Not publicly confirmed,https://sphera.com/solutions/product-stewardship/life-cycle-assessment-software-and-data/managed-lca-content/ | https://lcadatabase.sphera.com/ | https://sphera.com/our-locations/,Current snapshot retained; a public milestone history was not found in this review pass,2026-08-22,Coverage row only. Exact first-release and intermediate-version dates remain a documented public-evidence gap.
RLS-0043,LCA-DB-0012,TianGong LCA Database,Database / dataset,Current known release snapshot,Not publicly confirmed,Continuously updated platform dataset,Not publicly confirmed,Active platform; historical GitHub snapshot ceased maintenance in 2026,Not publicly confirmed,Not publicly confirmed,https://www.tiangong.earth/data | https://lcdn.tiangong.earth/index.xhtml | https://www.tiangong.earth/,Current snapshot retained; a public milestone history was not found in this review pass,2026-08-22,Coverage row only. Exact first-release and intermediate-version dates remain a documented public-evidence gap.
RLS-0044,LCA-DB-0013,Base Empreinte®,Database / dataset,Current known release snapshot,Not publicly confirmed,Base Empreinte v1.1; Base Carbone v23.11 shown in 2026 news,2026-06-18 latest public news item accessed,Active,Not publicly confirmed,Not publicly confirmed,https://base-empreinte.ademe.fr/ | https://base-empreinte.ademe.fr/aide/faq | https://www.ademe.fr/lagence/notre-organisation/,Current snapshot retained; a public milestone history was not found in this review pass,2026-08-22,Coverage row only. Exact first-release and intermediate-version dates remain a documented public-evidence gap.
RLS-0045,LCA-DB-0014,Australian Life Cycle Inventory Database,Database / dataset,Current known release snapshot,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Public programme/site active; release recency requires record-level review,Not publicly confirmed,Not publicly confirmed,https://www.auslci.com.au/,Current snapshot retained; a public milestone history was not found in this review pass,2026-08-22,Coverage row only. Exact first-release and intermediate-version dates remain a documented public-evidence gap.
RLS-0046,LCA-DB-0015,ÖKOBAUDAT,Database / dataset,Archived database release,2009,2009,2009,Historical release,None recorded in verified milestone set,2011,https://www.oekobaudat.de/en/database/archive.html | https://www.oekobaudat.de/en/service/downloads.html,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0047,LCA-DB-0015,ÖKOBAUDAT,Database / dataset,Archived database release,2009,2011,2011,Historical release,2009,2013,https://www.oekobaudat.de/en/database/archive.html | https://www.oekobaudat.de/en/service/downloads.html,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0048,LCA-DB-0015,ÖKOBAUDAT,Database / dataset,Archived database release,2009,2013,2013,Historical release,2011,2015,https://www.oekobaudat.de/en/database/archive.html | https://www.oekobaudat.de/en/service/downloads.html,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0049,LCA-DB-0015,ÖKOBAUDAT,Database / dataset,Archived database release,2009,2015,2015,Historical release,2013,2016,https://www.oekobaudat.de/en/database/archive.html | https://www.oekobaudat.de/en/service/downloads.html,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0050,LCA-DB-0015,ÖKOBAUDAT,Database / dataset,Archived database release,2009,2016,2016,Historical release,2015,2017,https://www.oekobaudat.de/en/database/archive.html | https://www.oekobaudat.de/en/service/downloads.html,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0051,LCA-DB-0015,ÖKOBAUDAT,Database / dataset,Archived database release,2009,2017,2017,Historical release,2016,2019-I,https://www.oekobaudat.de/en/database/archive.html | https://www.oekobaudat.de/en/service/downloads.html,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0052,LCA-DB-0015,ÖKOBAUDAT,Database / dataset,Archived database release,2009,2019-I,2019,Historical release,2017,2019-II,https://www.oekobaudat.de/en/database/archive.html | https://www.oekobaudat.de/en/service/downloads.html,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0053,LCA-DB-0015,ÖKOBAUDAT,Database / dataset,Archived database release,2009,2019-II,2019,Historical release,2019-I,2019-III,https://www.oekobaudat.de/en/database/archive.html | https://www.oekobaudat.de/en/service/downloads.html,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0054,LCA-DB-0015,ÖKOBAUDAT,Database / dataset,Archived database release,2009,2019-III,2019,Historical release,2019-II,2020-I,https://www.oekobaudat.de/en/database/archive.html | https://www.oekobaudat.de/en/service/downloads.html,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0055,LCA-DB-0015,ÖKOBAUDAT,Database / dataset,Archived database release,2009,2020-I,2020,Historical release,2019-III,2020-II,https://www.oekobaudat.de/en/database/archive.html | https://www.oekobaudat.de/en/service/downloads.html,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0056,LCA-DB-0015,ÖKOBAUDAT,Database / dataset,Archived database release,2009,2020-II,2020,Historical release,2020-I,2021-I,https://www.oekobaudat.de/en/database/archive.html | https://www.oekobaudat.de/en/service/downloads.html,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0057,LCA-DB-0015,ÖKOBAUDAT,Database / dataset,Archived database release,2009,2021-I,2021,Historical release,2020-II,2021-II,https://www.oekobaudat.de/en/database/archive.html | https://www.oekobaudat.de/en/service/downloads.html,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0058,LCA-DB-0015,ÖKOBAUDAT,Database / dataset,Archived database release,2009,2021-II,2021,Historical release,2021-I,2023-I,https://www.oekobaudat.de/en/database/archive.html | https://www.oekobaudat.de/en/service/downloads.html,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0059,LCA-DB-0015,ÖKOBAUDAT,Database / dataset,Archived database release,2009,2023-I,2023,Historical release,2021-II,2024-I,https://www.oekobaudat.de/en/database/archive.html | https://www.oekobaudat.de/en/service/downloads.html,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0060,LCA-DB-0015,ÖKOBAUDAT,Database / dataset,Archived database release,2009,2024-I,2024,Historical release,2023-I,2024-II,https://www.oekobaudat.de/en/database/archive.html | https://www.oekobaudat.de/en/service/downloads.html,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0061,LCA-DB-0015,ÖKOBAUDAT,Database / dataset,Database release,2009,2024-II,2026-07-22 publication; underlying generics updated 2024-10-02,Current release,2024-I,None recorded after evidence cut-off,https://www.oekobaudat.de/en/service/downloads.html,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0062,LCA-DB-0016,European Reference Life Cycle Database,Database / dataset,Current known release snapshot,Not publicly confirmed,ELCD III package (historical),Not publicly confirmed,Process database discontinued in 2018; non-process reference items retained,Not publicly confirmed,Not publicly confirmed,https://eplca.jrc.ec.europa.eu/LCDN/developerILCD.html,Current snapshot retained; a public milestone history was not found in this review pass,2026-08-22,Coverage row only. Exact first-release and intermediate-version dates remain a documented public-evidence gap.
RLS-0063,LCA-DB-0017,GFLI Database,Database / dataset,Initial public-data milestone,2018 first public data line; database launch 2020,First public version,2018-12,Historical release,None recorded in verified milestone set,Database launch / v1 line,https://globalfeedlca.org/first-annual-gfli-membership-meeting-database-launch-event/ | https://globalfeedlca.org/the-gfli-database-update-version-3-0-is-here/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0064,LCA-DB-0017,GFLI Database,Database / dataset,Database launch,2018 first public data line; database launch 2020,Database launch / v1 line,2020-12-01,Historical release,First public version,v2.0,https://globalfeedlca.org/first-annual-gfli-membership-meeting-database-launch-event/ | https://globalfeedlca.org/the-gfli-database-update-version-3-0-is-here/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0065,LCA-DB-0017,GFLI Database,Database / dataset,Database release,2018 first public data line; database launch 2020,v2.0,2022-01,Historical release,Database launch / v1 line,v2.1 methodology line,https://globalfeedlca.org/first-annual-gfli-membership-meeting-database-launch-event/ | https://globalfeedlca.org/the-gfli-database-update-version-3-0-is-here/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0066,LCA-DB-0017,GFLI Database,Database / dataset,Methodology/database milestone,2018 first public data line; database launch 2020,v2.1 methodology line,2024-07,Historical release,v2.0,v2.2,https://globalfeedlca.org/first-annual-gfli-membership-meeting-database-launch-event/ | https://globalfeedlca.org/the-gfli-database-update-version-3-0-is-here/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0067,LCA-DB-0017,GFLI Database,Database / dataset,Database release,2018 first public data line; database launch 2020,v2.2,2024-10-03,Historical release,v2.1 methodology line,v3.0,https://globalfeedlca.org/first-annual-gfli-membership-meeting-database-launch-event/ | https://globalfeedlca.org/the-gfli-database-update-version-3-0-is-here/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0068,LCA-DB-0017,GFLI Database,Database / dataset,Database release,2018 first public data line; database launch 2020,v3.0,2026-01-20,Current release,v2.2,None recorded after evidence cut-off,https://globalfeedlca.org/first-annual-gfli-membership-meeting-database-launch-event/ | https://globalfeedlca.org/the-gfli-database-update-version-3-0-is-here/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0069,LCA-DB-0018,World Food LCA Database,Database / dataset,Current known release snapshot,Not publicly confirmed,Current provider-hosted release; numbered release not stated on public page,Not publicly confirmed,Active,Not publicly confirmed,Not publicly confirmed,https://quantis.com/services-solutions/consortium-building-and-management/wfldb/ | https://quantis.com/about/locations/,Current snapshot retained; a public milestone history was not found in this review pass,2026-08-22,Coverage row only. Exact first-release and intermediate-version dates remain a documented public-evidence gap.
RLS-0070,LCA-DB-0019,RIVM Database on the environmental impact of food products,Database / dataset,Current known release snapshot,Not publicly confirmed,2024 database version; published 2026-03-30,2026-03-30,Active,Not publicly confirmed,Not publicly confirmed,https://www.rivm.nl/en/food-and-nutrition/sustainable-food/environmental-impact-of-food-products | https://www.rivm.nl/en/contact,Current snapshot retained; a public milestone history was not found in this review pass,2026-08-22,Coverage row only. Exact first-release and intermediate-version dates remain a documented public-evidence gap.
RLS-0071,LCA-DB-0020,ProBas 2,Database / dataset,Current known release snapshot,Not publicly confirmed,ProBas2 soda4LCA 7.28.0 observed,Not publicly confirmed,Active successor interface,Not publicly confirmed,Not publicly confirmed,https://data.probas.umweltbundesamt.de/ | https://www.probas.umweltbundesamt.de/ | https://www.umweltbundesamt.de/en/the-uba/uba-offices,Current snapshot retained; a public milestone history was not found in this review pass,2026-08-22,Coverage row only. Exact first-release and intermediate-version dates remain a documented public-evidence gap.
RLS-0072,LCA-DB-0021,INIES Database,Database / dataset,Digital distribution milestone,Public database predates 2013; exact first year not confirmed,Digitised-data webservice established,2013,Historical release,None recorded in verified milestone set,Continuously updated public catalogue,https://www.inies.fr/en/the-digitised-data-webservice/ | https://www.inies.fr/en/accueil/,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
