organization_id,preferred_label,normalization_status
ORG-0038,Chalmers University of Technology-led DeDuCE team,Exact public label
ORG-0039,"Chalmers University of Technology, Environmental Systems Analysis",Exact public label
ORG-0040,CIRAIG / POLARIIS+ collaboration,Composite label—review before splitting
ORG-0041,CIRAIG / project contributors,Composite label—review before splitting
ORG-0042,CIRAIG OpenIO-Canada contributors,Exact public label
ORG-0043,CIRAIG Sustainable Consumption Chair,Exact public label
ORG-0044,CIRAIG with ecoinvent,Exact public label
ORG-0045,Circular Ecology,Exact public label
ORG-0046,CIRPASS-2 and partner initiatives,Composite label—review before splitting
ORG-0047,CIRPASS-2 European project,Exact public label
ORG-0048,CLIC Innovation / ARVI research programme,Composite label—review before splitting
ORG-0049,Climate Farm Demo consortium,Exact public label
ORG-0050,Climatiq,Exact public label
ORG-0051,CML-IE; public resources are now largely archival,Composite label—review before splitting
ORG-0052,Consortium for Research on Renewable Industrial Materials (CORRIM),Exact public label
ORG-0053,Cornerstone Sustainability Data Initiative,Exact public label
ORG-0054,CORRIM and Federal LCA Commons,Composite label—review before splitting
ORG-0055,CRA-W,Exact public label
ORG-0056,Daylight Chemical Information Systems (original specification); multiple later dialects,Composite label—review before splitting
ORG-0057,Daylight for original specification; distributed implementer community,Composite label—review before splitting
ORG-0058,DdS board and staff,Composite label—review before splitting
ORG-0059,DdS platform and data engineering team,Composite label—review before splitting
ORG-0060,DeDuCE research team and partners,Composite label—review before splitting
ORG-0061,Départ de Sentier,Exact public label
ORG-0062,Départ de Sentier association,Exact public label
ORG-0063,Directorate-General for Environment and Joint Research Centre,Composite label—review before splitting
ORG-0064,Directorate-General for Research and Innovation and Joint Research Centre,Composite label—review before splitting
ORG-0065,Distributed historically through openLCA Nexus,Exact public label
ORG-0066,Dutch National Institute for Public Health and the Environment (RIVM) and method authors,Composite label—review before splitting
ORG-0067,EarthShift Global,Exact public label
ORG-0068,Eaternity,Exact public label
ORG-0069,Eaternity open-source team,Exact public label
ORG-0070,EC-JRC / European Platform on LCA,Composite label—review before splitting
ORG-0071,ECO Platform AISBL,Exact public label
ORG-0072,ECO Platform and connected EPD programme-operator nodes,Composite label—review before splitting
ORG-0073,ECO Platform members and secretariat,Composite label—review before splitting
ORG-0074,eco-costs/value maintainers,Composite label—review before splitting
ORG-0075,Ecochain Technologies,Exact public label
ORG-0076,ecoinvent / former EcoSpold development community,Composite label—review before splitting
ORG-0077,ecoinvent Association,Exact public label
ORG-0078,EcoSemantic,Exact public label
ORG-0079,ENEA,Exact public label
ORG-0080,ENEA; ARCADIA and successor MASE–ENEA programme,Composite label—review before splitting
ORG-0081,EPD Australasia,Exact public label
ORG-0082,EPD Australasia Ltd,Exact public label
ORG-0083,EPD International AB,Exact public label
ORG-0084,EPDItaly,Exact public label
ORG-0085,ERASM,Exact public label
ORG-0086,ERASM member-company collaboration,Exact public label
ORG-0087,"ERG, Stanford and Watershed-supported initiative",Composite label—review before splitting
ORG-0088,ESU-services and contributing authors,Composite label—review before splitting
ORG-0089,ESU-services Ltd.,Exact public label
ORG-0090,EU project 101139959 consortium,Exact public label
ORG-0091,EUDPP ontology contributors via DPP Vocabulary Hub,Exact public label
ORG-0092,EuGeos / Chris Foster,Composite label—review before splitting
ORG-0093,Eurobitume,Exact public label
ORG-0094,EUROFER Stainless,Exact public label
ORG-0095,European Aluminium,Exact public label
ORG-0096,European Commission,Exact public label
ORG-0097,European Commission Joint Research Centre,Exact public label
ORG-0098,European Commission Joint Research Centre and Directorate-General for Environment,Composite label—review before splitting
ORG-0099,European Commission Joint Research Centre and Environmental Footprint governance,Composite label—review before splitting
ORG-0100,European Commission-funded NEEDS project consortium,Exact public label
ORG-0101,European Committee for Standardization (CEN),Exact public label
ORG-0102,European Container Glass Federation (FEVE),Exact public label
ORG-0103,"European Council of the Paint, Printing Ink and Artists' Colours Industry (CEPE)",Composite label—review before splitting
ORG-0104,European LIFE programme consortium,Exact public label
ORG-0105,European Platform on Life Cycle Assessment,Exact public label
ORG-0106,European Platform on Life Cycle Assessment / EC-JRC,Composite label—review before splitting
ORG-0107,European Platform on Life Cycle Assessment / JRC,Composite label—review before splitting
ORG-0108,Evah Associates,Exact public label
ORG-0109,EXIOBASE consortium,Exact public label
ORG-0110,EXIOBASE research consortium; current releases distributed on Zenodo,Composite label—review before splitting
ORG-0111,FAO-coordinated expert and institutional community,Composite label—review before splitting
ORG-0112,FEVE,Exact public label
ORG-0113,FLCAC administrators; development resources hosted publicly,Composite label—review before splitting
ORG-0114,FLCAC-admin repository contributors,Exact public label
ORG-0115,FOEN/BAFU and commissioned technical partners,Composite label—review before splitting
ORG-0116,Food and Agriculture Organization of the United Nations (FAO) and contributing language institutions,Composite label—review before splitting
ORG-0117,FoodOn open inter-agency community,Exact public label
ORG-0118,FoodOntology contributors / OBO Foundry,Composite label—review before splitting
ORG-0119,FOODTURE Horizon Europe consortium,Exact public label
ORG-0120,Forest Research Institute Malaysia (FRIM) and Malaysian Timber Industry Board (MTIB),Composite label—review before splitting
ORG-0121,Forum for Sustainability through Life Cycle Innovation e.V.,Exact public label
ORG-0122,Framework authors,Exact public label
ORG-0123,FSLCI secretariat and member community,Composite label—review before splitting
ORG-0124,Fundación InnovaCiclos,Exact public label
ORG-0125,Fundación InnovaCiclos / EcoEd,Composite label—review before splitting
ORG-0126,GBDI consortium,Exact public label
ORG-0127,GBDI technical community,Exact public label
ORG-0128,German Environment Agency,Exact public label
ORG-0129,"German Environment Agency (Umweltbundesamt, UBA)",Exact public label
ORG-0130,"German Federal Ministry for Housing, Urban Development and Building (BMWSB) / Federal Institute for Research on Building, Urban Affairs and Spatial Development (BBSR)",Composite label—review before splitting
ORG-0131,GFLI Secretariat and data-project partners,Composite label—review before splitting
ORG-0132,GFLI technical and methodology groups,Composite label—review before splitting
ORG-0133,GHG Protocol,Exact public label
ORG-0134,GHG Protocol secretariat and multi-stakeholder governance bodies,Composite label—review before splitting
ORG-0135,Global Building Data Initiative,Exact public label
ORG-0136,Global Building Data Initiative under GLOBE,Exact public label
ORG-0137,"Global CO2 Initiative, University of Michigan",Exact public label
ORG-0138,Global Feed LCA Institute,Exact public label
ORG-0139,Government of Quebec / CIRAIG,Composite label—review before splitting
ORG-0140,Green Gold Label Foundation,Exact public label
ORG-0141,Green Gold Label Foundation with studio Gear Up,Exact public label
ORG-0142,GreenDelta,Exact public label
ORG-0143,GreenDelta GmbH,Exact public label
ORG-0144,GreenDelta GmbH / TRIPLELINK,Composite label—review before splitting
ORG-0145,GreenDelta openLCA development team,Exact public label
ORG-0146,GreenGrocer consortium,Exact public label
ORG-0147,Hangzhou Qinglvlan Environmental Digital Technology,Exact public label
ORG-0148,Helmholtz Centre for Environmental Research (UFZ),Exact public label
ORG-0149,HESTIA modelling team and contributors,Composite label—review before splitting
ORG-0150,HESTIA project / University of Oxford,Composite label—review before splitting
ORG-0151,HESTIA team and contributor community,Composite label—review before splitting
ORG-0152,HESTIA technical team,Exact public label
ORG-0153,HiQ Data,Exact public label
ORG-0154,Historical format; no active maintenance identified,Composite label—review before splitting
ORG-0155,Horizon Europe consortium,Exact public label
ORG-0156,Ibict — Coordenação de Tecnologias Aplicadas a Novos Produtos,Exact public label
ORG-0157,ICMQ S.p.A. Società Benefit / EPDItaly,Composite label—review before splitting
ORG-0158,IDTA office and admin-shell-io repository,Composite label—review before splitting
ORG-0159,IINAS,Exact public label
ORG-0160,IKE Environmental Technology / Sichuan University lineage,Composite label—review before splitting
ORG-0161,"IKE Environmental Technology Co., Ltd.",Exact public label
ORG-0162,IMPACT World+ method development team,Exact public label
ORG-0163,IMPACT World+ scientific consortium,Exact public label
ORG-0164,InChI Trust,Exact public label
ORG-0165,Independent research initiative,Exact public label
ORG-0166,Industrial Digital Twin Association,Exact public label
ORG-0167,INIES governance partners under French public convention,Exact public label
ORG-0168,INRAE,Exact public label
ORG-0169,INRAE ontology team and Recherche Data Gouv/AgroPortal,Composite label—review before splitting
ORG-0170,Institute of Technical Thermodynamics at RWTH Aachen University and collaborators,Composite label—review before splitting
ORG-0171,Instituto Brasileiro de Informação em Ciência e Tecnologia (Ibict/MCTI),Composite label—review before splitting
ORG-0172,"Instituto de Ingeniería UNAM, Red Mexicana de Análisis de Ciclo de Vida and collaborators",Composite label—review before splitting
ORG-0173,Intergovernmental Panel on Climate Change,Exact public label
ORG-0174,International Aluminium Institute,Exact public label
ORG-0175,International Aluminium Institute / European Aluminium,Composite label—review before splitting
ORG-0176,International Aluminium Institute and European Aluminium,Composite label—review before splitting
ORG-0177,International CCU Assessment Harmonization Group,Exact public label
ORG-0178,International Copper Association,Exact public label
ORG-0179,International EPD System,Exact public label
ORG-0180,International Institute for Sustainability Analysis and Strategy (IINAS),Composite label—review before splitting
ORG-0181,International Organization for Standardization,Exact public label
ORG-0182,International Organization for Standardization (ISO),Exact public label
ORG-0183,International Zinc Association,Exact public label
ORG-0184,IPCC Task Force on National Greenhouse Gas Inventories,Exact public label
ORG-0185,IPCC Working Group I assessment process,Exact public label
ORG-0186,iPoint,Exact public label
ORG-0187,iPoint-systems gmbh / Assent group,Composite label—review before splitting
ORG-0188,ISO/TC 207/SC 3,Composite label—review before splitting
ORG-0189,ISO/TC 207/SC 5,Composite label—review before splitting
ORG-0190,ISO/TC 207/SC 7,Composite label—review before splitting
ORG-0191,IUPAC and InChI Trust,Composite label—review before splitting
ORG-0192,"Kanso, Inc. / Carbonfact",Composite label—review before splitting
ORG-0193,Kassel Institute for Sustainability data repository,Exact public label
ORG-0194,Kimel Tech SpA,Exact public label
ORG-0195,Korea Environmental Industry & Technology Institute (KEITI),Exact public label
ORG-0196,Lavoisier open-source project developed at GYRO/UTFPR with IBICT support,Composite label—review before splitting
ORG-0197,Lavoisier project maintainers,Exact public label
ORG-0198,LC-IMPACT project; openLCA adaptation by GreenDelta GmbH,Composite label—review before splitting
ORG-0199,LCA as Code project/provider,Composite label—review before splitting
ORG-0200,LCA as Code team,Exact public label
ORG-0201,LCA CARE project consortium,Exact public label
ORG-0202,LCA Japan Forum,Exact public label
ORG-0203,LCA Society of Japan / LCA Japan Forum,Composite label—review before splitting
ORG-0204,LCA to BIM Workflow research project,Exact public label
ORG-0205,LCAx contributors,Exact public label
ORG-0206,LCAx open-source project / OCNI-DTU contributors,Composite label—review before splitting
ORG-0207,LCIE Bureau Veritas,Exact public label
ORG-0208,Legacy project data; openLCA conversion maintained historically by GreenDelta,Composite label—review before splitting
ORG-0209,Legacy project portal; dataset owners include KIT and partners,Composite label—review before splitting
ORG-0210,"Leiden University, Institute of Environmental Sciences (CML)",Exact public label
ORG-0211,Leonardo Ferhati,Exact public label
ORG-0212,Life Cycle Initiative / participating nodes,Composite label—review before splitting
ORG-0213,Life Cycle Initiative GLAM stewardship community,Exact public label
ORG-0214,Life Cycle Initiative hosted at UNEP,Exact public label
ORG-0215,Life Cycle Initiative secretariat and steering governance,Composite label—review before splitting
ORG-0216,Life Cycle Initiative with scientific partners,Exact public label
ORG-0217,Makersite GmbH,Exact public label
ORG-0218,MATILDA research team,Exact public label
ORG-0219,Mérieux NutriSciences | Blonk,Exact public label
ORG-0220,MexiLCA initiative,Exact public label
ORG-0221,"Ministry of Climate, Energy and Environment / Korea Environmental Industry & Technology Institute",Composite label—review before splitting
ORG-0222,Minviro,Exact public label
ORG-0223,Minviro Ltd,Exact public label
ORG-0224,National Institute for Public Health and the Environment (RIVM),Composite label—review before splitting
ORG-0225,National Institute of Advanced Industrial Science and Technology (AIST),Composite label—review before splitting
ORG-0226,National Laboratory of the Rockies on Federal LCA Commons,Exact public label
ORG-0227,National Science and Technology Development Agency (NSTDA) / MTEC-TIIS and national partners,Composite label—review before splitting
ORG-0228,New Earth / Social Hotspots Database provider,Composite label—review before splitting
ORG-0229,Nickel Institute,Exact public label
ORG-0230,No current maintainer publicly confirmed,Exact public label
ORG-0231,One Click LCA,Exact public label
ORG-0232,One Click LCA group,Exact public label
ORG-0233,One Click LCA Ltd / One Click LCA group,Composite label—review before splitting
ORG-0234,Ontology-pattern authors,Exact public label
ORG-0235,Open Sustainable Technology community,Exact public label
ORG-0236,openEPD contributors and reference implementers,Composite label—review before splitting
ORG-0237,openEPD Forum / Building Transparency ecosystem,Composite label—review before splitting
ORG-0238,Partnership for Carbon Transparency,Exact public label
ORG-0239,Partnership for Carbon Transparency (PACT),Exact public label
ORG-0240,Peruvian Life Cycle Network (PELCAN),Exact public label
ORG-0241,Peruvian Life Cycle Network / Pontificia Universidad Católica del Perú and project partners,Composite label—review before splitting
ORG-0242,PFN secretariat and member/collaborator community,Composite label—review before splitting
ORG-0243,PFN technical community convened by EA – Earth Action,Exact public label
ORG-0244,PIQET service team,Exact public label
ORG-0245,Plastic Footprint Network,Exact public label
ORG-0246,Plastic Footprint Network convened by EA – Earth Action,Exact public label
ORG-0247,Plastics Europe,Exact public label
ORG-0248,Plastics Europe and relevant sector groups,Composite label—review before splitting
ORG-0249,premise contributors,Exact public label
ORG-0250,premise open-source project / polca contributors,Composite label—review before splitting
ORG-0251,PRIMUS project / Plastics Recyclers Europe,Composite label—review before splitting
ORG-0252,product impact team,Exact public label
ORG-0253,productimpact.info,Exact public label
ORG-0254,Project author/community repository,Composite label—review before splitting
ORG-0255,protontypes/open-sustainable-technology maintainers and contributors,Composite label—review before splitting
ORG-0256,PubChem,Exact public label
ORG-0257,Quantis,Exact public label
ORG-0258,Quantis and WFLDB partners,Composite label—review before splitting
ORG-0259,Real-Time LCA,Exact public label
ORG-0260,Red Iberoamericana de Ciclo de Vida,Exact public label
ORG-0261,RICV board and member networks,Composite label—review before splitting
ORG-0262,RIVM public distribution,Exact public label
ORG-0263,RIVM; LCI update performed by Mérieux NutriSciences | Blonk,Composite label—review before splitting
ORG-0264,RWTH Aachen University and collaborators,Composite label—review before splitting
ORG-0265,RWTH design-computation project contributors,Exact public label
ORG-0266,Scientific publication and author community,Composite label—review before splitting
ORG-0267,"Shanghai HiQ Smart Data Co., Ltd.",Exact public label
ORG-0268,SimaPro,Exact public label
ORG-0269,SIRIM Berhad,Exact public label
ORG-0270,SIRIM Energy & Environment Centre,Exact public label
ORG-0271,Social Hotspots Database team,Exact public label
ORG-0272,soda4LCA maintainers / OKWorx,Composite label—review before splitting
ORG-0273,soda4LCA open-source project,Exact public label
ORG-0274,Sphera,Exact public label
ORG-0275,Sustainable Impact Metrics Foundation / Delft University of Technology lineage,Composite label—review before splitting
ORG-0276,Swedish Life Cycle Center,Exact public label
ORG-0277,Swiss Federal Office for the Environment (FOEN/BAFU),Composite label—review before splitting
ORG-0278,Swiss Federal Offices,Exact public label
ORG-0279,"Technology and Informatics Institute for Sustainability (TIIS), NSTDA",Composite label—review before splitting
ORG-0280,Textile Exchange,Exact public label
ORG-0281,Textile Exchange in partnership with SCS Global Services,Exact public label
ORG-0282,TfS Scope 3 GHG programme,Exact public label
ORG-0283,The European Steel Association (EUROFER),Exact public label
ORG-0284,The Evah Institute,Exact public label
ORG-0285,The Evah Institute / Ecquate Pty Ltd,Composite label—review before splitting
ORG-0286,The PIQET Consortium / Lifecycles and partners,Composite label—review before splitting
ORG-0287,TianGong community,Exact public label
ORG-0288,TianGong LCA / TIDAS open-source project,Composite label—review before splitting
ORG-0289,TianGong LCA Data Working Group and platform community,Composite label—review before splitting
ORG-0290,TianGong platform developers,Exact public label
ORG-0291,TianGong project / Carbon Footprint Industry Alliance ecosystem,Composite label—review before splitting
ORG-0292,TIDAS development community,Exact public label
ORG-0293,TIDAS Tools maintainers and public contributors,Composite label—review before splitting
ORG-0294,tishchungoora/lca-ontology repository maintainer,Composite label—review before splitting
ORG-0295,Together for Sustainability,Exact public label
ORG-0296,U.S. Department of Energy / National Laboratory of the Rockies,Composite label—review before splitting
ORG-0297,U.S. Federal LCA Commons agencies,Exact public label
ORG-0298,U.S. Federal LCA Commons partners,Exact public label
ORG-0299,UNEP-hosted Life Cycle Initiative,Exact public label
ORG-0300,United Nations Environment Programme,Exact public label
ORG-0301,United States Department of Energy,Exact public label
ORG-0302,United States Environmental Protection Agency,Exact public label
ORG-0303,United States Environmental Protection Agency / Federal LCA Commons ecosystem,Composite label—review before splitting
ORG-0304,University of Kassel authors / BBSR-funded project,Composite label—review before splitting
ORG-0305,University of Oxford / HESTIA project,Composite label—review before splitting
ORG-0306,University of Sheffield and AMRC project team,Composite label—review before splitting
ORG-0307,US Environmental Protection Agency,Exact public label
ORG-0308,US EPA Office of Research and Development,Composite label—review before splitting
ORG-0309,US EPA research programme,Exact public label
ORG-0310,US EPA research team,Exact public label
ORG-0311,US National Library of Medicine / National Center for Biotechnology Information,Composite label—review before splitting
ORG-0312,USDA National Agricultural Library with collaborating federal agencies,Exact public label
ORG-0313,Vocabulary Hub / Semantic Treehouse maintainers,Composite label—review before splitting
ORG-0314,VoLCA maintainers,Exact public label
ORG-0315,VoLCA project,Exact public label
ORG-0316,Walloon Agricultural Research Centre (CRA-W),Exact public label
ORG-0317,WAP Sustainability,Exact public label
ORG-0318,"WAP Sustainability, LLC",Exact public label
ORG-0319,Watershed Technology,Exact public label
ORG-0320,World Business Council for Sustainable Development,Exact public label
ORG-0321,World Resources Institute and World Business Council for Sustainable Development,Composite label—review before splitting
ORG-0322,World Steel Association,Exact public label
ORG-0323,worldsteel,Exact public label
ORG-0324,WP1 led by ADEME within the FOODTURE consortium,Exact public label
ORG-0325,WULCA,Exact public label
ORG-0326,WULCA working group / UNEP-SETAC Life Cycle Initiative community,Composite label—review before splitting
