asset_organization_id,asset_id,organization_id,relationship_type,original_public_label
AO-00074,LCA-NET-0003,ORG-0092,operator/maintainer,ECO Platform members and secretariat
AO-00075,LCA-REP-0003,ORG-0090,owner,ECO Platform AISBL
AO-00076,LCA-REP-0003,ORG-0091,operator/maintainer,ECO Platform and connected EPD programme-operator nodes
AO-00077,LCA-FMT-0003,ORG-0024,owner,BMWSB/BBSR and InData/ECO Platform technical community
AO-00078,LCA-FMT-0003,ORG-0022,operator/maintainer,BBSR-linked technical maintainers and data-network implementers
AO-00079,LCA-DB-0016,ORG-0120,owner,European Commission Joint Research Centre
AO-00080,LCA-DB-0016,ORG-0128,operator/maintainer,European Platform on Life Cycle Assessment
AO-00081,LCA-MTH-0006,ORG-0120,owner,European Commission Joint Research Centre
AO-00082,LCA-MTH-0006,ORG-0130,operator/maintainer,European Platform on Life Cycle Assessment / JRC
AO-00083,LCA-STD-0004,ORG-0124,owner,European Committee for Standardization (CEN)
AO-00084,LCA-STD-0004,ORG-0047,operator/maintainer,CEN/TC 350 and national standards bodies
AO-00085,LCA-FMT-0004,ORG-0172,owner,GreenDelta
AO-00086,LCA-FMT-0004,ORG-0175,operator/maintainer,GreenDelta openLCA development team
AO-00087,LCA-STD-0005,ORG-0212,owner,International Organization for Standardization (ISO)
AO-00088,LCA-STD-0005,ORG-0217,operator/maintainer,ISO/TC 207/SC 3
AO-00089,LCA-STD-0006,ORG-0212,owner,International Organization for Standardization (ISO)
AO-00090,LCA-STD-0006,ORG-0218,operator/maintainer,ISO/TC 207/SC 5
AO-00091,LCA-MTH-0007,ORG-0357,owner,United States Environmental Protection Agency
AO-00092,LCA-MTH-0007,ORG-0364,operator/maintainer,US EPA research programme
AO-00093,LCA-DB-0017,ORG-0169,owner,Global Feed LCA Institute
AO-00094,LCA-DB-0017,ORG-0161,operator/maintainer,GFLI Secretariat and data-project partners
AO-00095,LCA-MTH-0008,ORG-0169,owner,Global Feed LCA Institute
AO-00096,LCA-MTH-0008,ORG-0162,operator/maintainer,GFLI technical and methodology groups
AO-00097,LCA-PLT-0002,ORG-0360,owner,University of Oxford / HESTIA project
AO-00098,LCA-PLT-0002,ORG-0181,operator/maintainer,HESTIA team and contributor community
AO-00099,LCA-FMT-0005,ORG-0180,owner,HESTIA project / University of Oxford
AO-00100,LCA-FMT-0005,ORG-0182,operator/maintainer,HESTIA technical team
AO-00101,LCA-NOM-0006,ORG-0145,owner,FoodOn open inter-agency community
AO-00102,LCA-NOM-0006,ORG-0146,operator/maintainer,FoodOntology contributors / OBO Foundry
AO-00103,LCA-NET-0004,ORG-0376,owner,World Resources Institute and World Business Council for Sustainable Development
AO-00104,LCA-NET-0004,ORG-0164,operator/maintainer,GHG Protocol secretariat and multi-stakeholder governance bodies
AO-00105,LCA-MTH-0009,ORG-0376,owner,World Resources Institute and World Business Council for Sustainable Development
AO-00106,LCA-MTH-0009,ORG-0163,operator/maintainer,GHG Protocol
AO-00107,LCA-MTH-0010,ORG-0195,owner,IMPACT World+ scientific consortium
AO-00108,LCA-MTH-0010,ORG-0194,operator/maintainer,IMPACT World+ method development team
AO-00109,LCA-QA-0001,ORG-0098,owner,ecoinvent Association
AO-00110,LCA-QA-0001,ORG-0098,operator/maintainer,ecoinvent Association
AO-00111,LCA-FMT-0006,ORG-0097,owner,ecoinvent / former EcoSpold development community
AO-00112,LCA-FMT-0006,ORG-0184,operator/maintainer,Historical format; no active maintenance identified
AO-00113,LCA-DB-0018,ORG-0294,owner,Quantis
AO-00114,LCA-DB-0018,ORG-0296,operator/maintainer,Quantis and WFLDB partners
AO-00115,LCA-DB-0019,ORG-0257,owner,National Institute for Public Health and the Environment (RIVM)
AO-00116,LCA-DB-0019,ORG-0301,operator/maintainer,RIVM; LCI update performed by Mérieux NutriSciences | Blonk
AO-00117,LCA-DB-0020,ORG-0159,owner,"German Environment Agency (Umweltbundesamt, UBA)"
AO-00118,LCA-DB-0020,ORG-0158,operator/maintainer,German Environment Agency
AO-00119,LCA-DB-0021,ORG-0198,owner,INIES governance partners under French public convention
AO-00120,LCA-DB-0021,ORG-0008,operator/maintainer,Alliance HQE-GBC and INIES governance bodies
AO-00121,LCA-DB-0022,ORG-0283,owner,Plastics Europe
AO-00122,LCA-DB-0022,ORG-0284,operator/maintainer,Plastics Europe and relevant sector groups
AO-00123,LCA-DB-0023,ORG-0377,owner,World Steel Association
AO-00124,LCA-DB-0023,ORG-0379,operator/maintainer,worldsteel
AO-00125,LCA-FMT-0007,ORG-0269,owner,openEPD Forum / Building Transparency ecosystem
AO-00126,LCA-FMT-0007,ORG-0268,operator/maintainer,openEPD contributors and reference implementers
AO-00127,LCA-FMT-0008,ORG-0375,owner,World Business Council for Sustainable Development
AO-00128,LCA-FMT-0008,ORG-0272,operator/maintainer,Partnership for Carbon Transparency (PACT)
AO-00129,LCA-STD-0007,ORG-0211,owner,International Organization for Standardization
AO-00130,LCA-STD-0007,ORG-0218,operator/maintainer,ISO/TC 207/SC 5
AO-00131,LCA-MTH-0011,ORG-0241,owner,"Leiden University, Institute of Environmental Sciences (CML)"
AO-00132,LCA-MTH-0011,ORG-0069,operator/maintainer,CML-IE; public resources are now largely archival
AO-00133,LCA-MTH-0012,ORG-0355,owner,UNEP-hosted Life Cycle Initiative
AO-00134,LCA-MTH-0012,ORG-0244,operator/maintainer,Life Cycle Initiative GLAM stewardship community
AO-00135,LCA-QA-0002,ORG-0357,owner,United States Environmental Protection Agency
AO-00136,LCA-QA-0002,ORG-0363,operator/maintainer,US EPA Office of Research and Development
AO-00137,LCA-QA-0003,ORG-0119,owner,European Commission
AO-00138,LCA-QA-0003,ORG-0122,operator/maintainer,European Commission Joint Research Centre and Environmental Footprint governance
AO-00139,LCA-NET-0005,ORG-0356,owner,United Nations Environment Programme
AO-00140,LCA-NET-0005,ORG-0246,operator/maintainer,Life Cycle Initiative secretariat and steering governance
AO-00141,LCA-FMT-0009,ORG-0237,owner,LCAx open-source project / OCNI-DTU contributors
AO-00142,LCA-FMT-0009,ORG-0236,operator/maintainer,LCAx contributors
AO-00143,LCA-DB-0024,ORG-0054,owner,CIRAIG / project contributors
AO-00144,LCA-DB-0024,ORG-0055,operator/maintainer,CIRAIG OpenIO-Canada contributors
AO-00145,LCA-DB-0025,ORG-0172,owner,GreenDelta
AO-00146,LCA-DB-0025,ORG-0172,operator/maintainer,GreenDelta
AO-00147,LCA-DB-0026,ORG-0261,owner,New Earth / Social Hotspots Database provider
AO-00148,LCA-DB-0026,ORG-0315,operator/maintainer,Social Hotspots Database team
AO-00149,LCA-MTH-0013,ORG-0375,owner,World Business Council for Sustainable Development
AO-00150,LCA-MTH-0013,ORG-0271,operator/maintainer,Partnership for Carbon Transparency
AO-00151,LCA-PLT-0003,ORG-0028,owner,BONSAI not-for-profit association
AO-00152,LCA-PLT-0003,ORG-0029,operator/maintainer,"BONSAI secretariat, board and contributor network"
AO-00153,LCA-DB-0027,ORG-0028,owner,BONSAI not-for-profit association
AO-00154,LCA-DB-0027,ORG-0026,operator/maintainer,BONSAI data contributors and projects
AO-00155,LCA-MTH-0014,ORG-0044,owner,Catena-X Automotive Network e.V.
AO-00156,LCA-MTH-0014,ORG-0045,operator/maintainer,Catena-X PCF working groups
AO-00157,LCA-QA-0004,ORG-0044,owner,Catena-X Automotive Network e.V.
AO-00158,LCA-QA-0004,ORG-0045,operator/maintainer,Catena-X PCF working groups
AO-00159,LCA-FMT-0010,ORG-0044,owner,Catena-X Automotive Network e.V.
AO-00160,LCA-FMT-0010,ORG-0046,operator/maintainer,Catena-X PCF/data-model working groups
AO-00161,LCA-MTH-0015,ORG-0345,owner,Together for Sustainability
AO-00162,LCA-MTH-0015,ORG-0333,operator/maintainer,TfS Scope 3 GHG programme
AO-00163,LCA-FMT-0011,ORG-0345,owner,Together for Sustainability
AO-00164,LCA-FMT-0011,ORG-0333,operator/maintainer,TfS Scope 3 GHG programme
AO-00165,LCA-QA-0005,ORG-0345,owner,Together for Sustainability
AO-00166,LCA-QA-0005,ORG-0333,operator/maintainer,TfS Scope 3 GHG programme
AO-00167,LCA-NET-0006,ORG-0282,owner,Plastic Footprint Network convened by EA – Earth Action
AO-00168,LCA-NET-0006,ORG-0276,operator/maintainer,PFN secretariat and member/collaborator community
AO-00169,LCA-MTH-0016,ORG-0281,owner,Plastic Footprint Network
AO-00170,LCA-MTH-0016,ORG-0277,operator/maintainer,PFN technical community convened by EA – Earth Action
AO-00171,LCA-MTH-0017,ORG-0205,owner,Intergovernmental Panel on Climate Change
AO-00172,LCA-MTH-0017,ORG-0215,operator/maintainer,IPCC Working Group I assessment process
AO-00173,LCA-DB-0028,ORG-0119,owner,European Commission
AO-00174,LCA-DB-0028,ORG-0121,operator/maintainer,European Commission Joint Research Centre and Directorate-General for Environment
AO-00175,LCA-REP-0004,ORG-0104,owner,EPD International AB
AO-00176,LCA-REP-0004,ORG-0209,operator/maintainer,International EPD System
AO-00177,LCA-DB-0029,ORG-0058,owner,Circular Ecology
AO-00178,LCA-DB-0029,ORG-0058,operator/maintainer,Circular Ecology
AO-00179,LCA-DB-0030,ORG-0111,owner,ESU-services Ltd.
AO-00180,LCA-DB-0030,ORG-0111,operator/maintainer,ESU-services Ltd.
AO-00181,LCA-DB-0031,ORG-0223,owner,"Kanso, Inc. / Carbonfact"
AO-00182,LCA-DB-0031,ORG-0039,operator/maintainer,Carbonfact science team
AO-00183,LCA-DB-0032,ORG-0126,owner,"European Council of the Paint, Printing Ink and Artists' Colours Industry (CEPE)"
AO-00184,LCA-DB-0032,ORG-0048,operator/maintainer,CEPE LCI project
AO-00185,LCA-DB-0033,ORG-0373,owner,Watershed Technology
AO-00186,LCA-DB-0033,ORG-0373,operator/maintainer,Watershed Technology
AO-00187,LCA-DB-0034,ORG-0123,owner,European Commission-funded NEEDS project consortium
AO-00188,LCA-DB-0034,ORG-0239,operator/maintainer,Legacy project data; openLCA conversion maintained historically by GreenDelta
AO-00189,LCA-REP-0005,ORG-0331,owner,Textile Exchange
AO-00190,LCA-REP-0005,ORG-0332,operator/maintainer,Textile Exchange in partnership with SCS Global Services
AO-00191,LCA-FMT-0012,ORG-0197,owner,Industrial Digital Twin Association
AO-00192,LCA-FMT-0012,ORG-0189,operator/maintainer,IDTA office and admin-shell-io repository
AO-00193,LCA-PLT-0004,ORG-0060,owner,CIRPASS-2 and partner initiatives
AO-00194,LCA-PLT-0004,ORG-0369,operator/maintainer,Vocabulary Hub / Semantic Treehouse maintainers
AO-00195,LCA-NOM-0008,ORG-0061,owner,CIRPASS-2 European project
AO-00196,LCA-NOM-0008,ORG-0114,operator/maintainer,EUDPP ontology contributors via DPP Vocabulary Hub
AO-00197,LCA-PLT-0005,ORG-0166,owner,Global Building Data Initiative under GLOBE
AO-00198,LCA-PLT-0005,ORG-0156,operator/maintainer,GBDI consortium
AO-00199,LCA-FMT-0013,ORG-0165,owner,Global Building Data Initiative
AO-00200,LCA-FMT-0013,ORG-0157,operator/maintainer,GBDI technical community
AO-00201,LCA-DB-0035,ORG-0019,owner,BATTERS
AO-00202,LCA-DB-0035,ORG-0020,operator/maintainer,BATTERS / WELOOP experts
AO-00203,LCA-DB-0036,ORG-0023,owner,BioEnergieDat project consortium
AO-00204,LCA-DB-0036,ORG-0240,operator/maintainer,Legacy project portal; dataset owners include KIT and partners
AO-00205,LCA-DB-0037,ORG-0324,owner,Swedish Life Cycle Center
AO-00206,LCA-DB-0037,ORG-0050,operator/maintainer,"Chalmers University of Technology, Environmental Systems Analysis"
AO-00207,LCA-DB-0038,ORG-0106,owner,ERASM
AO-00208,LCA-DB-0038,ORG-0107,operator/maintainer,ERASM member-company collaboration
AO-00209,LCA-DB-0039,ORG-0238,owner,LCIE Bureau Veritas
AO-00210,LCA-DB-0039,ORG-0032,operator/maintainer,Bureau Veritas CODDE
AO-00211,LCA-DB-0040,ORG-0322,owner,Sustainable Impact Metrics Foundation / Delft University of Technology lineage
AO-00212,LCA-DB-0040,ORG-0094,operator/maintainer,eco-costs/value maintainers
AO-00213,LCA-DB-0041,ORG-0056,owner,CIRAIG Sustainable Consumption Chair
AO-00214,LCA-DB-0041,ORG-0053,operator/maintainer,CIRAIG / POLARIIS+ collaboration
AO-00215,LCA-DB-0042,ORG-0337,owner,The Evah Institute / Ecquate Pty Ltd
AO-00216,LCA-DB-0042,ORG-0131,operator/maintainer,Evah Associates
AO-00217,LCA-DB-0043,ORG-0115,owner,EuGeos / Chris Foster
AO-00218,LCA-DB-0043,ORG-0085,operator/maintainer,Distributed historically through openLCA Nexus
AO-00219,LCA-NOM-0007,ORG-0221,owner,IUPAC and InChI Trust
AO-00220,LCA-NOM-0007,ORG-0196,operator/maintainer,InChI Trust
AO-00221,LCA-NOM-0009,ORG-0366,owner,US National Library of Medicine / National Center for Biotechnology Information
AO-00222,LCA-NOM-0009,ORG-0292,operator/maintainer,PubChem
AO-00223,LCA-NOM-0010,ORG-0075,owner,Daylight Chemical Information Systems (original specification); multiple later dialects
AO-00224,LCA-NOM-0010,ORG-0076,operator/maintainer,Daylight for original specification; distributed implementer community
AO-00225,LCA-NET-0007,ORG-0064,owner,Climate Farm Demo consortium
AO-00226,LCA-NET-0007,ORG-0185,operator/maintainer,Horizon Europe consortium
AO-00227,LCA-REP-0006,ORG-0072,owner,Cornerstone Sustainability Data Initiative
AO-00228,LCA-REP-0006,ORG-0108,operator/maintainer,"ERG, Stanford and Watershed-supported initiative"
AO-00229,LCA-DB-0044,ORG-0049,owner,Chalmers University of Technology-led DeDuCE team
AO-00230,LCA-DB-0044,ORG-0079,operator/maintainer,DeDuCE research team and partners
AO-00231,LCA-NET-0008,ORG-0082,owner,Départ de Sentier association
AO-00232,LCA-NET-0008,ORG-0077,operator/maintainer,DdS board and staff
AO-00233,LCA-PLT-0006,ORG-0081,owner,Départ de Sentier
AO-00234,LCA-PLT-0006,ORG-0078,operator/maintainer,DdS platform and data engineering team
AO-00235,LCA-DB-0045,ORG-0147,owner,FOODTURE Horizon Europe consortium
AO-00236,LCA-DB-0045,ORG-0381,operator/maintainer,WP1 led by ADEME within the FOODTURE consortium
AO-00237,LCA-NET-0009,ORG-0149,owner,Forum for Sustainability through Life Cycle Innovation e.V.
AO-00238,LCA-NET-0009,ORG-0152,operator/maintainer,FSLCI secretariat and member community
AO-00239,LCA-REP-0007,ORG-0207,owner,International CCU Assessment Harmonization Group
AO-00240,LCA-REP-0007,ORG-0168,operator/maintainer,"Global CO2 Initiative, University of Michigan"
AO-00241,LCA-MTH-0018,ORG-0150,owner,Framework authors
AO-00242,LCA-MTH-0018,ORG-0305,operator/maintainer,Scientific publication and author community
AO-00243,LCA-NET-0010,ORG-0176,owner,GreenGrocer consortium
AO-00244,LCA-NET-0010,ORG-0002,operator/maintainer,22-partner consortium
AO-00245,LCA-MTH-0019,ORG-0205,owner,Intergovernmental Panel on Climate Change
AO-00246,LCA-MTH-0019,ORG-0214,operator/maintainer,IPCC Task Force on National Greenhouse Gas Inventories
AO-00247,LCA-NET-0011,ORG-0127,owner,European LIFE programme consortium
AO-00248,LCA-NET-0011,ORG-0005,operator/maintainer,ADEME-led nine-partner consortium
AO-00249,LCA-MTH-0020,ORG-0358,owner,University of Kassel authors / BBSR-funded project
AO-00250,LCA-MTH-0020,ORG-0224,operator/maintainer,Kassel Institute for Sustainability data repository
AO-00251,LCA-NOM-0011,ORG-0266,owner,Ontology-pattern authors
AO-00252,LCA-NOM-0011,ORG-0263,operator/maintainer,No current maintainer publicly confirmed
AO-00253,LCA-REP-0008,ORG-0267,owner,Open Sustainable Technology community
AO-00254,LCA-REP-0008,ORG-0291,operator/maintainer,protontypes/open-sustainable-technology maintainers and contributors
AO-00255,LCA-NOM-0012,ORG-0200,owner,INRAE
AO-00256,LCA-NOM-0012,ORG-0201,operator/maintainer,INRAE ontology team and Recherche Data Gouv/AgroPortal
AO-00257,LCA-REP-0009,ORG-0288,owner,product impact team
AO-00258,LCA-REP-0009,ORG-0289,operator/maintainer,productimpact.info
AO-00259,LCA-DB-0046,ORG-0307,owner,"Shanghai HiQ Smart Data Co., Ltd."
AO-00260,LCA-DB-0046,ORG-0183,operator/maintainer,HiQ Data
AO-00261,LCA-DB-0047,ORG-0255,owner,Minviro Ltd
AO-00262,LCA-DB-0047,ORG-0254,operator/maintainer,Minviro
AO-00263,LCA-DB-0048,ORG-0372,owner,"WAP Sustainability, LLC"
AO-00264,LCA-DB-0048,ORG-0371,operator/maintainer,WAP Sustainability
AO-00265,LCA-REP-0010,ORG-0103,owner,EPD Australasia Ltd
AO-00266,LCA-REP-0010,ORG-0102,operator/maintainer,EPD Australasia
AO-00267,LCA-DB-0049,ORG-0014,owner,Athena Sustainable Materials Institute
AO-00268,LCA-DB-0049,ORG-0014,operator/maintainer,Athena Sustainable Materials Institute
AO-00269,LCA-DB-0050,ORG-0118,owner,European Aluminium
AO-00270,LCA-DB-0050,ORG-0118,operator/maintainer,European Aluminium
AO-00271,LCA-DB-0051,ORG-0233,owner,LCA Society of Japan / LCA Japan Forum
AO-00272,LCA-DB-0051,ORG-0232,operator/maintainer,LCA Japan Forum
AO-00273,LCA-DB-0052,ORG-0251,owner,MexiLCA initiative
AO-00274,LCA-DB-0052,ORG-0204,operator/maintainer,"Instituto de Ingeniería UNAM, Red Mexicana de Análisis de Ciclo de Vida and collaborators"
AO-00275,LCA-REP-0011,ORG-0188,owner,ICMQ S.p.A. Società Benefit / EPDItaly
AO-00276,LCA-REP-0011,ORG-0105,operator/maintainer,EPDItaly
AO-00277,LCA-QA-0006,ORG-0105,owner,EPDItaly
AO-00278,LCA-QA-0006,ORG-0105,operator/maintainer,EPDItaly
AO-00279,LCA-DB-0053,ORG-0335,owner,The European Steel Association (EUROFER)
AO-00280,LCA-DB-0053,ORG-0117,operator/maintainer,EUROFER Stainless
AO-00281,LCA-NET-0012,ORG-0297,owner,Red Iberoamericana de Ciclo de Vida
AO-00282,LCA-NET-0012,ORG-0298,operator/maintainer,RICV board and member networks
AO-00283,LCA-DB-0054,ORG-0203,owner,Instituto Brasileiro de Informação em Ciência e Tecnologia (Ibict/MCTI)
AO-00284,LCA-DB-0054,ORG-0187,operator/maintainer,Ibict — Coordenação de Tecnologias Aplicadas a Novos Produtos
AO-00285,LCA-DB-0055,ORG-0192,owner,IKE Environmental Technology / Sichuan University lineage
AO-00286,LCA-DB-0055,ORG-0193,operator/maintainer,"IKE Environmental Technology Co., Ltd."
AO-00287,LCA-DB-0056,ORG-0253,owner,"Ministry of Climate, Energy and Environment / Korea Environmental Industry & Technology Institute"
AO-00288,LCA-DB-0056,ORG-0229,operator/maintainer,Korea Environmental Industry & Technology Institute (KEITI)
AO-00289,LCA-DB-0057,ORG-0260,owner,National Science and Technology Development Agency (NSTDA) / MTEC-TIIS and national partners
AO-00290,LCA-DB-0057,ORG-0329,operator/maintainer,"Technology and Informatics Institute for Sustainability (TIIS), NSTDA"
AO-00291,LCA-DB-0058,ORG-0310,owner,SIRIM Berhad
AO-00292,LCA-DB-0058,ORG-0311,operator/maintainer,SIRIM Energy & Environment Centre
AO-00293,LCA-DB-0059,ORG-0275,owner,Peruvian Life Cycle Network / Pontificia Universidad Católica del Perú and project partners
AO-00294,LCA-DB-0059,ORG-0274,operator/maintainer,Peruvian Life Cycle Network (PELCAN)
AO-00295,LCA-DB-0060,ORG-0154,owner,Fundación InnovaCiclos
AO-00296,LCA-DB-0060,ORG-0155,operator/maintainer,Fundación InnovaCiclos / EcoEd
AO-00297,LCA-DB-0061,ORG-0170,owner,Government of Quebec / CIRAIG
AO-00298,LCA-DB-0061,ORG-0057,operator/maintainer,CIRAIG with ecoinvent
AO-00299,LCA-DB-0062,ORG-0206,owner,International Aluminium Institute
AO-00300,LCA-DB-0062,ORG-0206,operator/maintainer,International Aluminium Institute
AO-00301,LCA-DB-0063,ORG-0262,owner,Nickel Institute
AO-00302,LCA-DB-0063,ORG-0262,operator/maintainer,Nickel Institute
AO-00303,LCA-DB-0064,ORG-0213,owner,International Zinc Association
AO-00304,LCA-DB-0064,ORG-0213,operator/maintainer,International Zinc Association
AO-00305,LCA-DB-0065,ORG-0125,owner,European Container Glass Federation (FEVE)
AO-00306,LCA-DB-0065,ORG-0140,operator/maintainer,FEVE
AO-00307,LCA-DB-0066,ORG-0116,owner,Eurobitume
AO-00308,LCA-DB-0066,ORG-0116,operator/maintainer,Eurobitume
AO-00309,LCA-DB-0067,ORG-0071,owner,Consortium for Research on Renewable Industrial Materials (CORRIM)
AO-00310,LCA-DB-0067,ORG-0073,operator/maintainer,CORRIM and Federal LCA Commons
AO-00311,LCA-DB-0068,ORG-0208,owner,International Copper Association
AO-00312,LCA-DB-0068,ORG-0208,operator/maintainer,International Copper Association
AO-00313,LCA-DB-0069,ORG-0210,owner,International Institute for Sustainability Analysis and Strategy (IINAS)
AO-00314,LCA-DB-0069,ORG-0190,operator/maintainer,IINAS
AO-00315,LCA-DB-0070,ORG-0173,owner,GreenDelta GmbH
AO-00316,LCA-DB-0070,ORG-0173,operator/maintainer,GreenDelta GmbH
AO-00317,LCA-DB-0071,ORG-0173,owner,GreenDelta GmbH
AO-00318,LCA-DB-0071,ORG-0173,operator/maintainer,GreenDelta GmbH
AO-00319,LCA-DB-0072,ORG-0173,owner,GreenDelta GmbH
