evidence_id,asset_id,source_title,publisher_maintainer,url_or_file,source_type,access_date,supported_fields,evidence_excerpt,source_reliability,access_restriction,publicly_accessed,notes
EVD-0022,LCA-DB-0006,cm.chemicals database and methodology versions,Carbon Minds,https://www.carbon-minds.com/products/data/carbon-footprint-and-lca-data/database-and-methodology-versions/,Official product/version page,2026-08-22,Identity; owner; scope; current methodology; access restriction,Carbon Minds identifies cm.chemicals as a regionalized chemicals/plastics LCI database and lists methodology v2.03 dated June 2026.,A — owner/maintainer official page,Some downloads require signup; database is commercial,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0023,LCA-DB-0007,EXIOBASE official site,EXIOBASE consortium,https://exiobase.eu/,Official project page,2026-08-22,Identity; scope; geography; classification; licence; release channel,"EXIOBASE 3 is described as a global environmentally extended MR-SUT/MR-IOT system with 44 countries, five RoW regions, 200 products and 163 industries.",A — project official page,None observed for public releases,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0024,LCA-DB-0008,AIST-IDEA v4 features,AIST-IDEA programme,https://idea-lca.com/en/features/,Official product page,2026-08-22,Identity; owner; current version; scope; formats; geography,"The official page describes v4 as covering almost all Japanese business activities with 10,000+ processes and delivery in Excel and major LCA software.",A — owner/programme official page,Commercial licence required for database use,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0025,LCA-DB-0009,Italian LCA Database node,ENEA,https://bancadatiitalianalca.enea.it/Node/index.xhtml?stock=BDILCA,Government database node,2026-08-22,Identity; owner; stocks; sectors; access; schema; licence context,"The ENEA node names BDI-LCA and lists ARCADIA, EFFIGE and LIFE MAGIS LCI data stocks; public metadata are visible and full access requires registration.",B — government official infrastructure,Registration required for full dataset access,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0026,LCA-DB-0010,USEEIO models,US Environmental Protection Agency,https://www.epa.gov/land-research/us-environmentally-extended-input-output-useeio-models,Government programme page,2026-08-22,Identity; owner; scope; sector coverage; uses; maintenance,EPA describes USEEIO as a family of models combining 389-sector economic transactions with environmental and economic information.,B — government official page,None observed for public documentation and repositories,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0027,LCA-STD-0002,ISO 14040:2006 catalogue record,International Organization for Standardization,https://www.iso.org/standard/37456.html,Standards catalogue,2026-08-22,Identity; title; version; status; scope; committee; access restriction,"ISO identifies the current second edition, confirmed in 2022, with one amendment and a public abstract defining the LCA framework.",B — standards body official page,Full standard requires purchase,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0028,LCA-STD-0003,ISO 14067:2018 catalogue record,International Organization for Standardization,https://www.iso.org/standard/71206.html,Standards catalogue,2026-08-22,Identity; title; version; status; scope; predecessor; revision stage,"ISO lists the 2018 edition as published and to be revised, with a scope limited to quantification/reporting of product climate-change footprints.",B — standards body official page,Full standard requires purchase,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0029,LCA-SW-0004,One Click LCA platform and company overview,One Click LCA,https://oneclicklca.com/en-us/company/about-us,Official product/company page,2026-08-22,Identity; owner; sectors; functions; geographic reach; integrations,"The provider describes a cloud LCA and EPD platform for construction and manufacturing with BIM integrations, APIs and commercial access.",A — owner/maintainer official page,Account and commercial plan required for use,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0030,LCA-MTH-0002,RIVM LCA downloads — ReCiPe 2016,RIVM,https://www.rivm.nl/en/life-cycle-assessment-lca/downloads,Government method distribution page,2026-08-22,Identity; version; method level; files; update history,RIVM lists ReCiPe 2016 at midpoint and endpoint level with a corrected 2017 report and public characterization and normalization files.,B — government official page,No registration observed,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0031,LCA-MTH-0003,Recommendation on the use of Environmental Footprint methods,"European Commission, DG Environment",https://environment.ec.europa.eu/publications/recommendation-use-environmental-footprint-methods_en,Government method publication,2026-08-22,Identity; owner; purpose; release; public files,The Commission publishes its 2021 recommendation and annexes for measuring and communicating life-cycle environmental performance of products and organisations.,B — government official page,None for public documents,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0032,LCA-MTH-0004,Safe and Sustainable by Design framework,"European Commission, DG Research and Innovation",https://research-and-innovation.ec.europa.eu/research-area/industrial-research-and-innovation/chemicals-and-advanced-materials/safe-and-sustainable-design_en,Government framework page,2026-08-22,Identity; owner; current revision; users; scope; public documents,The official page describes the revised March 2026 voluntary SSbD recommendation and its whole-life-cycle assessment and innovation scope.,B — government official page,None for public documents,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0033,LCA-SW-0005,Sphera LCA software and data,Sphera,https://sphera.com/solutions/product-stewardship/life-cycle-assessment-software-and-data/,Official product page,2026-08-22,Identity; owner; software function; access; relationship to managed content,Sphera presents LCA for Experts as its expert modelling software and separately presents Managed LCA Content.,A — owner/maintainer official page,Commercial access,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0034,LCA-DB-0011,Sphera Managed LCA Content,Sphera,https://sphera.com/solutions/product-stewardship/life-cycle-assessment-software-and-data/managed-lca-content/,Official database portfolio page,2026-08-22,Identity; owner; scope; bundles; dataset count; access,"Sphera describes a managed commercial LCI portfolio with 20,000 datasets across standard and premium industry bundles.",A — owner/maintainer official page,Commercial database access,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0035,LCA-DB-0012,TianGong Data Platform,TianGong,https://www.tiangong.earth/data,Official project page,2026-08-22,Identity; scope; coverage claims; access channels; governance,"The official page describes TianGong LCA data, a Soda4LCA node, revision records and live statistics for processes, sectors, products and contributors.",A — project official page,Some platform actions may require an account; not used,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0036,LCA-PLT-0001,TianGong LCA introduction,TianGong,https://docs.tiangong.earth/en/,Official software documentation,2026-08-22,Identity; open-source status; functions; deployment; registration boundary,The documentation describes an open-source TIDAS-based LCA data platform with online/local deployment and multi-user collaboration.,A — project official documentation,Online use can require registration; not used,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0037,LCA-SYS-0001,TIDAS introduction,TianGong,https://tidas.tiangong.earth/en/docs/intro,Official technical documentation,2026-08-25,Identity; architecture; schema; tools; interoperability; access,"The official site brands the system as TIDAS — TianGong Data System and expands TIDAS as TIangong DAta System; it is an open-source JSON/JSON Schema system with methodology, format, data-resource, validation and eILCD conversion components.",A — project official documentation,None for public documentation,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0038,LCA-NOM-0002,BONSAI ontology and project,BONSAI,https://bonsai.uno/,Official project page and persistent ontology URI,2026-08-22,Identity; owner/community; open access; purpose,BONSAI provides open sustainability data/software and a published core ontology used for semantic life-cycle sustainability assessment.,A — project official page,None observed,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0039,LCA-NOM-0003,Life Cycle Assessment Ontology repository,Repository maintainer,https://github.com/tishchungoora/lca-ontology,Official source repository,2026-08-22,Identity; scope; format; licence; maintenance evidence,"The public repository contains an OWL LCA-methodology ontology, README and MIT licence, with no numbered releases.",A — source repository,None for public files,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0040,LCA-NOM-0004,LCABIM ontology stack,LCA to BIM Workflow project,https://design-computation-rwth.github.io/lcabim-ontology/,Official project documentation,2026-08-22,Identity; modules; scope; formats; identifiers; status,"The project publishes modular RDF/OWL resources for ILCD, construction classifications, indicators and BIM mappings under persistent w3id URIs.",A — project official page,None observed for public documentation,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0041,LCA-DB-0013,Base Empreinte presentation and access FAQ,ADEME,https://base-empreinte.ademe.fr/,Official government database page,2026-08-22,Identity; owner; lineage; scope; versions; access; restrictions,ADEME presents Base Empreinte as the official public emission-factor and LCI database merging Base Carbone and Base IMPACTS; consultation and download require a free account.,A — owner/maintainer official page,Registration required for dataset access; not used,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0042,LCA-NOM-0005,"AGROVOC about, access and maintenance",FAO,https://www.fao.org/agrovoc/about,Official UN vocabulary documentation,2026-08-22,Identity; ownership; scope; formats; API; licence; maintenance,"AGROVOC is a FAO-coordinated multilingual controlled vocabulary published as linked open data with RDF downloads, SPARQL and REST access.",A — owner/coordinator official page,None for public access; language-specific copyright applies,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0043,LCA-MTH-0005,What is AWARE?,WULCA,https://wulca-waterlca.org/what-is-aware/,Official method page,2026-08-22,Identity; purpose; calculation; spatial/temporal scale; factors; recommendations,"AWARE is a consensus water-scarcity LCIA method based on available water remaining, with sub-watershed/monthly factors and documented aggregation cautions.",A — method working-group official page,None observed for public documentation,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0044,LCA-DB-0014,About AusLCI,Australian Life Cycle Assessment Society,https://www.auslci.com.au/,Official national-database page,2026-08-22,Identity; owner; national scope; governance; public-access intent; methodology,AusLCI is presented as an ALCAS-led national publicly accessible database for standardized Australian product and service life-cycle data.,A — owner/initiative official page,Current download and licence details not clearly exposed,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0045,LCA-DB-0015,ÖKOBAUDAT downloads and technical resources,BMWSB/BBSR,https://www.oekobaudat.de/service/downloads,Official government database page,2026-08-22,Identity; owner; release; formats; access; validation; standards,"ÖKOBAUDAT publishes a downloadable 2024-II database, ILCD+EPD v1.2 specifications, validation tools and a 2026 conformance profile.",A — owner/maintainer official page,Dataset-specific rights require review,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0046,LCA-NET-0003,ECO Platform home and standards,ECO Platform AISBL,https://www.eco-platform.org/home.html,Official network page,2026-08-22,Identity; governance; members; scope; QA role; relation to portal,"ECO Platform coordinates EPD programme operators, harmonizes rules and quality requirements, and provides digital data through the separate ECO Portal.",A — owner/maintainer official page,None for public network metadata,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0047,LCA-REP-0003,ECO Portal access and API information,ECO Platform AISBL,https://www.eco-platform.org/epd-data.html,Official portal page,2026-08-22,Identity; access; API; fees; registration; transition,ECO Platform states that general EPD access remains free after registration while professional API categories can have annual fees; the portal federates programme nodes.,A — owner/maintainer official page,Registration required; professional API may require fees,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0048,LCA-FMT-0003,ILCD+EPD format and validation resources,BMWSB/BBSR — ÖKOBAUDAT,https://www.oekobaudat.de/service/downloads,Official technical documentation,2026-08-22,Identity; lineage; version; schema; validation; standards conformance,"ILCD+EPD v1.2 is documented as an ILCD extension for EN 15804, with definitions, developer documentation and downloadable validation profiles.",A — government technical page,None for public technical resources,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0049,LCA-DB-0016,LCDN developer resources — ELCD status,European Commission Joint Research Centre,https://eplca.jrc.ec.europa.eu/LCDN/developerILCD.html,Official government technical page,2026-08-22,Identity; owner; format; discontinued status; surviving components,"JRC states that ELCD process data were discontinued in 2018 because they were obsolete, while flow lists and LCIA methods remain valid for ILCD entry-level use.",A — owner/maintainer official page,None for public legacy resources,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0050,LCA-MTH-0006,ILCD Handbook umbrella report,European Commission Joint Research Centre,https://publications.jrc.ec.europa.eu/repository/handle/JRC66506,Official government reference report,2026-08-22,Identity; owner; scope; components; users; ISO basis,"The ILCD Handbook provides a common basis and detailed technical guidance for quality-assured life-cycle data, methods, assessments and reviews.",A — publisher/owner official repository,None for public publication,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0051,LCA-STD-0004,DIN EN 15804 consolidated catalogue record,DIN Media / CEN national member,https://www.dinmedia.de/en/standard/din-en-15804/344735627,Official standards catalogue,2026-08-22,Identity; current consolidated version; publication status; title; access restriction,The catalogue records EN 15804:2012+A2:2019+AC:2021 as the current construction-EPD core-rule standard.,A — national standards-body catalogue,Full text requires purchase; not accessed,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0052,LCA-FMT-0004,openLCA schema repository,GreenDelta,https://github.com/GreenDelta/olca-schema,Official source/specification repository,2026-08-22,Identity; purpose; serialization; generated bindings; licence; maintenance,"GreenDelta defines openLCA schema as the application's data-exchange format, with JSON packages, generated bindings and CC0 1.0 dedication.",A — owner/maintainer official repository,None for public specification,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0053,LCA-STD-0005,ISO 14025:2026 catalogue record,ISO,https://www.iso.org/cms/live/live/en/sites/isoorg/contents/data/standard/08/76/87610.html,Official standards catalogue,2026-08-22,Identity; edition; publication date; current status; predecessor; scope; dependencies,"ISO 14025:2026 edition 2 was published in June 2026, replacing the withdrawn 2006 edition and specifying EPD programme/declaration requirements.",A — standards owner official catalogue,Full standard requires purchase; not accessed,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0054,LCA-STD-0006,ISO/TS 14048:2002 catalogue record,ISO,https://www.iso.org/standard/29872.html,Official standards catalogue,2026-08-22,Identity; current status; confirmation date; scope; limitations,ISO/TS 14048:2002 specifies data-field structures for transparent LCA/LCI documentation and exchange and was confirmed current in 2025.,A — standards owner official catalogue,Full specification requires purchase; not accessed,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0055,LCA-MTH-0007,TRACI official method page,US EPA,https://www.epa.gov/chemical-research/tool-reduction-and-assessment-chemicals-and-other-environmental-impacts-traci,Official government method page,2026-08-22,Identity; owner; purpose; categories; current factors; access; maintenance,"EPA provides TRACI 2.2 characterization factors for LCIA and documents its impact categories, manual and ongoing spatial-method work.",A — owner/maintainer official page,None observed for public factors,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0056,LCA-SW-0007,R&D GREET Life Cycle Assessment Model,U.S. Department of Energy,https://www.energy.gov/cmei/rd-greet-life-cycle-assessment-model,Official government model page,2026-08-22,Identity; owner; maintainer; scope; users; versions; formats,"DOE identifies R&D GREET as an Argonne-developed life-cycle model covering vehicles, fuels, chemicals and materials, available in Excel and .NET forms with annual releases.",A — owner/sponsor official page,Public download terms apply,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0057,LCA-DB-0017,GFLI Database version 3.0 and access,Global Feed LCA Institute,https://globalfeedlca.org/the-gfli-database-update-version-3-0-is-here/,Official database release page,2026-08-22,Identity; owner; version; release date; ingredient count; access; QA changes,"GFLI database v3.0 was released in January 2026 with 1,920 ingredients; all database levels require a signed licence.",A — owner/maintainer official page,Licence and login required; not used,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0058,LCA-MTH-0008,GFLI v3.0 Methodology and Procedures,Global Feed LCA Institute,https://globalfeedlca.org/wp-content/uploads/2026/01/GFLI-V3.0-Methodology-n-Procedures-for-data-projects-January-2026.pdf,Official methodology document,2026-08-22,Identity; version; release; scope; data requirements; QA; relationship to database,GFLI methodology v3.0 is the current January 2026 guidance and is explicitly versioned with database v3.0.,A — owner/maintainer official document,None for public document; database separately licensed,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0059,LCA-PLT-0002,HESTIA platform and public data access,HESTIA / University of Oxford,https://www.hestia.earth/guide/guide-accessing-data/,Official platform documentation,2026-08-22,Identity; governance; scope; access; formats; API; licence; releases,"HESTIA public data are freely accessible without an account via explorer, downloads and API, under CC BY 4.0 and in versioned releases.",A — owner/maintainer official documentation,Newest and preview releases have time-delayed priority access,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0060,LCA-FMT-0005,The HESTIA Data Standard,HESTIA / University of Oxford,https://www.hestia.earth/guide/guide-data-standard,Official technical documentation,2026-08-22,Identity; entities; identifiers; JSON-LD; validation; converters,"The HESTIA standard structures Sites, Cycles, Sources, ImpactAssessments and Terms with linked identifiers and converter support.",A — owner/maintainer official documentation,None for public documentation,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0061,LCA-SW-0008,HESTIA Calculation Models and Community Edition,HESTIA / University of Oxford,https://www.hestia.earth/docs,Official software documentation,2026-08-22,Identity; function; open-source status; local deployment; model coverage; versions,HESTIA provides open-source calculation modules and a self-hosted Community Edition for structured agricultural LCA calculations.,A — owner/maintainer official documentation,None for public documentation/source; component licences need release-level capture,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0062,LCA-NOM-0006,FoodOn ontology and source repository,FoodOn / OBO Foundry community,https://github.com/FoodOntology/foodon,Official ontology repository,2026-08-22,Identity; scope; files; identifiers; releases; governance; licence,"FoodOn is an open farm-to-fork OWL ontology with persistent releases, community maintenance and CC BY 4.0 licensing.",A — official source repository,None for public ontology,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0063,LCA-NET-0004,GHG Protocol about and governance,WRI and WBCSD,https://ghgprotocol.org/about-us,Official initiative page,2026-08-22,Identity; owners; mission; governance; standards scope; maintenance,"GHG Protocol is managed by WRI and WBCSD and uses steering, standards-board and technical-working-group governance for global GHG accounting standards.",A — owner/maintainer official page,None for public programme metadata,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0064,LCA-MTH-0009,GHG Protocol Product Standard,WRI and WBCSD,https://ghgprotocol.org/product-standard,Official standard page,2026-08-22,Identity; owners; scope; access; governance; current revision status,The Product Standard covers full product life-cycle GHG emissions and is publicly downloadable; a joint ISO harmonization effort was announced in 2026.,A — standards owner official page,None for public standard download,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0065,LCA-MTH-0010,IMPACT World+ methodology and versions,IMPACT World+ consortium,https://www.impactworldplus.org/methodology/,Official method page,2026-08-22,Identity; scope; versions; regionalization; indicators; maintenance; access,"IMPACT World+ is an actively maintained globally regionalized LCIA method; v2.2.1 was released in March 2026 with Expert, Midpoint and Footprint variants.",A — method owner/maintainer official page,None observed for public method resources,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0066,LCA-SW-0009,Ecochain LCA automation software,Ecochain Technologies,https://ecochain.com/product/,Official software product page,2026-08-22,Identity; owner; current branding; functions; standards; access; integrations,"Ecochain describes one unified commercial LCA automation solution, with Mobius and Helix retained as earlier application names.",A — owner/maintainer official page,Account/subscription required; not used,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0067,LCA-QA-0001,ecoinvent Data Quality Guidelines and uncertainties,ecoinvent Association,https://support.ecoinvent.org/introduction-to-the-database,Official database methodology page,2026-08-22,Identity; owner; role; review; pedigree indicators; uncertainty; access,ecoinvent describes its Data Quality Guidelines as the cornerstone of version 3 modelling and documents a five-indicator pedigree matrix used in uncertainty calculations.,A — owner/maintainer official page,Underlying database remains licensed,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0068,LCA-FMT-0006,ecoinvent data formats overview — EcoSpold 1 legacy,ecoinvent Association,https://support.ecoinvent.org/data-formats-overview,Official format overview,2026-08-22,Identity; lineage; legacy status; relation to ecoSpold2,EcoSpold 1 is the predecessor of ecoSpold2 and remains a legacy exchange format rather than a current ecoinvent format.,A — successor-owner official overview,Historical schema/licence details incomplete,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0069,LCA-DB-0018,WFLDB official overview,Quantis,https://quantis.com/services-solutions/consortium-building-and-management/wfldb/,Official database page,2026-08-22,Identity; owner; scope; coverage; access; review,The official page describes an international food LCI database with thousands of datasets and access through eQosphere.,A — owner/maintainer official page,Commercial access; not used,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0070,LCA-DB-0019,Environmental impact of food products,RIVM,https://www.rivm.nl/en/food-and-nutrition/sustainable-food/environmental-impact-of-food-products,Government database page,2026-08-22,Identity; owner; scope; version; download; licence; method; limitations,RIVM offers a free CC BY 4.0 XLSX database for about 400 generic foods and warns that individual-product comparisons require external review.,A — government owner official page,None for public download,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0071,LCA-DB-0020,ProBas and ProBas2 public database,German Environment Agency,https://www.probas.umweltbundesamt.de/,Government database page,2026-08-22,Identity; owner; scope; dataset count; public access; exports,"UBA states that ProBas has supplied free process data since the 1990s and offers over 20,000 datasets with standard export functions.",A — government owner official page,Rights and quality vary by source dataset,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0072,LCA-DB-0021,INIES reference database and consultation guide,INIES,https://www.inies.fr/en/accueil/,Official database page,2026-08-22,Identity; scope; governance; contents; access; verification; web service,"INIES is the French reference database for building environmental and health data, with free online consultation and governed verification programmes.",A — operator official page,Submission and some services require accounts/contracts,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0073,LCA-DB-0022,PlasticsEurope Eco-profiles set,Plastics Europe,https://plasticseurope.org/sustainability/circularity/life-cycle-thinking/eco-profiles-set/,Official sector database page,2026-08-22,Identity; owner; scope; formats; updates; distribution; methodology,"The official collection comprises plastics LCI datasets and EPDs, downloadable in multiple formats with product-level dates and update notes.",A — owner/maintainer official page,Some obsolete datasets supplied only on request,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0074,LCA-DB-0023,worldsteel LCI data and eco-profiles,World Steel Association,https://worldsteel.org/wider-sustainability/life-cycle-thinking/life-cycle-inventory-data-and-eco-profiles/,Official industry database page,2026-08-22,Identity; owner; current release; products; geography; access; methodology,worldsteel released its current 2024 global/regional LCI dataset in May 2026 for 16 steel products and provides public eco-profiles.,A — owner/maintainer official page,Full LCI data require a request form; not used,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0075,LCA-FMT-0007,openEPD format principles and specification,openEPD Forum,https://docs.open-epd-forum.org/en/open-epd-format/,Official specification,2026-08-22,Identity; openness; schema; compatibility; versioning; security; extensions,"The specification describes a free JSON/OpenAPI-compatible, versioned EPD interchange format with mandatory fields and sector extensions.",A — format owner official documentation,None for public specification,Yes,"No registration, login, purchase or restricted-content download was used."
