mapping_artifact_id,source_asset_id,source_schema_format,source_version,target_asset_id,target_schema_format,target_version,direction,mapping_type,implementing_software_tool,project_study,artifact_url_doi,maintainer,claimed_tested,test_scope,known_loss_exception,licence,status,evidence_as_of,next_validation_action,source_endpoint_original,source_endpoint,source_endpoint_kind,source_endpoint_alignment_method,target_endpoint_original,target_endpoint,target_endpoint_kind,target_endpoint_alignment_method
MAP-0011,LCA-DB-0002,USLCI JSON-LD,1.2026-06.0,LCA-SW-0003,openLCA,2.6.1,Import / open,Versioned distribution compatibility,openLCA,USLCI release compatibility table,https://github.com/FLCAC-admin/uslci-content/blob/dev/docs/release_info/release-downloads.md,Federal LCA Commons / USLCI maintainers,Provider version pair documented,Release table pairs USLCI 1.2026-06.0 with openLCA 2.6.1,No quantitative fidelity test captured,USLCI release terms apply,Version pair documented,2026-08-22,Open the public package and run schema/import validation without API access.,USLCI JSON-LD,USLCI JSON-LD distribution,Database distribution,Curated synonym alignment,openLCA,openLCA software,Software importer,Curated synonym alignment
MAP-0012,LCA-FMT-0007,openEPD,Not publicly confirmed,LCA-SW-0036,Theta LCA Software,Not publicly confirmed,Export,Native export implementation,Theta LCA Software,WAP product workflow,https://wapsustainability.com/2025/10/13/wap-sustainability-launches-omnichannel-lca-amp-epd-platform-built-on-openepd/,WAP Sustainability / SLR,Provider-confirmed; schema version not stated,Relationship REL-0210,No conformance report or exact schema version published,Commercial platform terms,Confirmed by provider,2026-08-22,Validate an exported example against a tagged openEPD schema.,openEPD,openEPD,Schema / exchange format,Curated canonical endpoint,Theta LCA Software,Theta LCA Software,Software importer,Curated canonical endpoint
MAP-0013,LCA-FMT-0007,openEPD,Not publicly confirmed,LCA-SW-0037,epd.world workflow,Not publicly confirmed,Workflow exchange,Transmission of verified EPD data,epd.world,WAP product workflow,https://wapsustainability.com/2025/10/13/wap-sustainability-launches-omnichannel-lca-amp-epd-platform-built-on-openepd/,WAP Sustainability,Provider-confirmed; schema version not stated,Relationship REL-0213,Validation rules and supported version not public,Commercial platform terms,Confirmed by provider,2026-08-22,"Publish schema version, validation report and example payload.",openEPD,openEPD,Schema / exchange format,Curated canonical endpoint,epd.world workflow,epd.world workflow,Platform workflow,Curated canonical endpoint
MAP-0014,External,EcoSpold02,beta 4/5 documentation,LCA-FMT-0002,ILCD,Not publicly confirmed,One-way,Legacy public format converter,openLCA format converter,GreenDelta conversion documentation,https://www.openlca.org/wp-content/uploads/2015/11/conversion_documentation_EcoSpold02_to_ILCD_public.pdf,GreenDelta,Documented converter; current maintenance status unclear,Public conversion documentation,Legacy schema versions; current applicability must be checked,Not publicly confirmed,Historical mapping artifact,2026-08-22,"Determine code availability, current maintainer and supported modern schema versions.",EcoSpold02,ecoSpold2,Schema / exchange format,Curated synonym alignment,ILCD,ILCD / eILCD,Schema / exchange format,Curated synonym alignment
MAP-0015,External,SimaPro CSV,Release-specific CSV dialect,LCA-SW-0002,Brightway internal data model,Brightway 2/2.5 component line,Import / export,Maintained parser and exporter,bw_simapro_csv,Brightway SimaPro CSV project,https://docs.brightway.dev/projects/bw-simapro-csv/en/latest/content/changelog.html,Brightway developer community,Maintained implementation with automated package tests; not independently tested in this review,Public changelog records first release 0.1.0 on 2024-06-17 and release 0.2 on 2024-07-09,"Formula, unit and multifunctionality edge cases are handled incrementally; no lossless round-trip claim captured",Open-source package; verify exact release licence,Documented maintained implementation,2026-08-22,Run import/export and quantitative comparison on a public SimaPro CSV example.,SimaPro CSV,SimaPro CSV,Software exchange format,Curated canonical endpoint,Brightway internal data model,Brightway internal data model,Software internal model,Curated canonical endpoint
MAP-0016,LCA-FMT-0011,TfS PCF Data Model,3.1,LCA-FMT-0008,WBCSD PACT Technical Specifications,3.0.3,Alignment / exchange,Cross-initiative semantic alignment; field-level crosswalk not captured,TfS PCF Exchange Solution / PACT-conformant solutions,TfS–WBCSD PACT interoperability alignment,https://www.tfs-initiative.com/news/tfs-launches-updated-pcf-data-model-v3-1-advancing-alignment-and-verification,Together for Sustainability and WBCSD PACT communities,Official alignment claim; no public conformance report or field-by-field mapping captured,TfS states v3.1 incorporates PACT and Catena-X considerations,Alignment is not proof of one-to-one field equivalence or lossless transformation,Public guidance; implementation terms are solution-specific,"Alignment relationship, not a verified converter",2026-08-22,"Locate a versioned crosswalk and public example payloads, then validate mandatory/optional-field coverage.",TfS PCF Data Model,TfS PCF Data Model,Data model / schema,Curated canonical endpoint,WBCSD PACT Technical Specifications,WBCSD PACT Technical Specifications,Data model / specification,Curated canonical endpoint
MAP-0017,LCA-FMT-0010,Catena-X PCF data model / CX-0136,2026 guidance/current line,LCA-FMT-0008,WBCSD PACT Technical Specifications,3.0.3,Ongoing alignment and interoperability testing,Cross-ecosystem alignment programme,Catena-X PCF solutions and test cases,Catena-X PCF Interoperability and Architecture Expert Group,https://catena-x.net/news/apply-now-expert-group-pcf-interoperability-and-architecture/,Catena-X Automotive Network expert group,Ongoing programme; public versioned crosswalk and results not yet captured,"Expert group mandate covers interoperability weak spots, test cases and alignment with WBCSD PACT, TfS and Manufacturing-X",Programme existence does not establish current schema equivalence,Public programme information; artifact licence pending,Ongoing mapping/alignment programme,2026-08-22,"Capture released test cases, schema versions, mapping rules and conformance results when published.",Catena-X PCF data model / CX-0136,Catena-X PCF data model (CX-0136),Data model / schema,Curated synonym alignment,WBCSD PACT Technical Specifications,WBCSD PACT Technical Specifications,Data model / specification,Curated canonical endpoint
MAP-0018,External,ecoinvent 3.7; IDEA 2.3; EF 3.0 elementary-flow lists,3.7; 2.3; 3.0,LCA-NOM-0001,Federal Elementary Flow List (FEDEFL),1.0.3,Twelve directional source–target mapping files,Elementary-flow nomenclature mapping,GLAD Mapper,GLAD Nomenclature Working Group; 2024 peer-reviewed interoperability case study,https://eplca.jrc.ec.europa.eu/permalink/GLAD_Mapper/GLAD_Instructions.pdf | https://github.com/UNEP-Economy-Division/GLAD-ElementaryFlowResources,European Commission JRC / UNEP Life Cycle Initiative / participating flow-list owners,Public mapping files and peer-reviewed case-study evidence,Four elementary-flow lists and 12 directional mapping outputs,"Context, compartment and one-to-many differences remain; this does not convert complete database schemas",Public project repository; exact repository licence should be captured by release,Verified public nomenclature mapping artifact,2026-08-22,"Capture a tagged release, reproduce mapping-coverage metrics and test downstream LCIA effects for each version pair.",ecoinvent 3.7; IDEA 2.3; EF 3.0 elementary-flow lists,ecoinvent 3.7 + IDEA 2.3 + EF 3.0 elementary-flow lists,Reference-list set,Curated synonym alignment,Federal Elementary Flow List (FEDEFL),Federal Elementary Flow List (FEDEFL),Reference list,Curated canonical endpoint
MAP-0019,LCA-SYS-0001,TIDAS JSON,Schema assets bundled with TIDAS Tools v0.2.0; standalone schema version not separately confirmed,LCA-FMT-0002,eILCD XML,Integrity-locked eILCD XSD assets bundled with TIDAS Tools v0.2.0,Export: TIDAS to eILCD,Schema and package conversion with semantic recovery,TIDAS Tools v0.2.0,TianGong TIDAS Tools native conversion,https://github.com/tiangong-lca/tidas-tools/blob/v0.2.0/docs/agents/cli-contract.md | https://github.com/tiangong-lca/tidas-tools/blob/v0.2.0/contracts/conversion-report.v1.schema.json,TIDAS Tools maintainers,"Implemented with public representative semantic round-trip, XSD-validation and deterministic-hash tests; not independently benchmarked in this review","Representative dataset categories, schema ordering, eILCD XSD validation, stable output hashes, extension-envelope recovery and source-semantic recovery",The standalone eILCD XML projection cannot carry every TIDAS-only field; deterministic envelope/recovery sidecars must stay with the output for the repository's verified reverse recovery claim.,MIT software repository; bundled third-party schema assets may have separate terms,Implemented and repository-tested; independent cross-tool benchmark pending,2026-08-25,"Run v0.2.0 on a public, versioned TIDAS package; validate all eILCD XML; remove and retain sidecars in separate trials; compare recovered semantics and numerical results.",TIDAS JSON,TIDAS,Schema / exchange format,Curated synonym alignment,eILCD XML,ILCD / eILCD,Schema / exchange format,Curated synonym alignment
MAP-0020,LCA-FMT-0002,eILCD XML,Integrity-locked eILCD XSD assets bundled with TIDAS Tools v0.2.0,LCA-SYS-0001,TIDAS JSON,Schema assets bundled with TIDAS Tools v0.2.0; standalone schema version not separately confirmed,Import/convert: eILCD to TIDAS,Schema and package conversion,TIDAS Tools v0.2.0,TianGong TIDAS Tools native conversion,https://github.com/tiangong-lca/tidas-tools/blob/v0.2.0/docs/agents/cli-contract.md | https://github.com/tiangong-lca/tidas-tools/blob/v0.2.0/contracts/conversion-report.v1.schema.json,TIDAS Tools maintainers,Implemented with public representative semantic round-trip and schema-validation tests; not independently benchmarked in this review,"Representative eILCD/TIDAS package conversion, target TIDAS assets, report-schema validation and sidecar-assisted reverse recovery",Recovery sidecars only restore TIDAS fragments that were produced by the paired TIDAS-to-eILCD conversion; arbitrary third-party eILCD files do not contain those sidecars or prove TIDAS semantic equivalence.,MIT software repository; bundled third-party schema assets may have separate terms,Implemented and repository-tested; independent cross-tool benchmark pending,2026-08-25,"Test several independently produced public eILCD packages and record dataset-type coverage, rejected constructs, warnings and semantic differences.",eILCD XML,ILCD / eILCD,Schema / exchange format,Curated synonym alignment,TIDAS JSON,TIDAS,Schema / exchange format,Curated synonym alignment
MAP-0021,LCA-FMT-0006,EcoSpold 1 XML,Format family detected by TIDAS Tools v0.2.0; exact schema revisions not enumerated,LCA-SYS-0001,TIDAS JSON,Schema assets bundled with TIDAS Tools v0.2.0,One-way import to TIDAS,Native external-format import adapter,TIDAS Tools v0.2.0,TianGong TIDAS Tools native import,https://github.com/tiangong-lca/tidas-tools/blob/v0.2.0/docs/agents/cli-contract.md | https://github.com/tiangong-lca/tidas-tools/blob/v0.2.0/contracts/import-execution-report.v1.schema.json,TIDAS Tools maintainers,Implemented adapter with public fixtures/tests required by the repository validation matrix; not independently tested in this review,"Format detection, adapter fixture import, TIDAS target validation, deterministic package/mapping/bundle hashes and malformed-input handling","Legacy EcoSpold 1 is imported one way; exact supported schema variants and field-preservation coverage are not published as a matrix, and mapping.csv.gz is not proof of lossless semantic equivalence.",MIT software repository; source data rights remain external,Implemented import adapter; version-pair and loss benchmark pending,2026-08-25,"Run a public EcoSpold 1 fixture through v0.2.0 and publish field coverage, warnings, ID mapping and quantitative checks.",EcoSpold 1 XML,EcoSpold 1,Schema / exchange format,Curated synonym alignment,TIDAS JSON,TIDAS,Schema / exchange format,Curated synonym alignment
MAP-0022,LCA-FMT-0001,ecoSpold2,Format family detected by TIDAS Tools v0.2.0; exact schema revisions not enumerated,LCA-SYS-0001,TIDAS JSON,Schema assets bundled with TIDAS Tools v0.2.0,One-way import to TIDAS,Native external-format import adapter,TIDAS Tools v0.2.0,TianGong TIDAS Tools native import,https://github.com/tiangong-lca/tidas-tools/blob/v0.2.0/docs/agents/cli-contract.md | https://github.com/tiangong-lca/tidas-tools/blob/v0.2.0/contracts/import-execution-report.v1.schema.json,TIDAS Tools maintainers,Implemented adapter with public fixtures/tests required by the repository validation matrix; not independently tested in this review,"Format detection, adapter fixture import, TIDAS target validation, deterministic package/mapping/bundle hashes and malformed-input handling","The adapter is documented as one-way import; exact ecoSpold2 schema versions and field-level preservation are not enumerated, and source database licence/reference data remain external.",MIT software repository; source data rights remain external,Implemented import adapter; version-pair and loss benchmark pending,2026-08-25,"Test public ecoSpold2 examples from explicit schema releases and compare parameters, exchanges, uncertainty, classifications and numerical results.",ecoSpold2,ecoSpold2,Schema / exchange format,Curated canonical endpoint,TIDAS JSON,TIDAS,Schema / exchange format,Curated synonym alignment
MAP-0023,LCA-SW-0001,SimaPro CSV,Release-specific CSV dialect; v0.2.0 public CLI test includes a SimaPro 9.5 fixture,LCA-SYS-0001,TIDAS JSON,Schema assets bundled with TIDAS Tools v0.2.0,One-way import to TIDAS,Native software-exchange-format import adapter,TIDAS Tools v0.2.0,TianGong TIDAS Tools native import,https://github.com/tiangong-lca/tidas-tools/blob/v0.2.0/docs/agents/cli-contract.md | https://github.com/tiangong-lca/tidas-tools/blob/v0.2.0/crates/tidas-cli/tests/cli_contract.rs,TIDAS Tools maintainers,Implemented adapter with public deterministic SimaPro CSV CLI tests; not independently tested in this review,"SimaPro 9.5 fixture detection/import, validated TIDAS output, deterministic reports and mapping.csv.gz, warnings and missing-fact rejection","SimaPro CSV dialects vary by release and export option; the adapter is one-way, requires source-backed canonical facts and can reject incomplete rows; no lossless round-trip claim is made.",MIT software repository; SimaPro software/data rights remain external,Implemented import adapter; broader dialect benchmark pending,2026-08-25,"Test public CSV examples from multiple SimaPro releases and report formula, unit, uncertainty, allocation and identifier coverage.",SimaPro CSV,SimaPro CSV,Software exchange format,Curated canonical endpoint,TIDAS JSON,TIDAS,Schema / exchange format,Curated synonym alignment
MAP-0024,LCA-FMT-0004,openLCA JSON-LD,Format family detected by TIDAS Tools v0.2.0; exact olca-schema revisions not enumerated,LCA-SYS-0001,TIDAS JSON,Schema assets bundled with TIDAS Tools v0.2.0,One-way import to TIDAS,Native schema/package import adapter,TIDAS Tools v0.2.0,TianGong TIDAS Tools native import,https://github.com/tiangong-lca/tidas-tools/blob/v0.2.0/docs/agents/cli-contract.md | https://github.com/tiangong-lca/tidas-tools/blob/v0.2.0/contracts/import-execution-report.v1.schema.json,TIDAS Tools maintainers,Implemented adapter with public fixtures/tests required by the repository validation matrix; not independently tested in this review,"JSON-LD signature detection, adapter fixture import, TIDAS validation, deterministic mapping and package hashes, malformed/unsupported input handling","The adapter supports openLCA JSON-LD packages, not .zolca databases; it is one-way and the exact olca-schema version/field-coverage matrix is not published.",MIT software repository; openLCA schema is CC0; source database rights remain external,Implemented import adapter; version-pair and loss benchmark pending,2026-08-25,"Test public JSON-LD packages from explicit olca-schema/openLCA releases and compare all model entities, references and calculation results.",openLCA JSON-LD,openLCA JSON-LD,Schema / exchange format,Curated canonical endpoint,TIDAS JSON,TIDAS,Schema / exchange format,Curated synonym alignment
MAP-0025,LCA-SW-0003,openLCA process XLSX,Process-workbook family detected by TIDAS Tools v0.2.0; exact openLCA export versions not enumerated,LCA-SYS-0001,TIDAS JSON,Schema assets bundled with TIDAS Tools v0.2.0,One-way import to TIDAS,Native software-exchange-format import adapter,TIDAS Tools v0.2.0,TianGong TIDAS Tools native import,https://github.com/tiangong-lca/tidas-tools/blob/v0.2.0/docs/agents/cli-contract.md | https://github.com/tiangong-lca/tidas-tools/blob/v0.2.0/contracts/import-execution-report.v1.schema.json,TIDAS Tools maintainers,Implemented adapter with public fixtures/tests required by the repository validation matrix; not independently tested in this review,"Workbook signature detection, process import, TIDAS validation, deterministic mapping/package hashes and malformed-input handling","This endpoint is an openLCA process workbook, not the openLCA JSON-LD schema or .zolca database; it is a one-way import and exact workbook-version/field coverage is not published.",MIT software repository; openLCA software/data rights remain external,Implemented import adapter; workbook-version and loss benchmark pending,2026-08-25,"Test workbooks exported from named openLCA releases and report process, exchange, parameter, uncertainty and reference-data preservation.",openLCA process XLSX,openLCA process XLSX,Software exchange format,Curated canonical endpoint,TIDAS JSON,TIDAS,Schema / exchange format,Curated synonym alignment
