organization_id,preferred_label,entity_type,normalization_status
ORG-0199,InnoBlock Technology Ltd,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0200,INRAE,Not typed in this review,Exact public label
ORG-0201,INRAE ontology team and Recherche Data Gouv/AgroPortal,Not typed in this review,Composite public label—review before splitting
ORG-0202,"Institute for Information Industry, Digital Transformation Research Institute",University / research institution,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0203,Instituto Brasileiro de Informação em Ciência e Tecnologia (Ibict/MCTI),Not typed in this review,Composite public label—review before splitting
ORG-0204,"Instituto de Ingeniería UNAM, Red Mexicana de Análisis de Ciclo de Vida and collaborators",Not typed in this review,Composite public label—review before splitting
ORG-0205,Intergovernmental Panel on Climate Change,Not typed in this review,Exact public label
ORG-0206,International Aluminium Institute,Nonprofit / industry organization,Actor and role resolved from reviewed public evidence
ORG-0207,International CCU Assessment Harmonization Group,Not typed in this review,Exact public label
ORG-0208,International Copper Association,Not typed in this review,Exact public label
ORG-0209,International EPD System,Not typed in this review,Exact public label
ORG-0210,International Institute for Sustainability Analysis and Strategy (IINAS),Not typed in this review,Composite public label—review before splitting
ORG-0211,International Organization for Standardization,Not typed in this review,Exact public label
ORG-0212,International Organization for Standardization (ISO),Not typed in this review,Exact public label
ORG-0213,International Zinc Association,Not typed in this review,Exact public label
ORG-0214,IPCC Task Force on National Greenhouse Gas Inventories,Not typed in this review,Exact public label
ORG-0215,IPCC Working Group I assessment process,Not typed in this review,Exact public label
ORG-0216,iPoint-systems GmbH,Company,Actor and role resolved from reviewed public evidence
ORG-0217,ISO/TC 207/SC 3,Not typed in this review,Composite public label—review before splitting
ORG-0218,ISO/TC 207/SC 5,Not typed in this review,Composite public label—review before splitting
ORG-0219,ISO/TC 207/SC 7,Not typed in this review,Composite public label—review before splitting
ORG-0220,ITeC,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0221,IUPAC and InChI Trust,Not typed in this review,Composite public label—review before splitting
ORG-0222,IZUBA énergies,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0223,"Kanso, Inc. / Carbonfact",Not typed in this review,Composite public label—review before splitting
ORG-0224,Kassel Institute for Sustainability data repository,Not typed in this review,Exact public label
ORG-0225,KieranTimberlake,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0226,Kimel Tech SpA,Company,Actor and role resolved from reviewed public evidence
ORG-0227,Kiwa,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0228,Kleis Technology,Company,Actor and role resolved from reviewed public evidence
ORG-0229,Korea Environmental Industry & Technology Institute (KEITI),Not typed in this review,Exact public label
ORG-0230,LC-IMPACT project; openLCA adaptation by GreenDelta GmbH,Not typed in this review,Composite public label—review before splitting
ORG-0231,LCA CARE project consortium,Public consortium / community,Actor and role resolved from reviewed public evidence
ORG-0232,LCA Japan Forum,Not typed in this review,Exact public label
ORG-0233,LCA Society of Japan / LCA Japan Forum,Not typed in this review,Composite public label—review before splitting
ORG-0234,LCA to BIM Workflow research project,Not typed in this review,Exact public label
ORG-0235,LCA.no AS,Company,Legal entity resolved from official privacy notice
ORG-0236,LCAx contributors,Not typed in this review,Exact public label
ORG-0237,LCAx open-source project / OCNI-DTU contributors,Not typed in this review,Composite public label—review before splitting
ORG-0238,LCIE Bureau Veritas,Not typed in this review,Exact public label
ORG-0239,Legacy project data; openLCA conversion maintained historically by GreenDelta,Not typed in this review,Composite public label—review before splitting
ORG-0240,Legacy project portal; dataset owners include KIT and partners,Not typed in this review,Composite public label—review before splitting
ORG-0241,"Leiden University, Institute of Environmental Sciences (CML)",Not typed in this review,Exact public label
ORG-0242,Leonardo Ferhati,Individual,Actor and role resolved from reviewed public evidence
ORG-0243,Life Cycle Initiative / participating nodes,Not typed in this review,Composite public label—review before splitting
ORG-0244,Life Cycle Initiative GLAM stewardship community,Not typed in this review,Exact public label
ORG-0245,Life Cycle Initiative hosted at UNEP,Not typed in this review,Exact public label
ORG-0246,Life Cycle Initiative secretariat and steering governance,Not typed in this review,Composite public label—review before splitting
ORG-0247,Life Cycle Initiative with scientific partners,Not typed in this review,Exact public label
ORG-0248,Lifecycles,Company,Actor and role resolved from reviewed public evidence
ORG-0249,Makersite GmbH,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0250,Mérieux NutriSciences | Blonk,Not typed in this review,Exact public label
ORG-0251,MexiLCA initiative,Not typed in this review,Exact public label
ORG-0252,Microsoft,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0253,"Ministry of Climate, Energy and Environment / Korea Environmental Industry & Technology Institute",Not typed in this review,Composite public label—review before splitting
ORG-0254,Minviro,Not typed in this review,Exact public label
ORG-0255,Minviro Ltd,Company,Actor and role resolved from reviewed public evidence
ORG-0256,Muir AI,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0257,National Institute for Public Health and the Environment (RIVM),Not typed in this review,Composite public label—review before splitting
ORG-0258,National Institute of Advanced Industrial Science and Technology (AIST),Not typed in this review,Composite public label—review before splitting
ORG-0259,National Laboratory of the Rockies on Federal LCA Commons,Not typed in this review,Exact public label
ORG-0260,National Science and Technology Development Agency (NSTDA) / MTEC-TIIS and national partners,Not typed in this review,Composite public label—review before splitting
ORG-0261,New Earth / Social Hotspots Database provider,Not typed in this review,Composite public label—review before splitting
ORG-0262,Nickel Institute,Not typed in this review,Exact public label
ORG-0263,No current maintainer publicly confirmed,Not typed in this review,Exact public label
ORG-0264,Oliver Kusche Research & Consulting (OKWorx),Company,Actor and role resolved from reviewed public evidence
ORG-0265,One Click LCA Oy Ltd,Company,Actor and role resolved from reviewed public evidence
ORG-0266,Ontology-pattern authors,Not typed in this review,Exact public label
ORG-0267,Open Sustainable Technology community,Not typed in this review,Exact public label
ORG-0268,openEPD contributors and reference implementers,Not typed in this review,Composite public label—review before splitting
ORG-0269,openEPD Forum / Building Transparency ecosystem,Not typed in this review,Composite public label—review before splitting
ORG-0270,Optel Group,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0271,Partnership for Carbon Transparency,Not typed in this review,Exact public label
ORG-0272,Partnership for Carbon Transparency (PACT),Not typed in this review,Exact public label
ORG-0273,Paul Scherrer Institute,University / research institution,Actor and role resolved from reviewed public evidence
ORG-0274,Peruvian Life Cycle Network (PELCAN),Not typed in this review,Exact public label
ORG-0275,Peruvian Life Cycle Network / Pontificia Universidad Católica del Perú and project partners,Not typed in this review,Composite public label—review before splitting
ORG-0276,PFN secretariat and member/collaborator community,Not typed in this review,Composite public label—review before splitting
ORG-0277,PFN technical community convened by EA – Earth Action,Not typed in this review,Exact public label
ORG-0278,PILARIO SA,Company,Legal entity resolved from official privacy notice
ORG-0279,PIQET Consortium,Public consortium / community,Actor and role resolved from reviewed public evidence
ORG-0280,PlanetFWD Inc.,Company,Legal entity resolved from official privacy notice
ORG-0281,Plastic Footprint Network,Not typed in this review,Exact public label
ORG-0282,Plastic Footprint Network convened by EA – Earth Action,Not typed in this review,Exact public label
ORG-0283,Plastics Europe,Not typed in this review,Exact public label
ORG-0284,Plastics Europe and relevant sector groups,Not typed in this review,Composite public label—review before splitting
ORG-0285,Potsdam Institute for Climate Impact Research,University / research institution,Actor and role resolved from reviewed public evidence
ORG-0286,PRé Sustainability B.V.,Company,Actor and role resolved from reviewed public evidence
ORG-0287,PRIMUS project / Plastics Recyclers Europe,Not typed in this review,Composite public label—review before splitting
ORG-0288,product impact team,Not typed in this review,Exact public label
ORG-0289,productimpact.info,Not typed in this review,Exact public label
ORG-0290,Project author/community repository,Not typed in this review,Composite public label—review before splitting
ORG-0291,protontypes/open-sustainable-technology maintainers and contributors,Not typed in this review,Composite public label—review before splitting
ORG-0292,PubChem,Not typed in this review,Exact public label
ORG-0293,PwC / Ecobilan,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0294,Quantis,Not typed in this review,Exact public label
ORG-0295,Quantis and Kleis Technology,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0296,Quantis and WFLDB partners,Not typed in this review,Composite public label—review before splitting
ORG-0297,Red Iberoamericana de Ciclo de Vida,Not typed in this review,Exact public label
ORG-0298,RICV board and member networks,Not typed in this review,Composite public label—review before splitting
ORG-0299,Riskoa Ltd,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0300,RIVM public distribution,Not typed in this review,Exact public label
ORG-0301,RIVM; LCI update performed by Mérieux NutriSciences | Blonk,Not typed in this review,Composite public label—review before splitting
ORG-0302,RWTH Aachen University,University / research institution,Actor and role resolved from reviewed public evidence
ORG-0303,RWTH design-computation project contributors,Not typed in this review,Exact public label
ORG-0304,SAP,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0305,Scientific publication and author community,Not typed in this review,Composite public label—review before splitting
ORG-0306,Semantum,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0307,"Shanghai HiQ Smart Data Co., Ltd.",Not typed in this review,Exact public label
ORG-0308,SimaPro B.V.,Company,Actor and role resolved from reviewed public evidence
ORG-0309,sinum,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0310,SIRIM Berhad,Not typed in this review,Exact public label
ORG-0311,SIRIM Energy & Environment Centre,Not typed in this review,Exact public label
ORG-0312,SKZ — Das Kunststoff-Zentrum,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0313,"Sluicebox, Inc.",Company,Legal entity resolved from official privacy notice
ORG-0314,Smart Tradzt,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0315,Social Hotspots Database team,Not typed in this review,Exact public label
ORG-0316,Solid Forest,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0317,Sphera,Not typed in this review,Exact public label
ORG-0318,"Sphera Solutions, Inc.",Company,Actor and role resolved from reviewed public evidence
ORG-0319,Startrust,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0320,Studio Gear Up,Company,Actor and role resolved from reviewed public evidence
ORG-0321,Substain,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0322,Sustainable Impact Metrics Foundation / Delft University of Technology lineage,Not typed in this review,Composite public label—review before splitting
ORG-0323,Sustech,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0324,Swedish Life Cycle Center,Not typed in this review,Exact public label
ORG-0325,Swiss Federal Office for the Environment (FOEN/BAFU),Not typed in this review,Composite public label—review before splitting
ORG-0326,Swiss Federal Offices,Not typed in this review,Exact public label
ORG-0327,Taiwan Web Service Corporation,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0328,Tanso Technologies GmbH,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0329,"Technology and Informatics Institute for Sustainability (TIIS), NSTDA",Not typed in this review,Composite public label—review before splitting
ORG-0330,Terrascope Pte. Ltd.,Company,Legal entity resolved from official terms
ORG-0331,Textile Exchange,Not typed in this review,Exact public label
ORG-0332,Textile Exchange in partnership with SCS Global Services,Not typed in this review,Exact public label
ORG-0333,TfS Scope 3 GHG programme,Not typed in this review,Exact public label
ORG-0334,The Circulate Initiative,Nonprofit / industry organization,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0335,The European Steel Association (EUROFER),Not typed in this review,Exact public label
ORG-0336,The Evah Institute,Not typed in this review,Exact public label
ORG-0337,The Evah Institute / Ecquate Pty Ltd,Not typed in this review,Composite public label—review before splitting
ORG-0338,TianGong community,Not typed in this review,Exact public label
ORG-0339,TianGong LCA Data Working Group and platform community,Not typed in this review,Composite public label—review before splitting
