scope_record_id,asset_id,official_name,current_asset_type,scope_class,working_count_status,extended_data_bearing_count,lifecycle_status,owner,owner_country_countries,developer_country_countries,geographic_data_coverage,sector_scope,first_release_year,current_version,latest_release_date,metadata_access,data_access,open_data_status,source_code_openness,registration,fee,licence_identifier_terms,redistribution_rights,canonical_access_download_url,schema_data_model,formats,software_compatibility,evidence_urls,evidence_as_of,information_status,scope_evidence_note
DBS-0011,LCA-DB-0012,TianGong LCA Database,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active platform; historical GitHub snapshot ceased maintenance in 2026,TianGong community,China,China; international contributors,China-focused with international contributions,"Provider live stats state 10,000+ unit processes/inventories, 70+ sectors and 2,000+ products",Not publicly confirmed,Continuously updated platform dataset,Not publicly confirmed,Public metadata page,Public web records; dataset-level free-use terms visible on sampled official records,Public/free access; licence or redistribution unclear or mixed,Not applicable to data rights; related software/code must be assessed separately,Not required to browse sampled public records,No fee for sampled public records,Sampled official dataset record states free of charge for all users and uses; collection-wide standard licence not identified,Collection-wide redistribution terms not publicly confirmed,https://www.tiangong.earth/data,TIDAS and eILCD-compatible publication,TIDAS JSON/JSON Schema and ILCD/eILCD-compatible exports,Not publicly confirmed,https://www.tiangong.earth/data | https://lcdn.tiangong.earth/index.xhtml | https://www.tiangong.earth/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0012,LCA-DB-0013,Base Empreinte®,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active,ADEME,France,France; dataset-specific contributors,France with international background data,"Organizations, consumer products, services and projects",Not publicly confirmed,Base Empreinte v1.1; Base Carbone v23.11 shown in 2026 news,2026-06-18 latest public news item accessed,Public metadata page,Free or mixed access; registration required,"Free access with registration, use restrictions, or third-party dependency",Not applicable to data rights; related software/code must be assessed separately,Required or account-gated,No fee stated for at least one access route,Dataset-specific terms; ecoinvent-derived content has additional restrictions,Not publicly confirmed,https://base-empreinte.ademe.fr/,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://base-empreinte.ademe.fr/ | https://base-empreinte.ademe.fr/aide/faq | https://www.ademe.fr/lagence/notre-organisation/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0013,LCA-DB-0014,Australian Life Cycle Inventory Database,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Public programme/site active; release recency requires record-level review,Australian Life Cycle Assessment Society (ALCAS),Australia,Australia,Australia,Australian products and services across participating sectors,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Public metadata page,Publicly accessible or free-of-charge,Public/free access; licence or redistribution unclear or mixed,Not applicable to data rights; related software/code must be assessed separately,Not publicly confirmed,No fee stated for at least one access route,Public licence details require dataset-level confirmation,Not publicly confirmed,https://www.auslci.com.au/,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://www.auslci.com.au/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0014,LCA-DB-0015,ÖKOBAUDAT,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active; acceptance principles updated 2026-07-23,"German Federal Ministry for Housing, Urban Development and Building (BMWSB) / Federal Institute for Research on Building, Urban Affairs and Spatial Development (BBSR)",Germany,Germany; dataset owners may be international,Germany with European/international EPD content,"Construction products, materials and building-related processes",2009,2024-II,2026-07-22 publication,Public metadata page,Public free-of-charge ZIP and CSV downloads,Public/free access; licence or redistribution unclear or mixed,Not applicable to data rights; related software/code must be assessed separately,Not required for public downloads,No fee for public downloads,Platform terms plus dataset-owner rights; no single collection-wide open licence confirmed,Dataset-owner rights apply; free access does not establish blanket redistribution permission,https://www.oekobaudat.de/,Not publicly confirmed,ILCD+EPD v1.2; ZIP/XML and CSV exports,Not publicly confirmed,https://www.oekobaudat.de/service/downloads | https://www.oekobaudat.de/info/impressum.html,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0015,LCA-DB-0016,European Reference Life Cycle Database,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Process database discontinued in 2018; non-process reference items retained,European Commission Joint Research Centre,European Union (European Commission),Italy (JRC Ispra); European data providers,European reference scope,"Key materials, energy, transport and waste-management processes",Not publicly confirmed,ELCD III package (historical),Not publicly confirmed,Public metadata page,Publicly accessible or free-of-charge,Public/free access; licence or redistribution unclear or mixed,Not applicable to data rights; related software/code must be assessed separately,Not publicly confirmed,No fee stated for at least one access route,EU public resource terms,Not publicly confirmed,https://eplca.jrc.ec.europa.eu/LCDN/developerILCD.html,Not publicly confirmed,ILCD XML package,Not publicly confirmed,https://eplca.jrc.ec.europa.eu/LCDN/developerILCD.html,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0016,LCA-DB-0017,GFLI Database,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active,Global Feed LCA Institute,United States (legal entity); Netherlands (head office),International consortium; Netherlands,Global and regional feed-production systems,Animal-feed ingredients and supply chains,2018 public line; launch 2020,v3.0,2026-01-20,Public metadata page,Commercial or licence-restricted,Commercial/proprietary,Not applicable to data rights; related software/code must be assessed separately,Required or account-gated,Fee or commercial licence applies,"Commercial, developer and academic/research licence categories",Not publicly confirmed,https://globalfeedlca.org/gfli-database/,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://globalfeedlca.org/the-gfli-database-update-version-3-0-is-here/ | https://globalfeedlca.org/gfli-database/accessing-the-database/ | https://globalfeedlca.org/contact/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0017,LCA-DB-0018,World Food LCA Database,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active,Quantis,Switzerland,Switzerland; international consortium,150+ countries stated by provider,"Agri-food; 3,800+ datasets and 12,000 sub-datasets stated",Not publicly confirmed,Current provider-hosted release; numbered release not stated on public page,Not publicly confirmed,Public metadata page,Commercial or licence-restricted,Commercial/proprietary,Not applicable to data rights; related software/code must be assessed separately,Not publicly confirmed,Fee or commercial licence applies,Commercial terms,Not publicly confirmed,https://quantis.com/services-solutions/consortium-building-and-management/wfldb/,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://quantis.com/services-solutions/consortium-building-and-management/wfldb/ | https://quantis.com/about/locations/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0018,LCA-DB-0019,RIVM Database on the environmental impact of food products,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active,National Institute for Public Health and the Environment (RIVM),Netherlands,Netherlands,Netherlands market and consumption context,Approximately 400 generic food products,Not publicly confirmed,2024 database version; published 2026-03-30,2026-03-30,Public metadata page,Publicly accessible or free-of-charge,Open licence confirmed for at least one official distribution,Not applicable to data rights; related software/code must be assessed separately,Not required for public download,No fee,CC BY 4.0,Permitted under CC BY 4.0 with attribution,https://www.rivm.nl/en/food-and-nutrition/sustainable-food/environmental-impact-of-food-products,Not publicly confirmed,XLSX,Not publicly confirmed,https://www.rivm.nl/en/food-and-nutrition/sustainable-food/environmental-impact-of-food-products | https://www.rivm.nl/en/contact,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0019,LCA-DB-0020,ProBas 2,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active successor interface,"German Environment Agency (Umweltbundesamt, UBA)",Germany,Germany; dataset-source-specific contributors,Germany with international source datasets,"Cross-sector; predecessor page states more than 20,000 datasets",Not publicly confirmed,ProBas2 soda4LCA 7.28.0 observed,Not publicly confirmed,Public metadata page,Public web access; some functions may require an account,"Free access with registration, use restrictions, or third-party dependency",Not applicable to data rights; related software/code must be assessed separately,Required or account-gated,No fee stated for at least one access route,General UBA data reuse permission applies unless otherwise noted; source-specific terms remain possible,Permitted under general UBA reuse terms unless the source record states otherwise,https://data.probas.umweltbundesamt.de/,Not publicly confirmed,soda4LCA/ILCD-style standard exports,Not publicly confirmed,https://data.probas.umweltbundesamt.de/ | https://www.probas.umweltbundesamt.de/ | https://www.umweltbundesamt.de/en/the-uba/uba-offices,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0020,LCA-DB-0021,INIES Database,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active,INIES governance partners under French public convention,France,France; declaration owners,France,"Construction products, building equipment and related LCI",Public database predates 2013; exact first year not confirmed,Continuously updated online database,Current at 2026-08-22,Public metadata page,Publicly accessible or free-of-charge,Public/free access; licence or redistribution unclear or mixed,Not applicable to data rights; related software/code must be assessed separately,Not publicly confirmed,No fee stated for at least one access route,Database terms and declaration-programme rules,Not publicly confirmed,https://www.inies.fr/en/accueil/,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://www.inies.fr/en/accueil/ | https://www.inies.fr/en/ressources-documentaires/how-to-consult-the-inies-database/ | https://www.inies.fr/politique-de-confidentialite-2/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0021,LCA-DB-0022,PlasticsEurope Eco-profiles,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active with mixed current and withdrawn packages,Plastics Europe,Belgium,Belgium; European member companies,"Primarily European production, with product-specific scopes","Plastics, polymers, feedstocks and conversion processes",1993,Methodology v3.1; package-specific versions,Selected packages updated 2026-03,Public metadata page,Public package download for current eco-profiles; obsolete datasets supplied on request,Public/free access; licence or redistribution unclear or mixed,Not applicable to data rights; related software/code must be assessed separately,Not required for current public packages,No fee stated for current public packages,Package-specific terms not fully confirmed,Not publicly confirmed at collection level,https://plasticseurope.org/sustainability/circularity/life-cycle-thinking/eco-profiles-set/,Not publicly confirmed,Several downloadable formats; aggregated versions in commercial databases,Not publicly confirmed,https://plasticseurope.org/sustainability/circularity/life-cycle-thinking/eco-profiles-set/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0022,LCA-DB-0023,worldsteel Life Cycle Inventory Database,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active periodic study series,World Steel Association,Belgium,Belgium; international member companies,Global and regional,16 steel products in the current 2024 LCI dataset,1996 study,2024 LCI dataset,Released 2026-05,Public metadata page,Public eco-profile PDFs; full LCI datasets require a request form and use agreement,Request/membership-mediated,Not applicable to data rights; related software/code must be assessed separately,Request form required for full LCI datasets,No fee stated; use agreement applies,worldsteel LCI data usage agreement,Full inventories may not be posted publicly or communicated externally without worldsteel agreement,https://worldsteel.org/wider-sustainability/life-cycle-thinking/life-cycle-inventory-data-and-eco-profiles/,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://worldsteel.org/wider-sustainability/life-cycle-thinking/life-cycle-inventory-data-and-eco-profiles/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0023,LCA-DB-0024,openIO-Canada,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active,CIRAIG / project contributors,Canada,Canada,Canada,Canadian economy by input-output commodity classifications,Exact first public year not confirmed,v2.11.1,Current at 2026-08-22,Public metadata page,Public GitHub/Zenodo access,Open licence confirmed for at least one official distribution,Not applicable to data rights; related software/code must be assessed separately,Not required,No fee,CC BY-SA 4.0,Permitted under CC BY-SA 4.0,https://ciraig.org/index.php/project/open-io-canada/,Not publicly confirmed,Python/tabular outputs,Not publicly confirmed,https://ciraig.org/index.php/project/open-io-canada/ | https://github.com/CIRAIG/OpenIO-Canada,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0024,LCA-DB-0025,Product Social Impact Life Cycle Assessment Database,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active with regular updates stated,GreenDelta,Germany,Germany,189 countries,"14,838 sectors and commodities; 106 indicators stated for v4",v3 documented 2020,v4.0,2025-08,Public metadata page,Commercial or licence-restricted,Commercial/proprietary,Not applicable to data rights; related software/code must be assessed separately,Not publicly confirmed,Fee or commercial licence applies,Commercial licence,Not publicly confirmed,https://psilca.net/,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://psilca.net/ | https://www.greendelta.com/about-us/contact-us/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0025,LCA-DB-0026,Social Hotspots Database,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active commercial offering,New Earth / Social Hotspots Database provider,United States,United States,Global supply chains,Economy-wide country-sector social risks,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Public metadata page,Commercial or licence-restricted,Commercial/proprietary,Not applicable to data rights; related software/code must be assessed separately,Not publicly confirmed,Fee or commercial licence applies,Commercial licence,Not publicly confirmed,https://www.socialhotspot.org/,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://www.socialhotspot.org/ | https://www.socialhotspot.org/contact.html,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0026,LCA-DB-0027,BONSAI Database,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active,BONSAI not-for-profit association,International not-for-profit association; legal country not publicly confirmed,Denmark-led; Netherlands; Norway; international contributors,Global economy/product scope under expansion,"Monetary supply-use accounts, production functions, waste modelling and product-footprint recipes",2023,v2.1.5,2026-03-28,Public metadata page,Public release metadata; registration/login required for large data-file downloads,Open licence confirmed for at least one official distribution,Not applicable to data rights; related software/code must be assessed separately,Required for large data-file downloads,No fee stated,CC BY 4.0 stated for footprint data; other distributions require file-level confirmation,Permitted for the CC BY 4.0 footprint distribution; other package rights require confirmation,https://www.bonsai.uno/download,BONSAI internal MR-HSUT data model; public download page currently exposes tabular outputs,CSV footprint data; CSV recipe data; SimaPro exporter documented in v2.1.1,Not publicly confirmed,https://www.bonsai.uno/download | https://bonsai.uno/About,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"The public page provides a detailed release history, but the large files are account-gated and were not downloaded."
DBS-0027,LCA-DB-0028,European Commission Environmental Footprint Data Node,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active public node,European Commission,European Union (European Commission),Italy (JRC); European pilot/data owners,European Union with global/background datasets,"PEF/OEF representative products, background processes and data supplied under Environmental Footprint programmes",Not publicly confirmed,EF 3.1 and retained EF 2.0 data stocks,Not publicly confirmed,Public metadata page,Publicly accessible or free-of-charge,Public/free access; licence or redistribution unclear or mixed,Not applicable to data rights; related software/code must be assessed separately,Not required for stated public access,No fee stated for at least one access route,Dataset-level ownership and use restrictions recorded in ILCD metadata,Not publicly confirmed,https://eplca.jrc.ec.europa.eu/EF-node/index.xhtml,Not publicly confirmed,ILCD XML and ZIP packages,ILCD/EF profiles; ZIP/XML downloads,https://eplca.jrc.ec.europa.eu/EF-node/index.xhtml | https://eplca.jrc.ec.europa.eu/EnvironmentalFootprint.html,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0028,LCA-DB-0029,ICE Database Educational,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active as educational-only series; commercial use transitioning to IC+,Circular Ecology,United Kingdom,United Kingdom,International literature-based factors,More than 200 building materials across more than 30 material categories,2005,v5.0 Educational,2026-06,Public metadata page,Free educational download via form; non-educational use prohibited after 2026-09-30,"Free access with registration, use restrictions, or third-party dependency",Not applicable to data rights; related software/code must be assessed separately,Form/email confirmation required,No fee for educational download,"ICE Database Educational v5.0 terms; educational-only, no commercial/professional use",External redistribution prohibited; users must link to the official download page,https://circularecology.com/embodied-carbon-footprint-database.html,Not publicly confirmed,Spreadsheet resource; machine-readable tab removed from v5.0,Spreadsheet-based; no public machine-readable interface confirmed for v5.0,https://circularecology.com/embodied-carbon-footprint-database.html,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
