software_role_gap_id,asset_id,product_name,role,unresolved_public_label,reason,evidence_url,reviewed_at
SRG-00011,LCA-SW-0015,2050 Materials Sustainability Data API,operator/maintainer,2050 Materials,"The prior record contains a public label, but this review did not resolve it to an evidence-linked actor for this role.",https://2050-materials.com/sustainability-data-api/,2026-09-01
SRG-00012,LCA-SW-0015,2050 Materials Sustainability Data API,owner,2050 Materials,"The prior record contains a public label, but this review did not resolve it to an evidence-linked actor for this role.",https://2050-materials.com/sustainability-data-api/,2026-09-01
SRG-00013,LCA-SW-0016,Climatiq Carbon Intelligence Platform,operator/maintainer,Climatiq,"The prior record contains a public label, but this review did not resolve it to an evidence-linked actor for this role.",https://www.climatiq.io/,2026-09-01
SRG-00014,LCA-SW-0016,Climatiq Carbon Intelligence Platform,owner,Climatiq,"The prior record contains a public label, but this review did not resolve it to an evidence-linked actor for this role.",https://www.climatiq.io/,2026-09-01
SRG-00015,LCA-SW-0019,EOS — Environmental Operating System,owner,Eaternity,"The prior record contains a public label, but this review did not resolve it to an evidence-linked actor for this role.",https://eaternity.org/,2026-09-01
SRG-00016,LCA-SW-0020,Matter PD,owner,EarthShift Global,"The prior record contains a public label, but this review did not resolve it to an evidence-linked actor for this role.",https://earthshiftglobal.com/matter-pd/,2026-09-01
SRG-00017,LCA-SW-0021,PackageSmart,owner,EarthShift Global,"The prior record contains a public label, but this review did not resolve it to an evidence-linked actor for this role.",https://earthshiftglobal.com/packagesmart,2026-09-01
SRG-00018,LCA-SW-0023,Real-Time LCA,operator/maintainer,Real-Time LCA,The prior label was not promoted because the actor and role were not independently resolved in this review.,https://docs.realtimelca.com/,2026-09-01
SRG-00019,LCA-SW-0023,Real-Time LCA,owner,Real-Time LCA,The prior label was not promoted because the actor and role were not independently resolved in this review.,https://docs.realtimelca.com/,2026-09-01
SRG-00020,LCA-SW-0024,VoLCA,operator/maintainer,VoLCA maintainers,The prior label was not promoted because the actor and role were not independently resolved in this review.,https://www.volca.run/,2026-09-01
SRG-00021,LCA-SW-0024,VoLCA,owner,VoLCA project,The prior label was not promoted because the actor and role were not independently resolved in this review.,https://www.volca.run/,2026-09-01
SRG-00022,LCA-SW-0025,Capillar Sustainable Cloud,operator/maintainer,Capillar,"The prior record contains a public label, but this review did not resolve it to an evidence-linked actor for this role.",https://www.lcapillar.com/,2026-09-01
SRG-00023,LCA-SW-0026,EcoSemantic,operator/maintainer,EcoSemantic,"The prior record contains a public label, but this review did not resolve it to an evidence-linked actor for this role.",https://docs.ecosemantic.com/,2026-09-01
SRG-00024,LCA-SW-0027,LCA CARE Tool,operator/maintainer,EU project 101139959 consortium,"The prior record contains a public label, but this review did not resolve it to an evidence-linked actor for this role.",https://lca-care.eu/lca-care-tool/,2026-09-01
SRG-00025,LCA-SW-0028,Brightway Firefly,owner,Eaternity,"The prior record contains a public label, but this review did not resolve it to an evidence-linked actor for this role.",https://brightway.eaternity.ch/,2026-09-01
SRG-00026,LCA-SW-0029,Agent Net Zero,operator/maintainer,Agent Net Zero team,"The prior record contains a public label, but this review did not resolve it to an evidence-linked actor for this role.",https://agentnetzero.com/,2026-09-01
SRG-00027,LCA-SW-0029,Agent Net Zero,owner,University of Sheffield and AMRC project team,"The prior record contains a public label, but this review did not resolve it to an evidence-linked actor for this role.",https://agentnetzero.com/,2026-09-01
SRG-00028,LCA-SW-0030,DECiDE,owner,Walloon Agricultural Research Centre (CRA-W),"The prior record contains a public label, but this review did not resolve it to an evidence-linked actor for this role.",https://www.decide.cra.wallonie.be/,2026-09-01
SRG-00029,LCA-SW-0031,ESTIMATe,operator/maintainer,Institute of Technical Thermodynamics at RWTH Aachen University and collaborators,"The prior record contains a public label, but this review did not resolve it to an evidence-linked actor for this role.",https://assessccus.globalco2initiative.org/lca/templates-and-videos/,2026-09-01
SRG-00030,LCA-SW-0031,ESTIMATe,owner,RWTH Aachen University and collaborators,"The prior record contains a public label, but this review did not resolve it to an evidence-linked actor for this role.",https://assessccus.globalco2initiative.org/lca/templates-and-videos/,2026-09-01
SRG-00031,LCA-SW-0033,MApper,operator/maintainer,Independent research initiative,"The prior record contains a public label, but this review did not resolve it to an evidence-linked actor for this role.",https://mapper.leonardoferhati.com/,2026-09-01
SRG-00032,LCA-SW-0034,MATILDA,operator/maintainer,Academic author team,The prior label was not promoted because the actor and role were not independently resolved in this review.,https://matilda.food/,2026-09-01
SRG-00033,LCA-SW-0034,MATILDA,owner,MATILDA research team,The prior label was not promoted because the actor and role were not independently resolved in this review.,https://matilda.food/,2026-09-01
SRG-00034,LCA-SW-0038,Umberto,owner,iPoint-systems gmbh / Assent group,"The prior record contains a public label, but this review did not resolve it to an evidence-linked actor for this role.",https://www.ipoint-systems.com/software/umberto/,2026-09-01
SRG-00035,LCA-SW-0042,Automotive Life-Cycle Assessment Model,operator/maintainer,International Aluminium Institute / European Aluminium,"The prior record contains a public label, but this review did not resolve it to an evidence-linked actor for this role.",https://european-aluminium.eu/wp-content/uploads/2022/10/lma_jun_2019_p010_updated-automotive-lifecycle-assessment-model-launched-reprint-1.pdf,2026-09-01
SRG-00036,LCA-SW-0078,Nuoa.io,developer,Nuoa.io,"The source label is identical to the product name and no distinct legal, institutional, or individual actor was resolved.",https://nuoa.io,2026-09-01
SRG-00037,LCA-SW-0084,Terralytiq,developer,Terralytiq,"The source label is identical to the product name and no distinct legal, institutional, or individual actor was resolved.",https://www.terralytiq.com/,2026-09-01
SRG-00038,LCA-SW-0088,Variable,developer,Variable,"The source label is identical to the product name and no distinct legal, institutional, or individual actor was resolved.",https://variable.co/,2026-09-01
SRG-00039,LCA-SW-0090,ZeroTwentyFifty,developer,ZeroTwentyFifty,"The source label is identical to the product name and no distinct legal, institutional, or individual actor was resolved.",https://www.zerotwentyfifty.com/solutions/zerotwentyfifty,2026-09-01
