software_company_role_id,asset_id,product_name,organization_name,entity_type,role,original_public_label,resolution_status,evidence_url,reviewed_at,organization_id
SCRL-00028,LCA-SW-0012,LCIA Formatter,U.S. Environmental Protection Agency,Public body,owner,United States Environmental Protection Agency / Federal LCA Commons ecosystem,Actor and role resolved from reviewed public evidence,https://github.com/FLCAC-admin/LCIAformatter,2026-09-01,ORG-0351
SCRL-00029,LCA-SW-0013,soda4LCA,Oliver Kusche Research & Consulting (OKWorx),Company,developer,Oliver Kusche Research & Consulting (OKWorx),Actor and role resolved from reviewed public evidence,https://soda4lca.io/,2026-09-01,ORG-0264
SCRL-00030,LCA-SW-0013,soda4LCA,Oliver Kusche Research & Consulting (OKWorx),Company,operator/maintainer,soda4LCA maintainers / OKWorx,Actor and role resolved from reviewed public evidence,https://soda4lca.io/,2026-09-01,ORG-0264
SCRL-00031,LCA-SW-0014,premise,Paul Scherrer Institute,University / research institution,developer,Paul Scherrer Institute,Actor and role resolved from reviewed public evidence,https://github.com/polca/premise/blob/master/CITATION.cff,2026-09-01,ORG-0273
SCRL-00032,LCA-SW-0014,premise,Potsdam Institute for Climate Impact Research,University / research institution,developer,Potsdam Institute for Climate Impact Research,Actor and role resolved from reviewed public evidence,https://github.com/polca/premise/blob/master/CITATION.cff,2026-09-01,ORG-0285
SCRL-00033,LCA-SW-0014,premise,Paul Scherrer Institute,University / research institution,operator/maintainer,premise contributors,Actor and role resolved from reviewed public evidence,https://github.com/polca/premise,2026-09-01,ORG-0273
SCRL-00034,LCA-SW-0015,2050 Materials Sustainability Data API,2050 Materials,Company,developer,2050 Materials,Actor and role resolved from reviewed public evidence,https://2050-materials.com/sustainability-data-api/,2026-09-01,ORG-0001
SCRL-00035,LCA-SW-0016,Climatiq Carbon Intelligence Platform,Climatiq GmbH,Company,developer,Climatiq GmbH,Actor and role resolved from reviewed public evidence,https://www.climatiq.io/,2026-09-01,ORG-0068
SCRL-00036,LCA-SW-0017,Higg Index,Worldly,Company,operator/maintainer,Cascale; exclusively delivered on Worldly,Actor and role resolved from reviewed public evidence,https://cascale.org/tools-programs/higg-index-tools/,2026-09-01,ORG-0378
SCRL-00037,LCA-SW-0017,Higg Index,Cascale,Nonprofit / industry organization,owner,Cascale,Actor and role resolved from reviewed public evidence,https://cascale.org/tools-programs/higg-index-tools/,2026-09-01,ORG-0043
SCRL-00038,LCA-SW-0018,Makersite,Makersite GmbH,Company,developer,Makersite GmbH,Actor and role resolved from reviewed public evidence,https://makersite.io/,2026-09-01,ORG-0249
SCRL-00039,LCA-SW-0018,Makersite,Makersite GmbH,Company,operator/maintainer,Makersite GmbH,Actor and role resolved from reviewed public evidence,https://makersite.io/,2026-09-01,ORG-0249
SCRL-00040,LCA-SW-0018,Makersite,Makersite GmbH,Company,owner,Makersite GmbH,Actor and role resolved from reviewed public evidence,https://makersite.io/,2026-09-01,ORG-0249
SCRL-00041,LCA-SW-0019,EOS — Environmental Operating System,Eaternity,Nonprofit / industry organization,developer,Eaternity,Actor and role resolved from reviewed public evidence,https://eaternity.org/,2026-09-01,ORG-0088
SCRL-00042,LCA-SW-0019,EOS — Environmental Operating System,Eaternity,Nonprofit / industry organization,operator/maintainer,Eaternity,Actor and role resolved from reviewed public evidence,https://eaternity.org/,2026-09-01,ORG-0088
SCRL-00043,LCA-SW-0020,Matter PD,EarthShift Global,Company,developer,EarthShift Global,Actor and role resolved from reviewed public evidence,https://earthshiftglobal.com/matter-pd/,2026-09-01,ORG-0087
SCRL-00044,LCA-SW-0020,Matter PD,EarthShift Global,Company,operator/maintainer,EarthShift Global,Actor and role resolved from reviewed public evidence,https://earthshiftglobal.com/matter-pd/,2026-09-01,ORG-0087
SCRL-00045,LCA-SW-0021,PackageSmart,EarthShift Global,Company,developer,EarthShift Global,Actor and role resolved from reviewed public evidence,https://earthshiftglobal.com/packagesmart,2026-09-01,ORG-0087
SCRL-00046,LCA-SW-0021,PackageSmart,EarthShift Global,Company,operator/maintainer,EarthShift Global,Actor and role resolved from reviewed public evidence,https://earthshiftglobal.com/packagesmart,2026-09-01,ORG-0087
SCRL-00047,LCA-SW-0022,PIQET,Lifecycles,Company,developer,Lifecycles,Actor and role resolved from reviewed public evidence,https://piqet.com/,2026-09-01,ORG-0248
SCRL-00048,LCA-SW-0022,PIQET,Lifecycles,Company,operator/maintainer,PIQET service team,Actor and role resolved from reviewed public evidence,https://piqet.com/,2026-09-01,ORG-0248
SCRL-00049,LCA-SW-0022,PIQET,PIQET Consortium,Public consortium / community,owner,The PIQET Consortium / Lifecycles and partners,Actor and role resolved from reviewed public evidence,https://piqet.com/,2026-09-01,ORG-0279
SCRL-00050,LCA-SW-0025,Capillar Sustainable Cloud,"Hangzhou Qinglvlan Environmental Digital Technology Co., Ltd.",Company,developer,"Hangzhou Qinglvlan Environmental Digital Technology Co., Ltd.",Actor and role resolved from reviewed public evidence,https://www.lcapillar.com/,2026-09-01,ORG-0178
SCRL-00051,LCA-SW-0025,Capillar Sustainable Cloud,"Hangzhou Qinglvlan Environmental Digital Technology Co., Ltd.",Company,owner,Hangzhou Qinglvlan Environmental Digital Technology,Actor and role resolved from reviewed public evidence,https://www.lcapillar.com/,2026-09-01,ORG-0178
SCRL-00052,LCA-SW-0026,EcoSemantic,Kimel Tech SpA,Company,developer,Kimel Tech SpA,Actor and role resolved from reviewed public evidence,https://docs.ecosemantic.com/,2026-09-01,ORG-0226
SCRL-00053,LCA-SW-0026,EcoSemantic,Kimel Tech SpA,Company,owner,Kimel Tech SpA,Actor and role resolved from reviewed public evidence,https://docs.ecosemantic.com/,2026-09-01,ORG-0226
SCRL-00054,LCA-SW-0027,LCA CARE Tool,LCA CARE project consortium,Public consortium / community,developer,LCA CARE project consortium,Actor and role resolved from reviewed public evidence,https://lca-care.eu/lca-care-tool/,2026-09-01,ORG-0231
SCRL-00055,LCA-SW-0027,LCA CARE Tool,LCA CARE project consortium,Public consortium / community,owner,LCA CARE project consortium,Actor and role resolved from reviewed public evidence,https://lca-care.eu/lca-care-tool/,2026-09-01,ORG-0231
SCRL-00056,LCA-SW-0028,Brightway Firefly,Eaternity,Nonprofit / industry organization,developer,Eaternity,Actor and role resolved from reviewed public evidence,https://brightway.eaternity.ch/,2026-09-01,ORG-0088
SCRL-00057,LCA-SW-0028,Brightway Firefly,Eaternity,Nonprofit / industry organization,operator/maintainer,Eaternity open-source team,Actor and role resolved from reviewed public evidence,https://brightway.eaternity.ch/,2026-09-01,ORG-0088
SCRL-00058,LCA-SW-0029,Agent Net Zero,Advanced Manufacturing Research Centre (AMRC),University / research institution,developer,Advanced Manufacturing Research Centre (AMRC),Actor and role resolved from reviewed public evidence,https://agentnetzero.com/,2026-09-01,ORG-0006
SCRL-00059,LCA-SW-0029,Agent Net Zero,University of Sheffield,University / research institution,developer,University of Sheffield,Actor and role resolved from reviewed public evidence,https://agentnetzero.com/,2026-09-01,ORG-0361
SCRL-00060,LCA-SW-0030,DECiDE,Walloon Agricultural Research Centre (CRA-W),University / research institution,developer,Walloon Agricultural Research Centre (CRA-W),Actor and role resolved from reviewed public evidence,https://www.decide.cra.wallonie.be/,2026-09-01,ORG-0370
SCRL-00061,LCA-SW-0030,DECiDE,Walloon Agricultural Research Centre (CRA-W),University / research institution,operator/maintainer,CRA-W,Actor and role resolved from reviewed public evidence,https://www.decide.cra.wallonie.be/,2026-09-01,ORG-0370
SCRL-00062,LCA-SW-0031,ESTIMATe,RWTH Aachen University,University / research institution,developer,RWTH Aachen University,Actor and role resolved from reviewed public evidence,https://assessccus.globalco2initiative.org/lca/templates-and-videos/,2026-09-01,ORG-0302
SCRL-00063,LCA-SW-0032,Green Gold Label GHG Tool,Studio Gear Up,Company,developer,Studio Gear Up,Actor and role resolved from reviewed public evidence,https://greengoldlabel.com/ghg-tool,2026-09-01,ORG-0320
SCRL-00064,LCA-SW-0032,Green Gold Label GHG Tool,Green Gold Label Foundation,Nonprofit / industry organization,operator/maintainer,Green Gold Label Foundation with studio Gear Up,Actor and role resolved from reviewed public evidence,https://greengoldlabel.com/ghg-tool,2026-09-01,ORG-0171
SCRL-00065,LCA-SW-0032,Green Gold Label GHG Tool,Green Gold Label Foundation,Nonprofit / industry organization,owner,Green Gold Label Foundation,Actor and role resolved from reviewed public evidence,https://greengoldlabel.com/ghg-tool,2026-09-01,ORG-0171
SCRL-00066,LCA-SW-0033,MApper,Leonardo Ferhati,Individual,developer,Leonardo Ferhati,Actor and role resolved from reviewed public evidence,https://mapper.leonardoferhati.com/,2026-09-01,ORG-0242
SCRL-00067,LCA-SW-0033,MApper,Leonardo Ferhati,Individual,owner,Leonardo Ferhati,Actor and role resolved from reviewed public evidence,https://mapper.leonardoferhati.com/,2026-09-01,ORG-0242
SCRL-00068,LCA-SW-0035,XYCLE,Minviro Ltd,Company,developer,Minviro Ltd,Actor and role resolved from reviewed public evidence,https://www.minviro.com/xycle,2026-09-01,ORG-0255
SCRL-00069,LCA-SW-0035,XYCLE,Minviro Ltd,Company,operator/maintainer,Minviro,Actor and role resolved from reviewed public evidence,https://www.minviro.com/xycle,2026-09-01,ORG-0255
SCRL-00070,LCA-SW-0035,XYCLE,Minviro Ltd,Company,owner,Minviro Ltd,Actor and role resolved from reviewed public evidence,https://www.minviro.com/xycle,2026-09-01,ORG-0255
SCRL-00071,LCA-SW-0036,Theta LCA Software,"WAP Sustainability, LLC",Company,developer,"WAP Sustainability, LLC",Actor and role resolved from reviewed public evidence,https://wapsustainability.com/2025/10/13/wap-sustainability-launches-omnichannel-lca-amp-epd-platform-built-on-openepd/,2026-09-01,ORG-0372
SCRL-00072,LCA-SW-0036,Theta LCA Software,"WAP Sustainability, LLC",Company,operator/maintainer,WAP Sustainability,Actor and role resolved from reviewed public evidence,https://wapsustainability.com/2025/10/13/wap-sustainability-launches-omnichannel-lca-amp-epd-platform-built-on-openepd/,2026-09-01,ORG-0372
SCRL-00073,LCA-SW-0036,Theta LCA Software,"WAP Sustainability, LLC",Company,owner,"WAP Sustainability, LLC",Actor and role resolved from reviewed public evidence,https://wapsustainability.com/2025/10/13/wap-sustainability-launches-omnichannel-lca-amp-epd-platform-built-on-openepd/,2026-09-01,ORG-0372
SCRL-00074,LCA-SW-0037,epd.world,"WAP Sustainability, LLC",Company,developer,"WAP Sustainability, LLC",Actor and role resolved from reviewed public evidence,https://epd.world/,2026-09-01,ORG-0372
SCRL-00075,LCA-SW-0037,epd.world,"WAP Sustainability, LLC",Company,operator/maintainer,WAP Sustainability,Actor and role resolved from reviewed public evidence,https://epd.world/,2026-09-01,ORG-0372
SCRL-00076,LCA-SW-0037,epd.world,"WAP Sustainability, LLC",Company,owner,"WAP Sustainability, LLC",Actor and role resolved from reviewed public evidence,https://epd.world/,2026-09-01,ORG-0372
SCRL-00077,LCA-SW-0038,Umberto,iPoint-systems GmbH,Company,developer,iPoint-systems GmbH,Actor and role resolved from reviewed public evidence,https://www.ipoint-systems.com/software/umberto/,2026-09-01,ORG-0216
SCRL-00078,LCA-SW-0038,Umberto,iPoint-systems GmbH,Company,operator/maintainer,iPoint,Actor and role resolved from reviewed public evidence,https://www.ipoint-systems.com/software/umberto/,2026-09-01,ORG-0216
SCRL-00079,LCA-SW-0039,Athena Building LCA,Athena Sustainable Materials Institute,Nonprofit / industry organization,developer,Athena Sustainable Materials Institute,Actor and role resolved from reviewed public evidence,https://www.athenasmi.org/our-software-data/athena-building-lca/,2026-09-01,ORG-0014
SCRL-00080,LCA-SW-0039,Athena Building LCA,Athena Sustainable Materials Institute,Nonprofit / industry organization,operator/maintainer,Athena Sustainable Materials Institute,Actor and role resolved from reviewed public evidence,https://www.athenasmi.org/our-software-data/athena-building-lca/,2026-09-01,ORG-0014
SCRL-00081,LCA-SW-0039,Athena Building LCA,Athena Sustainable Materials Institute,Nonprofit / industry organization,owner,Athena Sustainable Materials Institute,Actor and role resolved from reviewed public evidence,https://www.athenasmi.org/our-software-data/athena-building-lca/,2026-09-01,ORG-0014
SCRL-00082,LCA-SW-0040,Athena Impact Estimator for Buildings,Athena Sustainable Materials Institute,Nonprofit / industry organization,developer,Athena Sustainable Materials Institute,Actor and role resolved from reviewed public evidence,https://www.athenasmi.org/our-software-data/impact-estimator/,2026-09-01,ORG-0014
SCRL-00083,LCA-SW-0040,Athena Impact Estimator for Buildings,Athena Sustainable Materials Institute,Nonprofit / industry organization,operator/maintainer,Athena Sustainable Materials Institute,Actor and role resolved from reviewed public evidence,https://www.athenasmi.org/our-software-data/impact-estimator/,2026-09-01,ORG-0014
SCRL-00084,LCA-SW-0040,Athena Impact Estimator for Buildings,Athena Sustainable Materials Institute,Nonprofit / industry organization,owner,Athena Sustainable Materials Institute,Actor and role resolved from reviewed public evidence,https://www.athenasmi.org/our-software-data/impact-estimator/,2026-09-01,ORG-0014
SCRL-00085,LCA-SW-0041,Athena Pavement LCA,Athena Sustainable Materials Institute,Nonprofit / industry organization,developer,Athena Sustainable Materials Institute,Actor and role resolved from reviewed public evidence,https://www.athenasmi.org/our-software-data/pavement-lca/,2026-09-01,ORG-0014
SCRL-00086,LCA-SW-0041,Athena Pavement LCA,Athena Sustainable Materials Institute,Nonprofit / industry organization,operator/maintainer,Athena Sustainable Materials Institute,Actor and role resolved from reviewed public evidence,https://www.athenasmi.org/our-software-data/pavement-lca/,2026-09-01,ORG-0014
SCRL-00087,LCA-SW-0041,Athena Pavement LCA,Athena Sustainable Materials Institute,Nonprofit / industry organization,owner,Athena Sustainable Materials Institute,Actor and role resolved from reviewed public evidence,https://www.athenasmi.org/our-software-data/pavement-lca/,2026-09-01,ORG-0014
SCRL-00088,LCA-SW-0042,Automotive Life-Cycle Assessment Model,European Aluminium,Nonprofit / industry organization,developer,European Aluminium,Actor and role resolved from reviewed public evidence,https://european-aluminium.eu/wp-content/uploads/2022/10/lma_jun_2019_p010_updated-automotive-lifecycle-assessment-model-launched-reprint-1.pdf,2026-09-01,ORG-0118
SCRL-00089,LCA-SW-0042,Automotive Life-Cycle Assessment Model,International Aluminium Institute,Nonprofit / industry organization,developer,International Aluminium Institute,Actor and role resolved from reviewed public evidence,https://european-aluminium.eu/wp-content/uploads/2022/10/lma_jun_2019_p010_updated-automotive-lifecycle-assessment-model-launched-reprint-1.pdf,2026-09-01,ORG-0206
SCRL-00090,LCA-SW-0042,Automotive Life-Cycle Assessment Model,European Aluminium,Nonprofit / industry organization,owner,International Aluminium Institute and European Aluminium,Actor and role resolved from reviewed public evidence,https://european-aluminium.eu/wp-content/uploads/2022/10/lma_jun_2019_p010_updated-automotive-lifecycle-assessment-model-launched-reprint-1.pdf,2026-09-01,ORG-0118
SCRL-00091,LCA-SW-0042,Automotive Life-Cycle Assessment Model,International Aluminium Institute,Nonprofit / industry organization,owner,International Aluminium Institute and European Aluminium,Actor and role resolved from reviewed public evidence,https://european-aluminium.eu/wp-content/uploads/2022/10/lma_jun_2019_p010_updated-automotive-lifecycle-assessment-model-launched-reprint-1.pdf,2026-09-01,ORG-0206
SCRL-00092,LCA-SW-0043,TIDAS Tools,"TianGong LCA research team, Tsinghua University",University / research institution,developer,"TianGong LCA research team, Tsinghua University",Actor and role resolved from reviewed public evidence,https://github.com/tiangong-lca/tidas-tools,2026-09-01,ORG-0340
SCRL-00093,LCA-SW-0043,TIDAS Tools,"TianGong LCA research team, Tsinghua University",University / research institution,operator/maintainer,TIDAS Tools maintainers and public contributors,Actor and role resolved from reviewed public evidence,https://github.com/tiangong-lca/tidas-tools,2026-09-01,ORG-0340
SCRL-00094,LCA-SW-0043,TIDAS Tools,Tsinghua University,University / research institution,owner,TianGong LCA / TIDAS open-source project,Actor and role resolved from reviewed public evidence,https://github.com/tiangong-lca/tidas-tools,2026-09-01,ORG-0348
SCRL-00095,LCA-SW-0044,3DEXPERIENCE Platform,Dassault Systèmes,Company,developer,Dassault Systèmes,Distinct public developer/provider label retained; legal entity suffix not independently normalized,https://www.3ds.com/sustainability,2026-09-01,ORG-0074
SCRL-00096,LCA-SW-0045,Altruistiq,Expanding Circle Ltd (trading as Altruistiq),Company,developer,Altruistiq,Legal entity resolved from official company information,https://www.altruistiq.com/contact/contact-us,2026-09-01,ORG-0136
SCRL-00097,LCA-SW-0046,ASUENE,ASUENE Inc.,Company,developer,ASUENE,Company identity resolved from official product evidence,https://asuene.com/lca/en,2026-09-01,ORG-0013
SCRL-00098,LCA-SW-0047,ASUENE LCA,ASUENE Inc.,Company,developer,ASUENE Inc.,Distinct public developer/provider label retained; legal entity suffix not independently normalized,https://asuene.com/lca/en,2026-09-01,ORG-0013
SCRL-00099,LCA-SW-0048,ASUS ESG Carbon Data Management Platform,Taiwan Web Service Corporation,Company,developer,Taiwan Web Service Corporation,Distinct public developer/provider label retained; legal entity suffix not independently normalized,https://asus.aplusesg.com,2026-09-01,ORG-0327
SCRL-00100,LCA-SW-0049,Atma.io,Avery Dennison Corporation,Company,developer,Atma.io,Official site identifies atma.io as an Avery Dennison digital venture and trademark,https://www.atma.io/about-us,2026-09-01,ORG-0017
SCRL-00101,LCA-SW-0050,BACUTI Enterprise Edition,BACUTI,Company,developer,BACUTI,Distinct public developer/provider label retained; legal entity suffix not independently normalized,https://www.bacuti.com,2026-09-01,ORG-0018
SCRL-00102,LCA-SW-0051,booost Sustainability PCF module,"Booost, Inc.",Company,developer,"Booost, Inc.",Distinct public developer/provider label retained; legal entity suffix not independently normalized,https://booost-tech.com,2026-09-01,ORG-0030
SCRL-00103,LCA-SW-0052,carbmee EIS,carbmee,Company,developer,carbmee,Distinct public developer/provider label retained; legal entity suffix not independently normalized,https://www.carbmee.com,2026-09-01,ORG-0034
SCRL-00104,LCA-SW-0053,Carboledger,Carboledger Inc.,Company,developer,Carboledger,Legal entity resolved from official terms,https://www.carboledger.com/terms-of-use,2026-09-01,ORG-0035
SCRL-00105,LCA-SW-0054,Carbon Maps,Carbon Maps SAS,Company,developer,Carbon Maps,Legal entity resolved from official terms,https://www.carbonmaps.io/terms-of-use,2026-09-01,ORG-0036
SCRL-00106,LCA-SW-0055,Carbon Trail,CarbonTrail Tech LLP,Company,developer,Carbon Trail,Legal entity resolved from official privacy notice,https://carbontrail.net/privacy-policy,2026-09-01,ORG-0042
SCRL-00107,LCA-SW-0056,CarbonBlock,CircularTree,Company,developer,CircularTree,Distinct public developer/provider label retained; legal entity suffix not independently normalized,https://circulartree.com/carbonblock/,2026-09-01,ORG-0059
SCRL-00108,LCA-SW-0057,CarbonBright,CarbonBright AI,Company,developer,CarbonBright AI,Distinct public developer/provider label retained; legal entity suffix not independently normalized,https://carbonbright.co,2026-09-01,ORG-0038
SCRL-00109,LCA-SW-0058,CARBONIX,Sustech,Company,developer,Sustech,Distinct public developer/provider label retained; legal entity suffix not independently normalized,https://sustech-inc.co.jp/carbonix/,2026-09-01,ORG-0323
SCRL-00110,LCA-SW-0059,CarbonStar,Startrust,Company,developer,Startrust,Distinct public developer/provider label retained; legal entity suffix not independently normalized,https://sites.google.com/view/startrustsystem-en,2026-09-01,ORG-0319
SCRL-00111,LCA-SW-0060,ClimateCamp,ClimateCamp BV,Company,developer,ClimateCamp,Legal entity resolved from official privacy notice,https://www.climatecamp.io/legal/privacy-policy,2026-09-01,ORG-0065
SCRL-00112,LCA-SW-0061,ClimatePoint Eco Report Builder,ClimatePoint,Company,developer,ClimatePoint,Distinct public developer/provider label retained; legal entity suffix not independently normalized,https://www.climatepoint.com/,2026-09-01,ORG-0067
SCRL-00113,LCA-SW-0062,Microsoft Cloud for Sustainability PACT connector,Microsoft,Company,developer,Microsoft,Distinct public developer/provider label retained; legal entity suffix not independently normalized,https://www.microsoft.com/en-us/sustainability/cloud,2026-09-01,ORG-0252
SCRL-00114,LCA-SW-0063,CO2 AI,CO2 AI SAS,Company,developer,CO2 AI,Legal entity resolved from official terms,https://co2ai.com/terms-of-use,2026-09-01,ORG-0070
SCRL-00115,LCA-SW-0064,CUCON,Uhuru Corporation,Company,developer,Uhuru Corporation,Distinct public developer/provider label retained; legal entity suffix not independently normalized,https://uhuru.co.jp/library/articles/cucon_smartsupplychain/,2026-09-01,ORG-0354
SCRL-00116,LCA-SW-0065,DelZer0,Delta Electronics,Company,developer,Delta Electronics,Distinct public developer/provider label retained; legal entity suffix not independently normalized,http://www.delzer0.com/,2026-09-01,ORG-0080
SCRL-00117,LCA-SW-0066,Digital Sustainability Cloud (DSC),"Institute for Information Industry, Digital Transformation Research Institute",University / research institution,developer,"Institute for Information Industry, Digital Transformation Research Institute",Distinct public developer/provider label retained; legal entity suffix not independently normalized,https://www.dsce.com.tw/,2026-09-01,ORG-0202
SCRL-00118,LCA-SW-0067,EmVide,Riskoa Ltd,Company,developer,Riskoa Ltd,Distinct public developer/provider label retained; legal entity suffix not independently normalized,https://emvide.com/,2026-09-01,ORG-0299
SCRL-00119,LCA-SW-0068,ESGpedia Nexus,ESGpedia Pte Ltd,Company,developer,ESGpedia Pte Ltd,Distinct public developer/provider label retained; legal entity suffix not independently normalized,https://esgpedia.io/platform-nexus,2026-09-01,ORG-0109
SCRL-00120,LCA-SW-0069,Evalue8 Sustainability,Evalue8 Sustainability Pty Ltd,Company,developer,Evalue8 Sustainability,Legal entity resolved from official terms,https://evalue8.net/terms-and-conditions-privacy-policy/,2026-09-01,ORG-0132
SCRL-00121,LCA-SW-0070,Fitsol,Fitsol Limited,Company,developer,Fitsol,Legal entity resolved from official terms,https://www.fitsol.co.uk/terms-conditions,2026-09-01,ORG-0141
SCRL-00122,LCA-SW-0071,Formist,WeCarbon Technology Ltd,Company,developer,WeCarbon Technology Ltd,Distinct public developer/provider label retained; legal entity suffix not independently normalized,https://formist.ai,2026-09-01,ORG-0374
