software_record_id,asset_id,product_name,product_type,primary_function_id,primary_function,functional_capabilities,capabilities_original,unresolved_capability_labels,source_software_class,market_scope_status,owner,developer,operator_maintainer,actor_role_summary,role_assertion_count,unresolved_role_label_count,role_resolution_status,sector_scope,geographic_coverage,standard_associations,standard_association_basis,ecoinvent_directory_status,lifecycle_status,access_model,official_product_url,discovery_source,evidence_urls,confidence_level,classification_basis,reviewed_at
SWR-0014,LCA-SW-0006,Lavoisier,Data exchange or interoperability service,SF-02,PCF data exchange and interoperability,PCF data exchange and interoperability; API and enterprise integration,Data exchange / conversion; API / developer tooling,,,"Existing broader LCA/PCF software, API, model, or workflow asset",,Federal University of Technology – Paraná (UTFPR),,Federal University of Technology – Paraná (UTFPR) (developer),1,2,Partial actor resolution,Cross-sector LCI datasets,Global technical scope; developed in Brazil,,,,"Public work in progress with source repository, tests and 2026 validation paper",Public source repository and Python package installation,https://github.com/JosePauloSavioli/Lavoisier,Prior Global LCA Asset inventory,https://github.com/JosePauloSavioli/Lavoisier ; https://doi.org/10.1007/s11367-026-02691-4 ; Not publicly confirmed,High,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
SWR-0015,LCA-SW-0015,2050 Materials Sustainability Data API,"API, library, or calculation model",SF-03,EPD and environmental reporting workflow,EPD and environmental reporting; API and enterprise integration,EPD workflow; API / developer tooling,,,"Existing broader LCA/PCF software, API, model, or workflow asset",,2050 Materials,,2050 Materials (developer),1,2,Partial actor resolution,"Construction products, EPDs, generic materials and early-design embodied carbon",Global construction-product coverage; source-specific geography,,,,Active,Public documentation and code examples; API use requires a commercial or time-limited test account,https://2050-materials.com/sustainability-data-api/,Prior Global LCA Asset inventory,https://2050-materials.com/sustainability-data-api/ ; Not publicly confirmed,High,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
SWR-0016,LCA-SW-0016,Climatiq Carbon Intelligence Platform,Software application or platform,SF-01,LCA/PCF modelling and calculation,Product carbon footprint calculation; PCF data exchange and interoperability; API and enterprise integration; Environmental data and calculation models,PCF calculation; Data exchange / conversion; API / developer tooling; Domain calculation model,,,"Existing broader LCA/PCF software, API, model, or workflow asset",,Climatiq GmbH,,Climatiq GmbH (developer),1,2,Partial actor resolution,"Cross-sector carbon factors, product footprints, freight and Scope 3",Global; provider states 300+ regions,,,,Active,Public methodology/API documentation; account or commercial plan for use,https://www.climatiq.io/,Prior Global LCA Asset inventory,https://www.climatiq.io/ ; Not publicly confirmed,High,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
SWR-0017,LCA-SW-0017,Higg Index,Data exchange or interoperability service,SF-02,PCF data exchange and interoperability,PCF data exchange and interoperability,Data exchange / conversion,,,"Existing broader LCA/PCF software, API, model, or workflow asset",Cascale,,Worldly,Cascale (owner); Worldly (operator/maintainer),2,0,Evidence-linked actors resolved,"Apparel, footwear and consumer-goods value chains",Global user base,,,,Active; launched in 2011,Subscription access through Worldly; public descriptions and communication guidance,https://cascale.org/tools-programs/higg-index-tools/,Prior Global LCA Asset inventory,https://cascale.org/tools-programs/higg-index-tools/ ; Not publicly confirmed,High,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
SWR-0018,LCA-SW-0018,Makersite,Sector-specific workflow application,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Product carbon footprint calculation; PCF data exchange and interoperability; Corporate carbon accounting,LCA; PCF calculation; PCF exchange; CCF calculation,,,Qualifying PCF/LCA product or interoperability solution,Makersite GmbH,Makersite GmbH,Makersite GmbH,Makersite GmbH (owner); Makersite GmbH (developer); Makersite GmbH (operator/maintainer),3,0,Evidence-linked actors resolved,Manufactured products and materials across industries,Global enterprise supply chains,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,Listed in ecoinvent software tools directory at the evidence cut-off,Active,Public product documentation; commercial demo/licence for use,https://makersite.io/,WBCSD PACT Network solution directory; ecoinvent software tools partner directory,https://makersite.io/ ; Not publicly confirmed ; https://makersite.com/ ; https://www.carbon-transparency.org/solutions/makersite ; https://www.carbon-transparency.org/network ; https://ecoinvent.org/partners/?category=software-tools,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0019,LCA-SW-0019,EOS — Environmental Operating System,Sector-specific workflow application,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Environmental data and calculation models,LCA; Domain calculation model,,,"Existing broader LCA/PCF software, API, model, or workflow asset",,Eaternity,Eaternity,Eaternity (developer); Eaternity (operator/maintainer),2,1,Partial actor resolution,"Food ingredients, meals, diets and food systems",Global food-system research with dataset-specific coverage,,,,Active,Public documentation and source-code link; commercial Eaternity products are separate,https://eaternity.org/,Prior Global LCA Asset inventory,https://eaternity.org/ ; Not publicly confirmed,High,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
SWR-0020,LCA-SW-0020,Matter PD,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Environmental data and calculation models,LCA; Domain calculation model,,,"Existing broader LCA/PCF software, API, model, or workflow asset",,EarthShift Global,EarthShift Global,EarthShift Global (developer); EarthShift Global (operator/maintainer),2,1,Partial actor resolution,Cross-sector product design,Global background data,,,,Active,Public feature pages; 14-day account-based trial and paid subscriptions,https://earthshiftglobal.com/matter-pd/,Prior Global LCA Asset inventory,https://earthshiftglobal.com/matter-pd/ ; Not publicly confirmed,High,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
SWR-0021,LCA-SW-0021,PackageSmart,Sector-specific workflow application,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Environmental data and calculation models,LCA; Domain calculation model,,,Qualifying PCF/LCA product or interoperability solution,,EarthShift Global,EarthShift Global,EarthShift Global (developer); EarthShift Global (operator/maintainer),2,1,Partial actor resolution,"Primary, secondary and tertiary packaging",International background data,,,Listed in ecoinvent software tools directory at the evidence cut-off,Active,Public product/tutorial pages; commercial account for use,https://earthshiftglobal.com/packagesmart,ecoinvent software tools partner directory,https://earthshiftglobal.com/packagesmart ; Not publicly confirmed ; https://ecoinvent.org/partners/?category=software-tools,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0022,LCA-SW-0022,PIQET,Sector-specific workflow application,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Environmental data and calculation models,LCA; Domain calculation model,,,Qualifying PCF/LCA product or interoperability solution,PIQET Consortium,Lifecycles,Lifecycles,PIQET Consortium (owner); Lifecycles (developer); Lifecycles (operator/maintainer),3,0,Evidence-linked actors resolved,Packaging systems,Global applications with source-specific datasets,,,Listed in ecoinvent software tools directory at the evidence cut-off,Active,Public feature information; commercial licence/free trial requires account,https://piqet.com/,ecoinvent software tools partner directory,https://piqet.com/ ; Not publicly confirmed ; https://ecoinvent.org/partners/?category=software-tools,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0023,LCA-SW-0023,Real-Time LCA,Sector-specific workflow application,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; EPD and environmental reporting,LCA; EPD workflow,,,"Existing broader LCA/PCF software, API, model, or workflow asset",,,,No actor identity publicly resolved in this review,0,2,No resolved actor identity,Buildings and construction projects,Project-specific; international building use,,,,Active,Public documentation; activated account required for platform use,https://docs.realtimelca.com/,Prior Global LCA Asset inventory,https://docs.realtimelca.com/ ; Not publicly confirmed,Medium,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
SWR-0024,LCA-SW-0024,VoLCA,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; PCF data exchange and interoperability; Environmental data and calculation models,LCA; Data exchange / conversion; Domain calculation model,,,"Existing broader LCA/PCF software, API, model, or workflow asset",,,,No actor identity publicly resolved in this review,0,2,No resolved actor identity,Cross-sector LCI databases and LCIA calculations,Global technical scope,,,,Active,"Browser, desktop, self-hosted, API, Python, CLI and MCP options; public source link",https://www.volca.run/,Prior Global LCA Asset inventory,https://www.volca.run/ ; Not publicly confirmed,High,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
SWR-0025,LCA-SW-0025,Capillar Sustainable Cloud,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Product carbon footprint calculation; EPD and environmental reporting; Environmental data and calculation models,LCA; PCF calculation; EPD workflow; Domain calculation model,,,"Existing broader LCA/PCF software, API, model, or workflow asset","Hangzhou Qinglvlan Environmental Digital Technology Co., Ltd.","Hangzhou Qinglvlan Environmental Digital Technology Co., Ltd.",,"Hangzhou Qinglvlan Environmental Digital Technology Co., Ltd. (owner); Hangzhou Qinglvlan Environmental Digital Technology Co., Ltd. (developer)",2,1,Partial actor resolution,Manufacturing products and supply chains,China-based with international-standard and supply-chain use cases,,,,Active,Public product description; trial/application required for use,https://www.lcapillar.com/,Prior Global LCA Asset inventory,https://www.lcapillar.com/ ; Not publicly confirmed,High,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
SWR-0026,LCA-SW-0026,EcoSemantic,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Environmental data and calculation models,LCA; Domain calculation model,,,"Existing broader LCA/PCF software, API, model, or workflow asset",Kimel Tech SpA,Kimel Tech SpA,,Kimel Tech SpA (owner); Kimel Tech SpA (developer),2,1,Partial actor resolution,Cross-sector LCA modelling,Global technical use; ecoinvent geography,,,,Active,Public docs; account and usage credits for service,https://docs.ecosemantic.com/,Prior Global LCA Asset inventory,https://docs.ecosemantic.com/ ; Not publicly confirmed,High,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
SWR-0027,LCA-SW-0027,LCA CARE Tool,Sector-specific workflow application,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling,LCA,,,"Existing broader LCA/PCF software, API, model, or workflow asset",LCA CARE project consortium,LCA CARE project consortium,,LCA CARE project consortium (owner); LCA CARE project consortium (developer),2,1,Partial actor resolution,Agri-food SMEs,European partner countries with broader SME relevance,,,,Active project output,Free/open-access tool; login/account required for hosted use,https://lca-care.eu/lca-care-tool/,Prior Global LCA Asset inventory,https://lca-care.eu/lca-care-tool/ ; Not publicly confirmed,Medium,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
SWR-0028,LCA-SW-0028,Brightway Firefly,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; PCF data exchange and interoperability; Environmental data and calculation models,LCA; Data exchange / conversion; Domain calculation model,,,"Existing broader LCA/PCF software, API, model, or workflow asset",,Eaternity,Eaternity,Eaternity (developer); Eaternity (operator/maintainer),2,1,Partial actor resolution,Cross-sector LCA modelling,Global software scope,,,,Active,Public web application and desktop/open-source releases,https://brightway.eaternity.ch/,Prior Global LCA Asset inventory,https://brightway.eaternity.ch/ ; Not publicly confirmed,High,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
SWR-0029,LCA-SW-0029,Agent Net Zero,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Environmental data and calculation models,LCA; Domain calculation model,,,"Existing broader LCA/PCF software, API, model, or workflow asset",,University of Sheffield; Advanced Manufacturing Research Centre (AMRC),,University of Sheffield (developer); Advanced Manufacturing Research Centre (AMRC) (developer),2,2,Partial actor resolution,Industrial products and operations,UK-led with general industrial scope,,,,Active development,Public metadata and demonstrations; current application use requires registration,https://agentnetzero.com/,Prior Global LCA Asset inventory,https://agentnetzero.com/ ; https://sheffield.ac.uk/mps/news/agent-net-zero-manchester-prize-finalist ; https://www.imperial.ac.uk/events/201345/agent-net-zero-lca-powered-by-ai/ ; Not publicly confirmed,Medium,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
SWR-0030,LCA-SW-0030,DECiDE,Sector-specific workflow application,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Product carbon footprint calculation,LCA; PCF calculation,,,"Existing broader LCA/PCF software, API, model, or workflow asset",,Walloon Agricultural Research Centre (CRA-W),Walloon Agricultural Research Centre (CRA-W),Walloon Agricultural Research Centre (CRA-W) (developer); Walloon Agricultural Research Centre (CRA-W) (operator/maintainer),2,1,Partial actor resolution,Farm production and agricultural practices,"Wallonia, Belgium",,,,Active,Public documentation; application requires an account,https://www.decide.cra.wallonie.be/,Prior Global LCA Asset inventory,https://www.decide.cra.wallonie.be/ ; https://www.decide.cra.wallonie.be/fr/about ; Not publicly confirmed,High,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
SWR-0031,LCA-SW-0031,ESTIMATe,Sector-specific workflow application,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Environmental data and calculation models,LCA; Domain calculation model,,,"Existing broader LCA/PCF software, API, model, or workflow asset",,RWTH Aachen University,,RWTH Aachen University (developer),1,2,Partial actor resolution,CCU chemicals and emerging carbon-management technologies,Global technology-assessment scope,,,,Available,Public tool metadata and Zenodo download; ecoinvent data supplied separately,https://assessccus.globalco2initiative.org/lca/templates-and-videos/,Prior Global LCA Asset inventory,https://assessccus.globalco2initiative.org/lca/templates-and-videos/ ; Not publicly confirmed,Medium,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
SWR-0032,LCA-SW-0032,Green Gold Label GHG Tool,Software application or platform,SF-05,Data and systems integration,Environmental data and calculation models,Domain calculation model,,,"Existing broader LCA/PCF software, API, model, or workflow asset",Green Gold Label Foundation,Studio Gear Up,Green Gold Label Foundation,Green Gold Label Foundation (owner); Studio Gear Up (developer); Green Gold Label Foundation (operator/maintainer),3,0,Evidence-linked actors resolved,"Biomass production, processing, storage, logistics and energy conversion",European RED and Japanese FIT/FIP markets; wider biomass supply chains,,,,Active,Free download link after valid-email registration,https://greengoldlabel.com/ghg-tool,Prior Global LCA Asset inventory,https://greengoldlabel.com/ghg-tool ; Not publicly confirmed,High,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
SWR-0033,LCA-SW-0033,MApper,Data exchange or interoperability service,SF-02,PCF data exchange and interoperability,PCF data exchange and interoperability,Data exchange / conversion,,,"Existing broader LCA/PCF software, API, model, or workflow asset",Leonardo Ferhati,Leonardo Ferhati,,Leonardo Ferhati (owner); Leonardo Ferhati (developer),2,1,Partial actor resolution,"Complex systems, value chains, energy and mobility research",Not publicly confirmed,,,,Pre-release/in development,Public descriptive metadata; access request required for use,https://mapper.leonardoferhati.com/,Prior Global LCA Asset inventory,https://mapper.leonardoferhati.com/ ; https://www.leonardoferhati.com/ ; Not publicly confirmed,Low,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
SWR-0034,LCA-SW-0034,MATILDA,Sector-specific workflow application,SF-05,Data and systems integration,Environmental data and calculation models,Domain calculation model,,,"Existing broader LCA/PCF software, API, model, or workflow asset",,,,No actor identity publicly resolved in this review,0,2,No resolved actor identity,"Food consumption, diets and agricultural supply chains",165 countries; underlying trade model covers 187 regions,,,,Active public model and data portal,Public dashboard and open Zenodo data,https://matilda.food/,Prior Global LCA Asset inventory,https://matilda.food/ ; Not publicly confirmed,High,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
SWR-0035,LCA-SW-0035,XYCLE,Sector-specific workflow application,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Product carbon footprint calculation; Environmental data and calculation models,LCA; PCF calculation; Domain calculation model,,,"Existing broader LCA/PCF software, API, model, or workflow asset",Minviro Ltd,Minviro Ltd,Minviro Ltd,Minviro Ltd (owner); Minviro Ltd (developer); Minviro Ltd (operator/maintainer),3,0,Evidence-linked actors resolved,"Energy-transition materials, mining, refining, batteries and manufacturing",Global enterprise supply chains,,,,Active,"Public product documentation; demo, account or trial required for use",https://www.minviro.com/xycle,Prior Global LCA Asset inventory,https://www.minviro.com/xycle ; Not publicly confirmed,High,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
