version_audit_id,asset_id,official_name,audit_date,canonical_route,route_check_result,version_review_status,previous_version,reviewed_version,reviewed_release_date,evidence_url,audit_note
VA-0011,LCA-DB-0012,TianGong LCA Database,2026-08-25,https://www.tiangong.earth/data,Public content returned,Rechecked; exact public version remains unconfirmed or not applicable,Continuously updated platform dataset,Continuously updated platform dataset,Not publicly confirmed,https://www.tiangong.earth/data | https://lcdn.tiangong.earth/index.xhtml | https://www.tiangong.earth/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0012,LCA-DB-0013,Base Empreinte®,2026-08-25,https://base-empreinte.ademe.fr/,Public content returned,Rechecked; existing evidence-linked value retained,Base Empreinte v1.1; Base Carbone v23.11 shown in 2026 news,Base Empreinte v1.1; Base Carbone v23.11 shown in 2026 news,2026-06-18 latest public news item accessed,https://base-empreinte.ademe.fr/ | https://base-empreinte.ademe.fr/aide/faq | https://www.ademe.fr/lagence/notre-organisation/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0013,LCA-DB-0014,Australian Life Cycle Inventory Database,2026-08-25,https://www.auslci.com.au/,Public content returned,Rechecked; exact public version remains unconfirmed or not applicable,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://www.auslci.com.au/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0014,LCA-DB-0015,ÖKOBAUDAT,2026-08-25,https://www.oekobaudat.de/,Public content returned,Rechecked; existing evidence-linked value retained,2024-II,2024-II,2026-07-22 publication,https://www.oekobaudat.de/service/downloads | https://www.oekobaudat.de/info/impressum.html,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0015,LCA-DB-0016,European Reference Life Cycle Database,2026-08-25,https://eplca.jrc.ec.europa.eu/LCDN/developerILCD.html,Public content returned,Rechecked; existing evidence-linked value retained,ELCD III package (historical),ELCD III package (historical),Not publicly confirmed,https://eplca.jrc.ec.europa.eu/LCDN/developerILCD.html,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0016,LCA-DB-0017,GFLI Database,2026-08-25,https://globalfeedlca.org/gfli-database/,HTTP 403,Automated route check unresolved; prior evidence retained,v3.0,v3.0,2026-01-20,https://globalfeedlca.org/the-gfli-database-update-version-3-0-is-here/ | https://globalfeedlca.org/gfli-database/accessing-the-database/ | https://globalfeedlca.org/contact/,GFLI canonical route blocked automated retrieval; prior public evidence retained.
VA-0017,LCA-DB-0018,World Food LCA Database,2026-08-25,https://quantis.com/services-solutions/consortium-building-and-management/wfldb/,Public content returned,Rechecked; exact public version remains unconfirmed or not applicable,Current provider-hosted release; numbered release not stated on public page,Current provider-hosted release; numbered release not stated on public page,Not publicly confirmed,https://quantis.com/services-solutions/consortium-building-and-management/wfldb/ | https://quantis.com/about/locations/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0018,LCA-DB-0019,RIVM Database on the environmental impact of food products,2026-08-25,https://www.rivm.nl/en/food-and-nutrition/sustainable-food/environmental-impact-of-food-products,Public content returned,Rechecked; existing evidence-linked value retained,2024 database version; published 2026-03-30,2024 database version; published 2026-03-30,2026-03-30,https://www.rivm.nl/en/food-and-nutrition/sustainable-food/environmental-impact-of-food-products | https://www.rivm.nl/en/contact,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0019,LCA-DB-0020,ProBas 2,2026-08-25,https://data.probas.umweltbundesamt.de/,Public content returned,Rechecked; existing evidence-linked value retained,ProBas2 soda4LCA 7.28.0 observed,ProBas2 soda4LCA 7.28.0 observed,Not publicly confirmed,https://data.probas.umweltbundesamt.de/ | https://www.probas.umweltbundesamt.de/ | https://www.umweltbundesamt.de/en/the-uba/uba-offices,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0020,LCA-DB-0021,INIES Database,2026-08-25,https://www.inies.fr/en/accueil/,Public content returned,Rechecked; exact public version remains unconfirmed or not applicable,Continuously updated online database,Continuously updated online database,Current at 2026-08-22,https://www.inies.fr/en/accueil/ | https://www.inies.fr/en/ressources-documentaires/how-to-consult-the-inies-database/ | https://www.inies.fr/politique-de-confidentialite-2/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0021,LCA-DB-0022,PlasticsEurope Eco-profiles,2026-08-25,https://plasticseurope.org/sustainability/circularity/life-cycle-thinking/eco-profiles-set/,Public content returned,Rechecked; existing evidence-linked value retained,Methodology v3.1; package-specific versions,Methodology v3.1; package-specific versions,Selected packages updated 2026-03,https://plasticseurope.org/sustainability/circularity/life-cycle-thinking/eco-profiles-set/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0022,LCA-DB-0023,worldsteel Life Cycle Inventory Database,2026-08-25,https://worldsteel.org/wider-sustainability/life-cycle-thinking/life-cycle-inventory-data-and-eco-profiles/,Public content returned,Rechecked; existing evidence-linked value retained,2024 LCI dataset,2024 LCI dataset,Released 2026-05,https://worldsteel.org/wider-sustainability/life-cycle-thinking/life-cycle-inventory-data-and-eco-profiles/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0023,LCA-DB-0024,openIO-Canada,2026-08-25,https://ciraig.org/index.php/project/open-io-canada/,Public content returned,Rechecked; existing evidence-linked value retained,v2.11.1,v2.11.1,Current at 2026-08-22,https://ciraig.org/index.php/project/open-io-canada/ | https://github.com/CIRAIG/OpenIO-Canada,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0024,LCA-DB-0025,Product Social Impact Life Cycle Assessment Database,2026-08-25,https://psilca.net/,Public content returned,Explicit public update recorded,v4.0,v4.0.1,2026-01,https://nexus.openlca.org/ws/dataproviders/9552,Public provider metadata identifies v4.0.1 as the latest PSILCA version and lists openLCA and SimaPro distributions.
VA-0025,LCA-DB-0026,Social Hotspots Database,2026-08-25,https://www.socialhotspot.org/,Public content returned,Explicit public update recorded,Not publicly confirmed,v6 (2025 update),2026-02-05,https://nexus.openlca.org/ws/dataproviders/151,"Public provider metadata states updated 2025, version 6; the current Nexus package is dated 2026-02-05."
VA-0026,LCA-DB-0027,BONSAI Database,2026-08-25,https://www.bonsai.uno/download,Public content returned,Rechecked; existing evidence-linked value retained,v2.1.5,v2.1.5,2026-03-28,https://www.bonsai.uno/download | https://bonsai.uno/About,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0027,LCA-DB-0028,European Commission Environmental Footprint Data Node,2026-08-25,https://eplca.jrc.ec.europa.eu/EF-node/index.xhtml,Public content returned,Rechecked; existing evidence-linked value retained,EF 3.1 and retained EF 2.0 data stocks,EF 3.1 and retained EF 2.0 data stocks,Not publicly confirmed,https://eplca.jrc.ec.europa.eu/EF-node/index.xhtml | https://eplca.jrc.ec.europa.eu/EnvironmentalFootprint.html,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0028,LCA-DB-0029,ICE Database Educational,2026-08-25,https://circularecology.com/embodied-carbon-footprint-database.html,Public content returned,Rechecked; existing evidence-linked value retained,v5.0 Educational,v5.0 Educational,2026-06,https://circularecology.com/embodied-carbon-footprint-database.html,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0029,LCA-DB-0030,ESU World Food LCA Database,2026-08-25,https://esu-services.ch/data/fooddata/,Public content returned,Explicit public update recorded,Continuously maintained database using BAFU:2025+ESU background at access date,v3,2026-03-10,https://nexus.openlca.org/ws/dataproviders/8904,"Public Nexus metadata lists v3 system-process and unit-process packages. The unit-process description still states a BAFU:2025+ESU background, which is retained as a dependency note."
VA-0030,LCA-DB-0031,Carbonfact Open Source LCA Database for Footwear & Apparel,2026-08-25,https://www.carbonfact.com/database,Public content returned,Rechecked; existing evidence-linked value retained,First public release,First public release,2026-07-01,https://www.carbonfact.com/database | https://www.carbonfact.com/legal-notice,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0031,LCA-DB-0032,CEPE Life Cycle Inventory Database,2026-08-25,https://cepe.org/sustainability/lci-project/,Public content returned,Rechecked; existing evidence-linked value retained,Second version,Second version,Exact public release date not confirmed,https://cepe.org/sustainability/lci-project/ | https://cepe.org/sustainability/how-to-access-the-database/ | https://cepe.org/sustainability/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0032,LCA-DB-0033,Open CEDA,2026-08-25,https://openceda.org/,Public content returned,Rechecked; existing evidence-linked value retained,CEDA 2025,CEDA 2025,2025,https://registry.opendata.aws/open-ceda/ | https://openceda.org/ | https://watershed.com/solutions/ceda,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0033,LCA-DB-0034,NEEDS Life Cycle Inventory Database,2026-08-25,https://nexus.openlca.org/database/NEEDS,Public content returned,Rechecked; existing evidence-linked value retained,openLCA conversion v2,openLCA conversion v2,2017-01-17,https://nexus.openlca.org/ws/files/9971 | https://nexus.openlca.org/database/NEEDS | https://cordis.europa.eu/project/id/502687,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0034,LCA-DB-0035,BATTERS Battery Recycling Inventory Database,2026-08-25,https://www.batters.fr/en/battery-recycling-inventory/,Public content returned,Rechecked; existing evidence-linked value retained,January 2026 release,January 2026 release,2026-01,https://www.batters.fr/en/battery-recycling-inventory/ | https://www.weloop.org/contact/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0035,LCA-DB-0036,BioEnergieDat,2026-08-25,https://www.bioenergiedat.de/software.html,Fetch error,Automated route check unresolved; prior evidence retained,Legacy ILCD dataset family,Legacy ILCD dataset family,2013 project completion,https://www.bioenergiedat.de/software.html | https://bioenergiedat.de/documents/10156/24192/anleitung-openLCA.pdf,BioEnergieDat canonical route could not be retrieved automatically; prior public evidence retained.
VA-0036,LCA-DB-0037,CPM LCA Database,2026-08-25,https://cpmdatabase.cpm.chalmers.se/AboutDatabase.htm,Public content returned,Rechecked; exact public version remains unconfirmed or not applicable,Legacy live database,Legacy live database,Current at 2026-08-22,https://cpmdatabase.cpm.chalmers.se/AboutDatabase.htm | https://www.lifecyclecenter.se/about-us/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0037,LCA-DB-0038,ERASM Surfactant Life Cycle and Ecofootprinting Inventory,2026-08-25,https://www.erasm.org/erasm-research/manufacturing/rawmaterial-sourcing/life-cycle-ecofootprinting-sle/,Public content returned,Rechecked; existing evidence-linked value retained,SLE 2017,SLE 2017,2017,https://www.erasm.org/wp-content/uploads/2017/08/170727-SLE-Summary-Paper-IJLCA-1.pdf | https://specialty-chemicals.eu/erasm/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0038,LCA-DB-0039,CODDE Database,2026-08-25,https://codde.fr/evenement/eime-nouvelle-base-codde-2026-04,Public content returned,Rechecked; existing evidence-linked value retained,2026-04,2026-04,2026-04-15,https://codde.fr/evenement/eime-nouvelle-base-codde-2026-04 | https://codde.fr/en/contact-us/contact,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0039,LCA-DB-0040,IDEMAT Database,2026-08-25,https://www.ecocostsvalue.com/data-tools-books/,Public content returned,Rechecked; existing evidence-linked value retained,Idemat 2026RevB1,Idemat 2026RevB1,2026,https://www.ecocostsvalue.com/data-tools-books/ | https://www.ecocostsvalue.com/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0040,LCA-DB-0041,POLARIIS+,2026-08-25,https://ciraig.org/index.php/project/polariis-en/,Public content returned,Rechecked; existing evidence-linked value retained,2026 infrastructure release,2026 infrastructure release,2026,https://ciraig.org/index.php/project/polariis-en/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0041,LCA-DB-0042,Evah Pigments and Dyes LCI Databases,2026-08-25,https://evah.institute/services,Public content returned,Rechecked; exact public version remains unconfirmed or not applicable,Current database family; historical Pigments release plus continuing 2026 programme,Current database family; historical Pigments release plus continuing 2026 programme,Not publicly confirmed,https://evah.institute/services | https://evah.institute/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0042,LCA-DB-0043,EuGeos 15804-IA Database,2026-08-25,https://nexus.openlca.org/database/EuGeos'%2015804-IA,Public content returned,Explicit public update recorded,3.1 documented; later superseded in practice by openLCA EN15804 add-on,v4.1,2020-03-31,https://nexus.openlca.org/ws/dataproviders/8251,Public provider metadata lists EuGeos 15804+A2_IA v4.1 and states that the database has been superseded by the EN15804 add-on.
VA-0043,LCA-DB-0044,DeforestationFootprint.earth dataset and dashboard,2026-08-25,https://deforestationfootprint.earth/,Public content returned,Rechecked; existing evidence-linked value retained,v2.1,v2.1,2026-03-11,https://deforestationfootprint.earth/about,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0044,LCA-DB-0045,FOODTURE European Food LCI Database,2026-08-25,https://foodture-project.eu/,Public content returned,Rechecked; exact public version remains unconfirmed or not applicable,In development; no database release,In development; no database release,2025–2028 project,https://foodture-project.eu/work-packages/ | https://foodture-project.eu/about/ | https://foodture-project.eu/partners/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0045,LCA-DB-0046,HiQLCD,2026-08-25,https://www.hiq.earth/,Public content returned,Rechecked; exact public version remains unconfirmed or not applicable,Live platform; public release identifier not confirmed,Live platform; public release identifier not confirmed,Not publicly confirmed,https://www.hiq.earth/ | https://www.hiqlcd.com/about,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0046,LCA-DB-0047,Minviro Battery Materials Database,2026-08-25,https://www.minviro.com/xycle,Public content returned,Rechecked; exact public version remains unconfirmed or not applicable,Current integrated database; release identifier not public,Current integrated database; release identifier not public,Not publicly confirmed,https://www.minviro.com/xycle | https://www.minviro.com/contact,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0047,LCA-DB-0048,OpenEPD Database,2026-08-25,https://www.openepddatabase.com/,Public content returned,Rechecked; exact public version remains unconfirmed or not applicable,"Live database; provider reports more than 400,000 records","Live database; provider reports more than 400,000 records",Not publicly confirmed,https://www.openepddatabase.com/ | https://wapsustainability.com/contact/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0048,LCA-DB-0049,Athena LCA Databases,2026-08-25,https://www.athenasmi.org/our-software-data/lca-databases/,HTTP 404,Automated route check unresolved; prior evidence retained,Maintained database family; public release identifier not confirmed,Maintained database family; public release identifier not confirmed,Not publicly confirmed,https://www.athenasmi.org/our-software-data/lca-databases/ | https://www.athenasmi.org/,Athena legacy route no longer resolved; prior public evidence retained pending route replacement.
VA-0049,LCA-DB-0050,European Aluminium Environmental Profile LCI datasets,2026-08-25,https://european-aluminium.eu/blog/environmental-profile-reports/,Public content returned,Rechecked; existing evidence-linked value retained,"Environmental Profile Report 2024, issued May 2025","Environmental Profile Report 2024, issued May 2025",Not publicly confirmed,https://european-aluminium.eu/blog/environmental-profile-reports/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0050,LCA-DB-0051,JLCA Database,2026-08-25,https://www.lca-forum.org/database/,Public content returned,Rechecked; exact public version remains unconfirmed or not applicable,Live member database; current release identifier not public,Live member database; current release identifier not public,Not publicly confirmed,https://www.lca-forum.org/database/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0051,LCA-DB-0052,MexiLCA,2026-08-25,https://ciclodevida.mx/,Public content returned,Rechecked; exact public version remains unconfirmed or not applicable,Live platform; around 250 connected datasets stated,Live platform; around 250 connected datasets stated,Not publicly confirmed,https://ciclodevida.mx/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0052,LCA-DB-0053,EUROFER Stainless LCI Data,2026-08-25,https://www.eurofer.eu/issues/eurofer-stainless-and-specialty-steel/life-cycle-inventory-lci-enquiries,Public content returned,Rechecked; exact public version remains unconfirmed or not applicable,Current request-based dataset; page updated 2026-07-06,Current request-based dataset; page updated 2026-07-06,Public page updated 2026-07-06,https://www.eurofer.eu/issues/eurofer-stainless-and-specialty-steel/life-cycle-inventory-lci-enquiries,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0053,LCA-DB-0009,Banca Dati Italiana LCA,2026-08-25,https://bancadatiitalianalca.enea.it/Node/index.xhtml?stock=BDILCA,Public content returned,Rechecked; exact public version remains unconfirmed or not applicable,Continuously updated node,Continuously updated node,Not publicly confirmed,https://bancadatiitalianalca.enea.it/Node/index.xhtml?stock=BDILCA | https://www.arcadia.enea.it/la-banca-dati.html,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0054,LCA-PLT-0002,HESTIA Data Platform,2026-08-25,https://www.hestia.earth/,Public content returned,Rechecked; existing evidence-linked value retained,v1.2 latest / v1.0 open-access,v1.2 latest / v1.0 open-access,2026-04-30,https://www.hestia.earth/ | https://www.hestia.earth/guide/guide-accessing-data/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0055,LCA-REP-0004,International EPD System Data Hub,2026-08-25,https://data.environdec.com/index.xhtml,Public content returned,Rechecked; exact public version remains unconfirmed or not applicable,Continuously updated Data Hub,Continuously updated Data Hub,Current at 2026-08-22,https://data.environdec.com/index.xhtml | https://www.environdec.com/resources/epd-resources-hub | https://www.environdec.com/service-agreement,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0056,LCA-REP-0005,Textile Exchange Life Cycle Inventory Library,2026-08-25,https://textileexchange.org/lci-library/,Public content returned,Rechecked; exact public version remains unconfirmed or not applicable,Continuously updated LCI Library,Continuously updated LCI Library,Current at 2026-08-22,https://textileexchange.org/lci-library/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0057,LCA-PLT-0005,GBDI Open Building Data Platform,2026-08-25,https://www.gbdi.io/platform,Public content returned,Rechecked; existing evidence-linked value retained,Open Building Data Platform Beta,Open Building Data Platform Beta,2025-02-26,https://www.gbdi.io/platform | https://www.gbdi.io/about,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0058,LCA-REP-0007,AssessCCUS,2026-08-25,https://assessccus.globalco2initiative.org/,Public content returned,Rechecked; exact public version remains unconfirmed or not applicable,Live 2026 repository,Live 2026 repository,Not publicly confirmed,https://assessccus.globalco2initiative.org/ | https://assessccus.globalco2initiative.org/contact/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0059,LCA-REP-0009,product impact,2026-08-25,https://productimpact.info/,Public content returned,Rechecked; exact public version remains unconfirmed or not applicable,Live beta platform,Live beta platform,Not publicly confirmed,https://productimpact.info/ | https://productimpact.info/case-study/rain-jacket | https://productimpact.info/terms-of-use.pdf,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0060,LCA-REP-0010,EPD Australasia EPD Database,2026-08-25,https://epd-australasia.com/epd-search/,Public content returned,Rechecked; exact public version remains unconfirmed or not applicable,Continuously updated EPD database,Continuously updated EPD database,Current at 2026-08-22,https://epd-australasia.com/epd-search/ | https://epd-australasia.com/about-us/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0061,LCA-REP-0011,EPDItaly EPD Database,2026-08-25,https://www.epditaly.it/,Public content returned,Rechecked; exact public version remains unconfirmed or not applicable,Continuously updated EPD database,Continuously updated EPD database,Current at 2026-08-22,https://www.epditaly.it/ | https://www.epditaly.it/en/contatti/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0062,LCA-DB-0054,SICV Brasil,2026-08-25,https://sicv.acv.ibict.br/,Public content returned,Rechecked; exact public version remains unconfirmed or not applicable,Live soda4LCA node; more than 200 inventories,Live soda4LCA node; more than 200 inventories,Platform modernization and content expansion documented in 2025,https://www.gov.br/ibict/pt-br/central-de-conteudos/noticias/2025/dezembro/cotea-ibict-apresenta-retrospectiva-2025-com-avancos-na-gestao-da-informacao-para-sustentabilidade-e-economia-circular | https://www.gov.br/ibict/pt-br/central-de-conteudos/noticias/2023/maio/sicv-brasil-amplia-sua-base-de-inventarios-do-ciclo-de-vida | https://helpdesk.lifecycleinitiative.org/distribution/data-formats/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0063,LCA-DB-0055,Chinese Life Cycle Database,2026-08-25,https://www.ike-global.com/,Public content returned,Rechecked; exact public version remains unconfirmed or not applicable,Current CLCD service line,Current CLCD service line,Current public service at 2026-08-22; exact database version not published,https://www.ike-global.com/ | https://v2.efootprint.net/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0064,LCA-DB-0056,Korea National Life Cycle Inventory Database,2026-08-25,https://www.keiti.re.kr/site/keiti/02/10202100000002023101610.jsp,Public content returned,Rechecked; exact public version remains unconfirmed or not applicable,Current integrated national LCI database,Current integrated national LCI database,Current public service at 2026-08-22,https://www.keiti.re.kr/site/keiti/02/10202100000002023101610.jsp,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0065,LCA-DB-0057,Thai National Life Cycle Inventory Database,2026-08-25,https://www.nstda-tiis.or.th/,Fetch error,Automated route check unresolved; prior evidence retained,Current national database service,Current national database service,Current public service at 2026-08-22,https://www.nstda.or.th/en/news/news-years-2019/mtec-nstda-and-pollution-control-department-to-promote-green-public-procurement.html | https://www.nstda.or.th/home/knowledge_post/nstda-tiis/ | https://helpdesk.lifecycleinitiative.org/distribution/data-formats/,Thailand canonical route could not be retrieved automatically; prior public evidence retained.
VA-0066,LCA-DB-0058,Malaysia Life Cycle Inventory Database,2026-08-25,https://mylcid.sirim.my/,Public content returned,Rechecked; exact public version remains unconfirmed or not applicable,Current MYLCID web service,Current MYLCID web service,Current public service at 2026-08-22,https://mylcid.sirim.my/ | https://www.mosti.gov.my/berita/pengkalan-data-inventori-kitaran-hayat-kebangsaan-my-lcid-dibangunkan-bagi-menilai-kesan-kitaran-hayat-produk-dan-perkhidmatan/ | https://helpdesk.lifecycleinitiative.org/distribution/data-formats/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0067,LCA-DB-0059,PeruLCA,2026-08-25,https://perulca.com/,HTTP 500,Automated route check unresolved; prior evidence retained,Current public website and dataset packages,Current public website and dataset packages,Official launch 2019-05-23; current public service at 2026-08-22,https://www.lifecycleinitiative.org/peru-lca-database-launched/ | https://perulca.com/ | https://helpdesk.lifecycleinitiative.org/distribution/data-formats/,PeruLCA canonical route returned a server error; prior public evidence retained.
VA-0068,LCA-DB-0060,CicloData,2026-08-25,https://ciclodata.cl/,Public content returned,Rechecked; exact public version remains unconfirmed or not applicable,Live public platform; 49 datasets,Live public platform; 49 datasets,Current at 2026-08-22,https://ciclodata.cl/ | https://ciclodata.cl/historia/ | https://ciclodata.cl/terminos-de-uso/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
