distribution_id,database_asset_id,database_name,database_release,distribution_package,schema_profile,schema_version,access_route,access_category,licence_rights,registration,fee,compatible_software,software_version,direction,claimed_tested_status,evidence_url,evidence_as_of,known_constraint_next_test
DST-0011,LCA-DB-0004,AGRIBALYSE,3.2,Brightway package,Brightway data package,AGRIBALYSE 3.2 implementation,https://doc.agribalyse.fr/documentation-en/agribalyse-data/data-access,"Free access with registration, use restrictions, or third-party dependency",Etalab Open Licence for public AGRIBALYSE information; ecoinvent rights apply to included background data; Redistribution: Not publicly confirmed,Not required for stated public access,No fee stated for at least one access route,Brightway,Not publicly confirmed,Database to consumer software/tool,Provider-linked implementation; discrepancies noted,https://doc.agribalyse.fr/documentation-en/agribalyse-data/data-access,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0012,LCA-DB-0004,AGRIBALYSE,3.2,openLCA package,openLCA database package,AGRIBALYSE 3.2 implementation,https://doc.agribalyse.fr/documentation-en/agribalyse-data/data-access,"Free access with registration, use restrictions, or third-party dependency",Etalab Open Licence for public AGRIBALYSE information; ecoinvent rights apply to included background data; Redistribution: Not publicly confirmed,Not required for stated public access,No fee stated for at least one access route,openLCA,Not publicly confirmed,Database to consumer software/tool,Provider-linked implementation; discrepancies noted,https://doc.agribalyse.fr/documentation-en/agribalyse-data/data-access,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0013,LCA-DB-0004,AGRIBALYSE,3.2,Simplified result tables,CSV / XLSX,AGRIBALYSE 3.2,https://doc.agribalyse.fr/documentation-en/agribalyse-data/data-access,"Free access with registration, use restrictions, or third-party dependency",Etalab Open Licence for public AGRIBALYSE information; ecoinvent rights apply to included background data; Redistribution: Not publicly confirmed,Not required for stated public access,No fee stated for at least one access route,Spreadsheet/statistical software,Not publicly confirmed,Database to consumer software/tool,Provider-documented public tables,https://doc.agribalyse.fr/documentation-en/agribalyse-data/data-access,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0014,LCA-DB-0005,BAFU:2025 life cycle inventory database,BAFU:2025,BAFU:2025 openLCA package,openLCA database package,BAFU:2025,https://nexus.openlca.org/database/BAFU,"Free access with registration, use restrictions, or third-party dependency",Public terms of use available; Redistribution: Not publicly confirmed,Required or account-gated,No fee stated for at least one access route,openLCA,Not publicly confirmed,Database to consumer software/tool,Nexus/provider catalogue claim; package not downloaded because account required,https://nexus.openlca.org/database/BAFU,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0015,LCA-DB-0006,cm.chemicals,Methodology v2.03 (2026),ILCD dataset delivery,ILCD XML,Methodology v2.03 / 2026 database,https://www.carbon-minds.com/products/data/carbon-footprint-and-lca-data/database-and-methodology-versions/,Commercial/proprietary,Commercial licence; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,ILCD-capable LCA software,Not publicly confirmed,Database to consumer software/tool,Provider change reports name the format; not independently tested,https://www.carbon-minds.com/products/data/carbon-footprint-and-lca-data/database-and-methodology-versions/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0016,LCA-DB-0006,cm.chemicals,Methodology v2.03 (2026),SimaPro dataset delivery,SimaPro CSV,Methodology v2.03 / 2026 database,https://www.carbon-minds.com/products/data/carbon-footprint-and-lca-data/database-and-methodology-versions/,Commercial/proprietary,Commercial licence; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,SimaPro,Not publicly confirmed,Database to consumer software/tool,Provider change reports name the format; not independently tested,https://www.carbon-minds.com/products/data/carbon-footprint-and-lca-data/database-and-methodology-versions/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0017,LCA-DB-0006,cm.chemicals,Methodology v2.03 (2026),cm.access web portal,Provider web application,2026 portal,https://www.carbon-minds.com/products/data/carbon-footprint-and-lca-data/database-and-methodology-versions/,Commercial/proprietary,Commercial licence; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,Web browser,Not publicly confirmed,Database to consumer software/tool,Provider-documented native access,https://www.carbon-minds.com/2026/06/17/2026-update-of-the-carbon-minds-database-and-launch-of-the-data-portal/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0018,LCA-DB-0007,EXIOBASE 3,EXIOBASE 3.10.2,Annual product-by-product MRIO archives,ZIP of tabular .txt matrices,EXIOBASE 3.10.2 package layout,https://zenodo.org/records/15689391,Free/public download with non-commercial-use restriction; commercial licence otherwise,EXIOBASE 3.9+: customized CC-BY-SA-NC licence for qualifying non-commercial use; commercial licensing for other uses,Not required for public Zenodo download,No fee for qualifying non-commercial use; commercial licence required otherwise,PyMRIO; Python; R; Matlab,PyMRIO version not fixed,Database to consumer software/tool,Official repository structure; PyMRIO reading documented,https://zenodo.org/records/20051562,2026-08-22,"Current v3.9 uses a customized non-commercial/commercial licence, not the older open v3.8 terms."
DST-0019,LCA-DB-0007,EXIOBASE 3,EXIOBASE 3.10.2,Annual industry-by-industry MRIO archives,ZIP of tabular .txt matrices,EXIOBASE 3.10.2 package layout,https://zenodo.org/records/15689391,Free/public download with non-commercial-use restriction; commercial licence otherwise,EXIOBASE 3.9+: customized CC-BY-SA-NC licence for qualifying non-commercial use; commercial licensing for other uses,Not required for public Zenodo download,No fee for qualifying non-commercial use; commercial licence required otherwise,PyMRIO; Python; R; Matlab,PyMRIO version not fixed,Database to consumer software/tool,Official repository structure; PyMRIO reading documented,https://zenodo.org/records/20051562,2026-08-22,"Current v3.9 uses a customized non-commercial/commercial licence, not the older open v3.8 terms."
DST-0020,LCA-DB-0007,EXIOBASE 3,3.8.2,Open historical MRIO release,ZIP of tabular matrices,EXIOBASE 3.8.2,https://zenodo.org/records/5589597,Open licence confirmed for this official historical distribution,CC BY-SA 4.0; redistribution permitted with attribution/share-alike,Not required,No fee,PyMRIO; Python; R; Matlab,PyMRIO >=0.4.5 stated for direct download,Database to consumer software/tool,Official historical open distribution,https://zenodo.org/records/5589597,2026-08-22,This historical release is CC BY-SA; do not transfer that licence to v3.9.
DST-0021,LCA-DB-0007,EXIOBASE 3,3.8-beta1 hybrid,SimaPro hybrid package,SimaPro CSV,EXIOBASE-hybrid 3.8 beta1,https://zenodo.org/records/13449634,Public download; package-specific rights require verification,Derived from EXIOBASE 3.8; verify the hybrid record and SimaPro-package terms before redistribution,Not required for public Zenodo record,No fee stated,SimaPro,Not publicly confirmed,Database to consumer software/tool,Published project distribution; not part of the core current v3.9 package,https://zenodo.org/records/13926939/files/EXIOBASE-hybrid%20v3.8-beta1%20SimaPro%20instruction.pdf,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0022,LCA-DB-0008,AIST-IDEA,v4,IDEA Excel distribution,XLSX tabular workbook,IDEA v4,https://idea-lca.com/en/features/,Commercial/proprietary,AIST-IDEA licence terms; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,Spreadsheet/statistical software,Not publicly confirmed,Database to consumer software/tool,Provider-described format,https://idea-lca.com/en/features/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0023,LCA-DB-0008,AIST-IDEA,v4,IDEA SimaPro implementation,SimaPro library/exchange,IDEA v4,https://idea-lca.com/en/features/,Commercial/proprietary,AIST-IDEA licence terms; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,SimaPro,Not publicly confirmed,Database to consumer software/tool,Provider-described implementation,https://idea-lca.com/en/features/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0024,LCA-DB-0008,AIST-IDEA,v4,IDEA openLCA implementation,openLCA database package,IDEA v4,https://idea-lca.com/en/features/,Commercial/proprietary,AIST-IDEA licence terms; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,openLCA,Not publicly confirmed,Database to consumer software/tool,Provider-described implementation,https://idea-lca.com/en/features/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0025,LCA-DB-0010,US Environmentally-Extended Input-Output models,USEEIO v2.3 family in current build framework,USEEIO model build and matrix outputs,R model objects / tabular matrices,USEEIO v2.x,https://github.com/USEPA/USEEIO,Public/free access; licence or redistribution unclear or mixed,useeior software is MIT; model inputs/outputs retain source-specific public-data terms; Redistribution: Software redistribution allowed under MIT; model-data rights remain source-specific,Not required for stated public access,No fee stated for at least one access route,useeior / R,Not publicly confirmed,Database to consumer software/tool,Official model framework,https://github.com/USEPA/USEEIO,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0026,LCA-DB-0010,US Environmentally-Extended Input-Output models,USEEIO v2.3 family in current build framework,USEEIO JSON-LD model,openLCA schema / JSON-LD,USEEIO v2.x conversion,https://github.com/USEPA/USEEIO,Public/free access; licence or redistribution unclear or mixed,useeior software is MIT; model inputs/outputs retain source-specific public-data terms; Redistribution: Software redistribution allowed under MIT; model-data rights remain source-specific,Not required for stated public access,No fee stated for at least one access route,openLCA,Not publicly confirmed,Database to consumer software/tool,Official conversion path; exact release pair not fixed,https://github.com/USEPA/USEEIO,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0027,LCA-DB-0010,US Environmentally-Extended Input-Output models,USEEIO v2.3 family in current build framework,USEEIO API model output,USEEIO API representation,USEEIO v2.x,https://github.com/USEPA/USEEIO,Public/free access; licence or redistribution unclear or mixed,useeior software is MIT; model inputs/outputs retain source-specific public-data terms; Redistribution: Software redistribution allowed under MIT; model-data rights remain source-specific,Not required for stated public access,No fee stated for at least one access route,USEEIO API/web applications,Not publicly confirmed,Database to consumer software/tool,Official serving path,https://github.com/USEPA/USEEIO,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0028,LCA-DB-0011,Sphera Managed LCA Content,2026 release/catalogue,Managed LCA Content native libraries,Sphera/GaBi proprietary database model,2026 catalogue,https://sphera.com/solutions/product-stewardship/life-cycle-assessment-software-and-data/managed-lca-content/,Commercial/proprietary,Commercial licence; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,Sphera LCA for Experts / GaBi lineage,Not publicly confirmed,Database to consumer software/tool,Provider-native compatibility; proprietary exchange details not public,https://sphera.com/solutions/product-stewardship/life-cycle-assessment-software-and-data/managed-lca-content/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0029,LCA-DB-0012,TianGong LCA Database,Continuously updated platform dataset,TIDAS native records,TIDAS JSON / JSON Schema,Continuously updated,https://www.tiangong.earth/data,Public/free access; licence or redistribution unclear or mixed,Sampled official dataset record states free of charge for all users and uses; collection-wide standard licence not identified; Redistribution: Collection-wide redistribution terms not publicly confirmed,Not required to browse sampled public records,No fee for sampled public records,TianGong platform and TIDAS-capable tools,Not publicly confirmed,Database to consumer software/tool,Official native format; no independent conformance test,https://www.tiangong.earth/data,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0030,LCA-DB-0012,TianGong LCA Database,Continuously updated platform dataset,LCDN publication/export,ILCD / eILCD-compatible XML,Dataset-specific,https://www.tiangong.earth/data,Public/free access; licence or redistribution unclear or mixed,Sampled official dataset record states free of charge for all users and uses; collection-wide standard licence not identified; Redistribution: Collection-wide redistribution terms not publicly confirmed,Not required to browse sampled public records,No fee for sampled public records,ILCD-capable LCA software,Not publicly confirmed,Database to consumer software/tool,Official node compatibility claim; exact profile version varies,https://lcdn.tiangong.earth/index.xhtml,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0031,LCA-DB-0013,Base Empreinte®,Base Empreinte v1.1; Base Carbone v23.11 shown in 2026 news,Provider/public access distribution; machine-readable package not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://base-empreinte.ademe.fr/,"Free access with registration, use restrictions, or third-party dependency",Dataset-specific terms; ecoinvent-derived content has additional restrictions; Redistribution: Not publicly confirmed,Required or account-gated,No fee stated for at least one access route,Not publicly confirmed,Not publicly confirmed,Database to consumer software/tool,"Public/provider evidence identifies the asset, but an exact package–schema–software pair is not published",https://base-empreinte.ademe.fr/ | https://base-empreinte.ademe.fr/aide/faq | https://www.ademe.fr/lagence/notre-organisation/,2026-08-22,Retain as an explicit public-information gap; do not infer a format from a web interface or software marketing claim.
DST-0032,LCA-DB-0014,Australian Life Cycle Inventory Database,Not publicly confirmed,Provider/public access distribution; machine-readable package not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://www.auslci.com.au/,Public/free access; licence or redistribution unclear or mixed,Public licence details require dataset-level confirmation; Redistribution: Not publicly confirmed,Not publicly confirmed,No fee stated for at least one access route,Not publicly confirmed,Not publicly confirmed,Database to consumer software/tool,"Public/provider evidence identifies the asset, but an exact package–schema–software pair is not published",https://www.auslci.com.au/,2026-08-22,Retain as an explicit public-information gap; do not infer a format from a web interface or software marketing claim.
DST-0033,LCA-DB-0015,ÖKOBAUDAT,ÖKOBAUDAT 2024-II database release; daily-current download snapshot,Current and archived database ZIP,ILCD+EPD XML,Profile v1.2; current database profile 3.8.0,https://www.oekobaudat.de/service/downloads.html,Public/free access; licence or redistribution unclear or mixed,Platform terms plus dataset-owner rights; no single collection-wide open licence confirmed; Redistribution: Dataset-owner rights apply; free access does not establish blanket redistribution permission,Not required for public downloads,No fee for public downloads,ILCD+EPD/soda4LCA-capable tools,Not publicly confirmed,Database to consumer software/tool,Official public package,https://www.oekobaudat.de/service/downloads.html,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0034,LCA-DB-0015,ÖKOBAUDAT,ÖKOBAUDAT 2024-II database release; daily-current download snapshot,Current CSV export,CSV,Current daily snapshot,https://www.oekobaudat.de/service/downloads.html,Public/free access; licence or redistribution unclear or mixed,Platform terms plus dataset-owner rights; no single collection-wide open licence confirmed; Redistribution: Dataset-owner rights apply; free access does not establish blanket redistribution permission,Not required for public downloads,No fee for public downloads,Spreadsheet/statistical software,Not publicly confirmed,Database to consumer software/tool,Official public export,https://www.oekobaudat.de/service/downloads.html,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0035,LCA-DB-0016,European Reference Life Cycle Database,ELCD III package (historical),ELCD III package,ILCD XML in ZIP package,ILCD 1.1 family,https://eplca.jrc.ec.europa.eu/LCDN/developerILCD.html,Public/free access; licence or redistribution unclear or mixed,EU public resource terms; Redistribution: Not publicly confirmed,Not publicly confirmed,No fee stated for at least one access route,ILCD-capable LCA software,Not publicly confirmed,Database to consumer software/tool,Historical official package/profile,https://eplca.jrc.ec.europa.eu/LCDN/developerILCD.html,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0036,LCA-DB-0017,GFLI Database,3.0,Impact-assessment portal view,Provider web application / LCIA tables,GFLI 3.0,https://globalfeedlca.org/gfli-database/,Commercial/proprietary,"Commercial, developer and academic/research licence categories; Redistribution: Not publicly confirmed",Required or account-gated,Fee or commercial licence applies,Web browser,Not publicly confirmed,Database to consumer software/tool,Provider-documented native access,https://globalfeedlca.org/gfli-database/database-formats/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0037,LCA-DB-0017,GFLI Database,3.0,Aggregated system-process distribution,SimaPro CSV,GFLI 3.0,https://globalfeedlca.org/gfli-database/,Commercial/proprietary,"Commercial, developer and academic/research licence categories; Redistribution: Not publicly confirmed",Required or account-gated,Fee or commercial licence applies,SimaPro,Not publicly confirmed,Database to consumer software/tool,Provider-documented licensed distribution,https://globalfeedlca.org/gfli-database/database-formats/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0038,LCA-DB-0017,GFLI Database,3.0,Disaggregated unit-process distribution,SimaPro CSV; JSON may be requested,GFLI 3.0,https://globalfeedlca.org/gfli-database/,Commercial/proprietary,"Commercial, developer and academic/research licence categories; Redistribution: Not publicly confirmed",Required or account-gated,Fee or commercial licence applies,SimaPro,Not publicly confirmed,Database to consumer software/tool,Provider-documented licensed distribution,https://globalfeedlca.org/available-now-unit-process-level-data/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0039,LCA-DB-0018,World Food LCA Database,Current provider-hosted release; numbered release not stated on public page,Provider/public access distribution; machine-readable package not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://quantis.com/services-solutions/consortium-building-and-management/wfldb/,Commercial/proprietary,Commercial terms; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,Not publicly confirmed,Not publicly confirmed,Database to consumer software/tool,"Public/provider evidence identifies the asset, but an exact package–schema–software pair is not published",https://quantis.com/services-solutions/consortium-building-and-management/wfldb/ | https://quantis.com/about/locations/,2026-08-22,Retain as an explicit public-information gap; do not infer a format from a web interface or software marketing claim.
DST-0040,LCA-DB-0019,RIVM Database on the environmental impact of food products,2024 database version; published 2026-03-30,Food-impact workbook,XLSX,2024 database version,https://www.rivm.nl/en/food-and-nutrition/sustainable-food/environmental-impact-of-food-products,Open licence confirmed for at least one official distribution,CC BY 4.0; Redistribution: Permitted under CC BY 4.0 with attribution,Not required for public download,No fee,Spreadsheet/statistical software,Not publicly confirmed,Database to consumer software/tool,Official open workbook,https://www.rivm.nl/en/food-and-nutrition/sustainable-food/environmental-impact-of-food-products,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0041,LCA-DB-0020,ProBas 2,ProBas2 soda4LCA 7.28.0 observed,ProBas public node export,soda4LCA / ILCD-style XML package,soda4LCA 7.28.0 observed,https://data.probas.umweltbundesamt.de/,"Free access with registration, use restrictions, or third-party dependency",General UBA data reuse permission applies unless otherwise noted; source-specific terms remain possible; Redistribution: Permitted under general UBA reuse terms unless the source record states otherwise,Required or account-gated,No fee stated for at least one access route,ILCD/soda4LCA-capable software,Not publicly confirmed,Database to consumer software/tool,Official public node; exact import pairs not tested,https://data.probas.umweltbundesamt.de/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0042,LCA-DB-0021,INIES Database,Continuously updated online database,Public declaration catalogue,Web records and PDF declarations,Continuously updated,https://www.inies.fr/en/accueil/,Public/free access; licence or redistribution unclear or mixed,Database terms and declaration-programme rules; Redistribution: Not publicly confirmed,Not publicly confirmed,No fee stated for at least one access route,Web browser / PDF reader,Not publicly confirmed,Database to consumer software/tool,Official public catalogue,https://www.inies.fr/en/ressources-documentaires/how-to-consult-the-inies-database/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0043,LCA-DB-0021,INIES Database,Continuously updated online database,Digitised-data webservice,INIES predefined digital webservice; XML/CSV exchanges are documented,Webservice established 2013,https://www.inies.fr/en/accueil/,Public/free access; licence or redistribution unclear or mixed,Database terms and declaration-programme rules; Redistribution: Not publicly confirmed,Not publicly confirmed,No fee stated for at least one access route,Building-LCA software subscribed to INIES,Not publicly confirmed,Database to consumer software/tool,Official licensed webservice; schema details not fully public,https://www.inies.fr/en/the-digitised-data-webservice/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0044,LCA-DB-0022,PlasticsEurope Eco-profiles,Product-specific packages; methodology version 3.1; selected profiles updated 2026-03,Product-specific eco-profile packages,Report plus datasets in several provider formats,Package-specific,https://plasticseurope.org/sustainability/circularity/life-cycle-thinking/eco-profiles-set/,Public/free access; licence or redistribution unclear or mixed,Package-specific terms not fully confirmed; Redistribution: Not publicly confirmed at collection level,Not required for current public packages,No fee stated for current public packages,General LCA tools; exact package software varies,Not publicly confirmed,Database to consumer software/tool,Official public packages; file schemas must be captured per package,https://plasticseurope.org/sustainability/circularity/life-cycle-thinking/eco-profiles-set/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0045,LCA-DB-0022,PlasticsEurope Eco-profiles,Product-specific packages; methodology version 3.1; selected profiles updated 2026-03,Aggregated commercial-library copies,SimaPro/GaBi proprietary libraries; some ecoinvent processes,Database-specific,https://plasticseurope.org/sustainability/circularity/life-cycle-thinking/eco-profiles-set/,Public/free access; licence or redistribution unclear or mixed,Package-specific terms not fully confirmed; Redistribution: Not publicly confirmed at collection level,Not required for current public packages,No fee stated for current public packages,SimaPro; Sphera/GaBi; ecoinvent consumers,Not publicly confirmed,Database to consumer software/tool,Provider-stated secondary availability,https://plasticseurope.org/sustainability/circularity/life-cycle-thinking/eco-profiles-set/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0046,LCA-DB-0023,worldsteel Life Cycle Inventory Database,2024 LCI dataset (released 2026-05),Public steel eco-profiles,PDF,2026 release using 2024 data,https://worldsteel.org/wider-sustainability/life-cycle-thinking/life-cycle-inventory-data-and-eco-profiles/,Request/membership-mediated,worldsteel LCI data usage agreement; Redistribution: Full inventories may not be posted publicly or communicated externally without worldsteel agreement,Request form required for full LCI datasets,No fee stated; use agreement applies,PDF reader,Not publicly confirmed,Database to consumer software/tool,Official public summaries,https://worldsteel.org/wider-sustainability/life-cycle-thinking/life-cycle-inventory-data-and-eco-profiles/,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
