alignment_id,schema_profile_original,schema_profile,schema_profile_class,alignment_method,distribution_count
SPA-0045,openLCA schema / JSON-LD,openLCA JSON-LD,openLCA family,Curated synonym alignment,3
SPA-0046,openLCA/Federal LCA Commons data model,openLCA JSON-LD,openLCA family,Curated synonym alignment,1
SPA-0047,PDF,PDF,Document / repository package,Original label retained; curated class assigned,2
SPA-0048,PDF and embedded tables,PDF and embedded tables,Tabular / matrix,Original label retained; curated class assigned,1
SPA-0049,PEF-methodology inventory; exact exchange schema not stated publicly,PEF inventory profile,Environmental Footprint,Curated synonym alignment,1
SPA-0050,Provider JSON,Provider JSON,JSON / API / web,Original label retained; curated class assigned,1
SPA-0051,Provider spreadsheet inventory and GaBi-based modelling; no public standard exchange schema stated,Provider spreadsheet inventory and GaBi-based modelling; no public standard exchange schema stated,Sphera / GaBi family,Original label retained; curated class assigned,1
SPA-0052,Provider web application / LCIA tables,Provider web application / LCIA tables,Tabular / matrix,Original label retained; curated class assigned,1
SPA-0053,Python model objects / tabular matrices,Python model objects / tabular matrices,Tabular / matrix,Original label retained; curated class assigned,1
SPA-0054,R model objects / tabular matrices,R model objects / tabular matrices,Tabular / matrix,Original label retained; curated class assigned,1
SPA-0055,Report plus datasets in several provider formats,Report plus datasets in several provider formats,Document / repository package,Original label retained; curated class assigned,1
SPA-0056,SimaPro CSV,SimaPro CSV,SimaPro family,Original label retained; curated class assigned,3
SPA-0057,SimaPro CSV; JSON may be requested,SimaPro CSV; JSON may be requested,SimaPro family,Original label retained; curated class assigned,1
SPA-0058,SimaPro distribution,SimaPro library / exchange,SimaPro family,Curated synonym alignment,2
SPA-0059,SimaPro exchange,SimaPro library / exchange,SimaPro family,Curated synonym alignment,1
SPA-0060,SimaPro exchange output,SimaPro library / exchange,SimaPro family,Curated synonym alignment,1
SPA-0061,SimaPro library/exchange,SimaPro library / exchange,SimaPro family,Curated synonym alignment,2
SPA-0062,SimaPro proprietary library/exchange,SimaPro library / exchange,SimaPro family,Curated synonym alignment,4
SPA-0063,SimaPro/GaBi proprietary libraries; some ecoinvent processes,SimaPro/GaBi proprietary libraries; some ecoinvent processes,ecoSpold family,Original label retained; curated class assigned,1
SPA-0064,Software-specific proprietary package,Software-specific proprietary package,Software-native / proprietary,Original label retained; curated class assigned,1
SPA-0065,GaBi proprietary database format,Sphera / GaBi proprietary model,Sphera / GaBi family,Curated synonym alignment,1
SPA-0066,Sphera/GaBi proprietary database model,Sphera / GaBi proprietary model,Sphera / GaBi family,Curated synonym alignment,1
SPA-0067,SPINE,SPINE,SPINE,Curated canonical label,1
SPA-0068,Spreadsheet/PDF educational resource; machine-readable tab removed,Spreadsheet/PDF educational resource; machine-readable tab removed,Tabular / matrix,Original label retained; curated class assigned,1
SPA-0069,ZIP of tabular .txt matrices,Tabular matrices (ZIP),Tabular / matrix,Curated synonym alignment,2
SPA-0070,ZIP of tabular matrices,Tabular matrices (ZIP),Tabular / matrix,Curated synonym alignment,1
SPA-0071,TIDAS JSON / JSON Schema,TIDAS JSON,TIDAS,Curated synonym alignment,1
SPA-0072,USEEIO API representation,USEEIO API,USEEIO,Curated synonym alignment,1
SPA-0073,Provider web application,Web application,JSON / API / web,Curated synonym alignment,1
SPA-0074,Web application,Web application,JSON / API / web,Curated canonical label,1
SPA-0075,Web records and PDF declarations,Web records and PDF declarations,JSON / API / web,Original label retained; curated class assigned,1
SPA-0076,XYCLE proprietary internal model,XYCLE internal model,XYCLE,Curated synonym alignment,1
SPA-0077,Zenodo dataset package,Zenodo dataset package,Document / repository package,Original label retained; curated class assigned,1
SPA-0078,Zenodo repository package; internal schema not confirmed,Zenodo repository package; internal schema not confirmed,Unconfirmed,Original label retained; curated class assigned,1
