relationship_id,source_asset_id,source_asset_name,source_resolution,target_asset_id,target_asset_name,target_resolution,relationship_type,status,evidence,constraints,validation_question,mapping_artifact_id
REL-0051,LCA-DB-0019,RIVM Database on the environmental impact of food products,Exact asset-name match,LCA-MTH-0002,ReCiPe 2016,Exact asset-name match,LCIA method implementation,Confirmed,RIVM documents use of ReCiPe 2016 midpoint indicators.,The implemented indicator subset and background versions matter.,Record exact method package per database release.,
REL-0052,LCA-DB-0019,RIVM Database on the environmental impact of food products,Exact asset-name match,LCA-SW-0001,SimaPro desktop edition,Exact asset-name match,software implementation,Confirmed,RIVM documents use of SimaPro 9.5 for the current modelling update.,Software/database versions affect results.,Preserve version provenance.,
REL-0053,LCA-DB-0020,ProBas 2,Exact asset-name match,,ILCD Data Format,External or unresolved endpoint,native exchange/profile,Confirmed at platform level,The ProBas2 node runs a soda4LCA/ILCD-style data service with public stocks.,Stock-level profile conformance requires checking.,Capture export profile and validator results.,
REL-0054,LCA-DB-0021,INIES Database,Exact asset-name match,LCA-STD-0004,EN 15804:2012+A2:2019+AC:2021,Exact asset-name match,declaration conformance,Confirmed,INIES FDES content is governed by NF EN 15804 and its national supplement.,French programme rules extend the European standard.,Track applicable programme/version per declaration.,
REL-0055,LCA-DB-0021,INIES Database,Exact asset-name match,LCA-NET-0003,ECO Platform,Exact asset-name match,network/programme interoperability,Documented,INIES participates in international/InData and mutual-recognition activities relevant to ECO Platform exchange.,Mutual recognition does not imply identical programme rules.,Verify node-level interoperability and current recognition status.,
REL-0056,LCA-DB-0022,PlasticsEurope Eco-profiles,Exact asset-name match,LCA-DB-0001,ecoinvent database,Exact asset-name match,source/distribution,Confirmed,PlasticsEurope states that some disaggregated eco-profile data appear in ecoinvent from version 3.6.,Coverage and versions vary by product.,Map source package to ecoinvent dataset/version.,
REL-0057,LCA-DB-0022,PlasticsEurope Eco-profiles,Exact asset-name match,LCA-SW-0001,SimaPro desktop edition,Exact asset-name match,aggregated distribution,Confirmed,PlasticsEurope states that most aggregated datasets are available in the SimaPro industrial database.,Commercial database terms apply.,Capture exact implementation version.,
REL-0058,LCA-DB-0022,PlasticsEurope Eco-profiles,Exact asset-name match,,GLAD network,External or unresolved endpoint,network publication,Confirmed by provider,PlasticsEurope states that all Eco-profiles are posted in GLAD.,Availability and current node links require audit.,Validate each package record in GLAD.,
REL-0059,LCA-DB-0023,worldsteel Life Cycle Inventory Database,Exact asset-name match,LCA-STD-0007,ISO 14044:2006,Exact asset-name match,method conformance,Confirmed,worldsteel states that the LCI study follows ISO 14040 and ISO 14044.,Conformance details depend on study report and review.,Review current detailed study report when published.,
REL-0060,LCA-FMT-0007,openEPD Interchange Format,Exact asset-name match,LCA-STD-0005,ISO 14025:2026,Exact asset-name match,standard compatibility,Claimed/documented,openEPD describes compatibility with ISO 14025.,Compatibility is not the same as certified conformance.,Map mandatory fields to current standard edition.,
REL-0061,LCA-FMT-0007,openEPD Interchange Format,Exact asset-name match,LCA-STD-0004,EN 15804:2012+A2:2019+AC:2021,Exact asset-name match,standard compatibility,Claimed/documented,openEPD describes compatibility with EN 15804.,Sector/PCR extensions determine completeness.,Run profile-level conformance tests.,
REL-0062,LCA-FMT-0007,openEPD Interchange Format,Exact asset-name match,LCA-FMT-0003,ILCD+EPD data format,Exact asset-name match,format compatibility,Claimed/documented,openEPD states compatibility with ILCD+EPD and reuses related field concepts.,Round-trip equivalence is not demonstrated.,Develop and test an explicit crosswalk.,
REL-0063,LCA-FMT-0008,PACT Technical Specifications for PCF Data Exchange,Exact asset-name match,LCA-MTH-0009,GHG Protocol Product Life Cycle Accounting and Reporting Standard,Exact asset-name match,method reference,Confirmed,PACT technical fields record cross-sectoral standards including the GHG Protocol Product Standard.,PACT and GHGP requirements are version-specific.,Capture method version in every footprint.,
REL-0064,LCA-FMT-0008,PACT Technical Specifications for PCF Data Exchange,Exact asset-name match,LCA-STD-0003,ISO 14067:2018,Exact asset-name match,method reference,Confirmed,PACT technical fields include ISO 14067 among permitted cross-sectoral standards.,Data exchange conformance does not prove calculation conformance.,Retain assurance evidence with each footprint.,
REL-0065,LCA-STD-0007,ISO 14044:2006,Exact asset-name match,LCA-STD-0002,ISO 14040:2006,Exact asset-name match,companion standards,Confirmed,ISO presents ISO 14040 and ISO 14044 as the current principles/framework and requirements/guidelines pair.,Amendments and sector standards can add requirements.,Cite both edition and amendments.,
REL-0066,LCA-MTH-0012,Global Life Cycle Impact Assessment Method,Exact asset-name match,,GLAD network,External or unresolved endpoint,flow nomenclature linkage,Confirmed at programme level,GLAM documents collaboration with GLAD to improve consistent LCI–LCIA linkage.,Exact mapping release and coverage require capture.,Version the GLAM-to-GLAD mapping.,
REL-0067,LCA-MTH-0012,Global Life Cycle Impact Assessment Method,Exact asset-name match,LCA-NET-0005,Life Cycle Initiative,Exact asset-name match,programme governance,Confirmed,GLAM was developed and is stewarded within the UNEP-hosted Life Cycle Initiative.,Programme governance and method release governance are distinct.,Record stewardship decisions and releases.,
REL-0068,LCA-QA-0002,US EPA Guidance on Data Quality Assessment for Life Cycle Inventory Data,Exact asset-name match,,USLCI Database,External or unresolved endpoint,quality guidance,Applicable/documented,The EPA guidance targets LCI data quality and complements US federal LCA data infrastructure.,Dataset-level adoption is not universal.,Record which USLCI datasets implement the indicators.,
REL-0069,LCA-QA-0003,Environmental Footprint Data Quality Rating,Exact asset-name match,LCA-MTH-0003,Product Environmental Footprint method,Exact asset-name match,embedded QA method,Confirmed,DQR criteria and formulas are part of the Environmental Footprint method requirements.,Sector rules and data packages can refine implementation.,Track DQR version with each PEF study/dataset.,
REL-0070,LCA-NET-0005,Life Cycle Initiative,Exact asset-name match,,GLAD network,External or unresolved endpoint,programme development,Confirmed,GLAD is a data-access network developed under the Life Cycle Initiative portfolio.,Network operations have their own governance.,Keep programme and operational governance separate.,
REL-0071,LCA-NET-0005,Life Cycle Initiative,Exact asset-name match,LCA-MTH-0012,Global Life Cycle Impact Assessment Method,Exact asset-name match,programme development,Confirmed,GLAM is a major method output of the Life Cycle Initiative.,Method stewardship now requires release-level records.,Track current stewardship and software implementations.,
REL-0072,LCA-SW-0010,LCA as Code,Exact asset-name match,LCA-DB-0001,ecoinvent database,Exact asset-name match,background-data import,Confirmed by provider,LCA as Code documents controlled use/import of ecoinvent backgrounds.,ecoinvent licence applies.,Record source database and licence per model.,
REL-0073,LCA-SW-0010,LCA as Code,Exact asset-name match,LCA-FMT-0001,ecoSpold2,Exact asset-name match,import/export format,Confirmed by provider,LCA as Code documents ecoSpold2 export and ecoinvent-format import workflows.,Round-trip fidelity was not tested.,Validate mappings and loss logs.,MAP-0009
REL-0074,LCA-SW-0010,LCA as Code,Exact asset-name match,,ILCD Data Format,External or unresolved endpoint,export format,Confirmed by provider,The software lists ILCD among export formats.,Profile/version compatibility is unstated.,Capture ILCD profile and validation result.,
REL-0075,LCA-SW-0011,LCAx toolkit,Exact asset-name match,LCA-FMT-0009,LCAx exchange format,Exact asset-name match,native implementation,Confirmed,The toolkit implements the central LCAx data structure and validation schema.,Toolkit and format versions must match.,Publish a compatibility matrix.,
REL-0076,LCA-SW-0011,LCAx toolkit,Exact asset-name match,LCA-FMT-0003,ILCD+EPD data format,Exact asset-name match,conversion,Confirmed,LCAx documents conversion from ILCD+EPD JSON data into LCAx EPD objects.,Conversion coverage and reverse path require testing.,Run field-level round-trip tests.,MAP-0007
REL-0077,LCA-FMT-0009,LCAx exchange format,Exact asset-name match,LCA-STD-0004,EN 15804:2012+A2:2019+AC:2021,Exact asset-name match,validation/application profile,Documented,LCAx validation examples include checking EPD conformance to EN 15804+A2.,A custom rule is not formal certification.,Define a maintained conformance profile.,
REL-0078,LCA-SW-0012,LCIA Formatter,Exact asset-name match,LCA-NOM-0001,Federal Elementary Flow List,Exact asset-name match,authoritative flow mapping,Confirmed,LCIA Formatter uses FEDEFL as the authoritative elementary-flow system.,Generated methods depend on FEDEFL version.,Cite tool and FEDEFL versions together.,
REL-0079,LCA-SW-0012,LCIA Formatter,Exact asset-name match,,Federal LCA Commons,External or unresolved endpoint,method publication,Confirmed,Generated LCIA methods are published on the Federal LCA Commons.,Public API/download availability can change.,Preserve package provenance and release date.,
REL-0080,LCA-SW-0012,LCIA Formatter,Exact asset-name match,LCA-MTH-0002,ReCiPe 2016,Exact asset-name match,method generation,Confirmed,The Commons identifies current ReCiPe packages as generated by LCIA Formatter v1.1.4.,"This is an implementation, not the owner method release.",Keep source and generated-package identities separate.,
REL-0081,LCA-SW-0013,soda4LCA,Exact asset-name match,,ILCD Data Format,External or unresolved endpoint,native data model,Confirmed,soda4LCA stores and serves ILCD-format LCI and LCIA datasets.,Nodes can implement different profiles/versions.,Record node and profile versions.,
REL-0082,LCA-SW-0013,soda4LCA,Exact asset-name match,,LCDN,External or unresolved endpoint,node software,Confirmed,soda4LCA provides the web/API pattern used by multiple LCDN-style nodes.,Central network admission is separately governed.,Validate each node's current network status.,
REL-0083,LCA-SW-0013,soda4LCA,Exact asset-name match,LCA-DB-0020,ProBas 2,Exact asset-name match,platform implementation,Confirmed,The public ProBas2 interface identifies a soda4LCA deployment and version.,Deployment customizations may differ from upstream.,Capture deployment build and configuration.,
REL-0084,LCA-SW-0014,premise,Exact asset-name match,LCA-DB-0001,ecoinvent database,Exact asset-name match,licensed input/transformation,Confirmed,premise modifies licensed ecoinvent releases to reflect IAM scenarios.,Derivative database redistribution is constrained.,"Record source release, system model and licence.",
REL-0085,LCA-SW-0014,premise,Exact asset-name match,LCA-SW-0002,Brightway,Exact asset-name match,output integration,Confirmed,premise documents outputs compatible with Brightway 2 and 2.5.,Compatibility depends on installed bw2data versions.,Record exact environment and output format.,
REL-0086,LCA-DB-0024,openIO-Canada,Exact asset-name match,LCA-DB-0010,US Environmentally-Extended Input-Output models,Exact asset-name match,peer national EEIO model,Comparative,Both are national EEIO assets used for economy-wide life-cycle footprints.,"Classifications, environmental extensions and geography differ.",Develop a transparent concordance.,
REL-0087,LCA-DB-0025,Product Social Impact Life Cycle Assessment Database,Exact asset-name match,LCA-REP-0001,openLCA Nexus,Exact asset-name match,commercial distribution,Confirmed,PSILCA variants are licensed and distributed via openLCA Nexus.,Licence and variant determine detail.,Record exact variant and release.,
REL-0088,LCA-DB-0025,Product Social Impact Life Cycle Assessment Database,Exact asset-name match,,Eora,External or unresolved endpoint,MRIO dependency,Confirmed by provider,PSILCA states that its global economy model is based on Eora.,MRIO version and transformations require capture.,Record Eora vintage and concordance.,
REL-0089,LCA-DB-0026,Social Hotspots Database,Exact asset-name match,LCA-SW-0001,SimaPro desktop edition,Exact asset-name match,software distribution,Confirmed by provider,SHDB licenses support use in SimaPro and other LCA software.,Implementation/version details are not public.,Capture package and software compatibility.,
REL-0090,LCA-MTH-0013,PACT Methodology,Exact asset-name match,LCA-FMT-0008,PACT Technical Specifications for PCF Data Exchange,Exact asset-name match,methodological foundation,Confirmed,PACT explicitly states that Methodology v3 is the foundation for Technical Specifications v3.,Version pairs must remain compatible.,Record methodology/specification pair.,
REL-0091,LCA-MTH-0013,PACT Methodology,Exact asset-name match,LCA-MTH-0009,GHG Protocol Product Life Cycle Accounting and Reporting Standard,Exact asset-name match,method alignment,Confirmed,PACT v3 builds on leading GHG accounting standards including the GHG Protocol Product Standard.,Requirements are not identical and are under revision.,Maintain a clause-level crosswalk.,
REL-0092,LCA-PLT-0003,Big Open Network for Sustainability Assessment Information,Exact asset-name match,LCA-DB-0027,BONSAI Database,Exact asset-name match,hosts/governs,Confirmed,The BONSAI association/platform publishes and maintains the open database.,Project contributions can have independent provenance.,Retain dataset-level attribution.,
REL-0093,LCA-PLT-0003,Big Open Network for Sustainability Assessment Information,Exact asset-name match,LCA-NOM-0002,BONSAI Core Ontology,Exact asset-name match,semantic infrastructure,Confirmed at programme level,BONSAI uses open semantic assets developed within its network.,Ontology and platform versions may diverge.,Record mapping and version dependencies.,
REL-0094,LCA-DB-0027,BONSAI Database,Exact asset-name match,LCA-NOM-0002,BONSAI Core Ontology,Exact asset-name match,semantic model,Documented,The database and footprint recipes rely on structured open concepts within the BONSAI ecosystem.,Complete schema/ontology conformance was not tested.,Validate current data against ontology releases.,
REL-0095,LCA-MTH-0014,Catena-X Guidance Product Carbon Footprint Calculation,Exact asset-name match,LCA-QA-0004,Catena-X Data Quality Rating Guidance,Exact asset-name match,embedded QA framework,Confirmed,Catena-X publishes DQR guidance as a supporting module for PCF calculation.,Profile and release versions must match.,Record method/DQR pair.,
REL-0096,LCA-MTH-0014,Catena-X Guidance Product Carbon Footprint Calculation,Exact asset-name match,LCA-FMT-0010,Catena-X PCF Data Model Guidance,Exact asset-name match,reporting/exchange implementation,Confirmed,Catena-X publishes the data model as the required reporting/exchange representation for its PCF rules.,Method compliance and data-model compliance are distinct.,Validate both layers.,
REL-0097,LCA-FMT-0010,Catena-X PCF Data Model Guidance,Exact asset-name match,LCA-FMT-0008,PACT Technical Specifications for PCF Data Exchange,Exact asset-name match,cross-ecosystem alignment opportunity,Documented relationship; detailed mapping needed,Both support structured supplier PCF exchange and Catena-X participates in broader PCF interoperability work.,Fields and lifecycle semantics may differ.,Maintain a versioned crosswalk.,
REL-0098,LCA-MTH-0014,Catena-X Guidance Product Carbon Footprint Calculation,Exact asset-name match,LCA-MTH-0013,PACT Methodology,Exact asset-name match,method alignment,Related,Both are product-carbon methods for supply chains; Catena-X adds automotive/ecosystem rules.,Do not assume full equivalence.,Compare current clauses and accepted deviations.,
REL-0099,LCA-MTH-0015,TfS Product Carbon Footprint Guideline for the Chemical Industry,Exact asset-name match,LCA-FMT-0011,TfS PCF Data Model,Exact asset-name match,method/reporting model,Confirmed,"TfS states that the guideline defines calculation while the data model defines fields, nomenclature and formatting.",Versions must be paired.,Publish compatibility matrix.,
