candidate_review_id,discovery_register,candidate_name,developer_provider,official_url,source_url,qualifying_capabilities,review_status,matched_asset_id,decision_reason,reviewed_at
SCR-0011,WBCSD PACT Network solution directory,Carbon Maps,Carbon Maps,https://www.carbonmaps.io/,https://www.carbon-transparency.org/solutions/carbon-maps,LCA; PCF calculation; PCF exchange; CCF calculation,Promoted as new asset,LCA-SW-0054,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0012,WBCSD PACT Network solution directory,Carbon Trail,Carbon Trail,https://carbontrail.net,https://www.carbon-transparency.org/solutions/carbon-trail,LCA; PCF calculation; CCF calculation,Promoted as new asset,LCA-SW-0055,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0013,WBCSD PACT Network solution directory,CarbonBlock,CircularTree,https://circulartree.com/carbonblock/,https://www.carbon-transparency.org/solutions/carbonblock,PCF calculation; PCF exchange; supplier data collection,Promoted as new asset,LCA-SW-0056,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0014,WBCSD PACT Network solution directory,CarbonBright,CarbonBright AI,https://carbonbright.co,https://www.carbon-transparency.org/solutions/carbonbright,LCA; PCF calculation; PCF exchange,Promoted as new asset,LCA-SW-0057,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0015,WBCSD PACT Network solution directory,CARBONIX,Sustech,https://sustech-inc.co.jp/carbonix/,https://www.carbon-transparency.org/solutions/carbonix,LCA; PCF calculation; CCF calculation,Promoted as new asset,LCA-SW-0058,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0016,WBCSD PACT Network solution directory,CarbonStar,Startrust,https://sites.google.com/view/startrustsystem-en,https://www.carbon-transparency.org/solutions/carbonstar,LCA; PCF calculation; CCF calculation,Promoted as new asset,LCA-SW-0059,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0017,WBCSD PACT Network solution directory,ClimateCamp,ClimateCamp,https://climatecamp.io/,https://www.carbon-transparency.org/solutions/climatecamp,PCF calculation; CCF calculation; supplier data collection,Promoted as new asset,LCA-SW-0060,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0018,WBCSD PACT Network solution directory,ClimatePoint Eco Report Builder,ClimatePoint,https://www.climatepoint.com/,https://www.carbon-transparency.org/solutions/climatepoint,LCA; PCF calculation; PCF exchange,Promoted as new asset,LCA-SW-0061,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0019,WBCSD PACT Network solution directory,Microsoft Cloud for Sustainability PACT connector,Microsoft,https://www.microsoft.com/en-us/sustainability/cloud,https://www.carbon-transparency.org/solutions/cloud-for-sustainability,PCF exchange; API / connector,Promoted as new asset,LCA-SW-0062,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0020,WBCSD PACT Network solution directory,CO2 AI,CO2 AI,https://www.co2ai.com/,https://www.carbon-transparency.org/solutions/co2-ai,PCF calculation; CCF calculation; supplier data collection,Promoted as new asset,LCA-SW-0063,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0021,WBCSD PACT Network solution directory,CUCON,Uhuru Corporation,https://uhuru.co.jp/library/articles/cucon_smartsupplychain/,https://www.carbon-transparency.org/solutions/cucon,PCF calculation; PCF exchange; data collaboration,Promoted as new asset,LCA-SW-0064,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0022,WBCSD PACT Network solution directory,DelZer0,Delta Electronics,http://www.delzer0.com/,https://www.carbon-transparency.org/solutions/delzer0,LCA; PCF calculation; PCF exchange; CCF calculation,Promoted as new asset,LCA-SW-0065,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0023,WBCSD PACT Network solution directory,Digital Sustainability Cloud (DSC),"Institute for Information Industry, Digital Transformation Research Institute",https://www.dsce.com.tw/,https://www.carbon-transparency.org/solutions/digital-sustainability-cloud-dsc,PCF calculation; PCF exchange,Promoted as new asset,LCA-SW-0066,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0024,WBCSD PACT Network solution directory,Ecochain,Ecochain Technologies,https://ecochain.com/mobius/,https://www.carbon-transparency.org/solutions/ecochain,LCA; PCF calculation,Matched existing asset,LCA-SW-0009,Deduplicated against an existing software asset,2026-09-01
SCR-0025,WBCSD PACT Network solution directory,EmVide,Riskoa Ltd,https://emvide.com/,https://www.carbon-transparency.org/solutions/emvide,LCA; PCF calculation,Promoted as new asset,LCA-SW-0067,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0026,WBCSD PACT Network solution directory,ESGpedia Nexus,ESGpedia Pte Ltd,https://esgpedia.io/platform-nexus,https://www.carbon-transparency.org/solutions/esgpedia,PCF calculation; PCF exchange; CCF calculation,Promoted as new asset,LCA-SW-0068,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0027,WBCSD PACT Network solution directory,Evalue8 Sustainability,Evalue8 Sustainability,https://evalue8.net/,https://www.carbon-transparency.org/solutions/evalue8-sustainability,LCA; PCF calculation; PCF exchange; CCF calculation,Promoted as new asset,LCA-SW-0069,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0028,WBCSD PACT Network solution directory,Fitsol,Fitsol,https://fitsol.green/,https://www.carbon-transparency.org/solutions/fitsol,LCA; PCF calculation; CCF calculation,Promoted as new asset,LCA-SW-0070,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0029,WBCSD PACT Network solution directory,Formist,WeCarbon Technology Ltd,https://formist.ai,https://www.carbon-transparency.org/solutions/formist,LCA; PCF calculation; PCF exchange; CCF calculation,Promoted as new asset,LCA-SW-0071,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0030,WBCSD PACT Network solution directory,Fujitsu Track and Trust,Fujitsu Limited,https://www.fujitsu.com/global/about/resources/news/press-releases/2023/0913-01.html,https://www.carbon-transparency.org/solutions/fujitsu-track-and-trust,PCF calculation; CCF calculation; traceability,Promoted as new asset,LCA-SW-0072,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0031,WBCSD PACT Network solution directory,GIC — Green Industry Cloud,Wormhole Technologies Inc.,http://wmholetech.com/en/index_en.html,https://www.carbon-transparency.org/solutions/gic-green-industry-cloud,PCF calculation; CCF calculation; supplier data collection,Promoted as new asset,LCA-SW-0073,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0032,WBCSD PACT Network solution directory,GreenStitch.io,GreenStitch Technologies PVT LTD,https://greenstitch.io/,https://www.carbon-transparency.org/solutions/greenstitch-io,LCA; PCF calculation; CCF calculation,Promoted as new asset,LCA-SW-0074,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0033,WBCSD PACT Network solution directory,HowGood Latis,HowGood,https://howgood.com,https://www.carbon-transparency.org/solutions/howgood,LCA; PCF calculation; PCF exchange; CCF calculation,Promoted as new asset,LCA-SW-0075,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0034,WBCSD PACT Network solution directory,Makersite,Makersite GmbH,https://makersite.com/,https://www.carbon-transparency.org/solutions/makersite,LCA; PCF calculation; PCF exchange; CCF calculation,Matched existing asset,LCA-SW-0018,Deduplicated against an existing software asset,2026-09-01
SCR-0035,WBCSD PACT Network solution directory,Mattermaps,Makersite GmbH,https://www.mattermaps.com/,https://www.carbon-transparency.org/solutions/mattermaps,PCF calculation; PCF exchange; supplier data collection,Promoted as new asset,LCA-SW-0076,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0036,WBCSD PACT Network solution directory,Muir Platform,Muir AI,https://www.muir.ai/,https://www.carbon-transparency.org/solutions/muir-platform,PCF calculation; PCF exchange; supplier data collection,Promoted as new asset,LCA-SW-0077,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0037,WBCSD PACT Network solution directory,Nuoa.io,Nuoa.io,https://nuoa.io,https://www.carbon-transparency.org/solutions/nuoa-io,PCF calculation; PCF exchange; CCF calculation,Promoted as new asset,LCA-SW-0078,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0038,WBCSD PACT Network solution directory,Optchain Carbon Tracking,Optel Group,https://www.optelgroup.com/,https://www.carbon-transparency.org/solutions/optchain-carbon-tracking,LCA; PCF calculation; CCF calculation; traceability,Promoted as new asset,LCA-SW-0079,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0039,WBCSD PACT Network solution directory,Planet FWD,Planet FWD,https://www.planetfwd.com,https://www.carbon-transparency.org/solutions/planet-fwd,LCA; PCF calculation; CCF calculation,Promoted as new asset,LCA-SW-0080,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0040,WBCSD PACT Network solution directory,SAP Sustainability Data Exchange,SAP,https://www.sap.com/products/business-network/sustainability-data-exchange.html,https://www.carbon-transparency.org/solutions/sap-sustainability-data-exchange,PCF exchange,Promoted as new asset,LCA-SW-0081,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0041,WBCSD PACT Network solution directory,Sluicebox,Sluicebox,https://www.sluicebox.ai/,https://www.carbon-transparency.org/solutions/sluicebox,LCA; PCF calculation; PCF exchange; CCF calculation,Promoted as new asset,LCA-SW-0082,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0042,WBCSD PACT Network solution directory,SmartTradzt Carbon Emission,Smart Tradzt,https://www.smarttradzt.com/carbon-emission/,https://www.carbon-transparency.org/solutions/smarttradzt,LCA; PCF calculation; CCF calculation,Promoted as new asset,LCA-SW-0083,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0043,WBCSD PACT Network solution directory,Terralytiq,Terralytiq,https://www.terralytiq.com/,https://www.carbon-transparency.org/solutions/terralytiq,PCF calculation; CCF calculation; supplier data collection,Promoted as new asset,LCA-SW-0084,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0044,WBCSD PACT Network solution directory,Terrascope,Terrascope,https://www.terrascope.com/,https://www.carbon-transparency.org/solutions/terrascope,PCF calculation; PCF exchange; CCF calculation,Promoted as new asset,LCA-SW-0085,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0045,WBCSD PACT Network solution directory,TrueCarbon,Cirrus Nexus,https://www.cirrus-nexus.com/truecarbon,https://www.carbon-transparency.org/solutions/truecarbon-tm,PCF calculation; CCF calculation,Promoted as new asset,LCA-SW-0086,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0046,WBCSD PACT Network solution directory,TT Green,InnoBlock Technology Ltd,https://www.tt-green.com,https://www.carbon-transparency.org/solutions/tt-green,PCF calculation; CCF calculation; supplier data collection,Promoted as new asset,LCA-SW-0087,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0047,WBCSD PACT Network solution directory,Variable,Variable,https://variable.co/,https://www.carbon-transparency.org/solutions/variable,LCA; PCF calculation; CCF calculation,Promoted as new asset,LCA-SW-0088,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0048,WBCSD PACT Network solution directory,YuzeData,YuzeData,https://www.yuzedata.com/,https://www.carbon-transparency.org/solutions/yuzedata,PCF calculation; CCF calculation; traceability,Promoted as new asset,LCA-SW-0089,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0049,WBCSD PACT Network solution directory,ZeroTwentyFifty,ZeroTwentyFifty,https://www.zerotwentyfifty.com/solutions/zerotwentyfifty,https://www.carbon-transparency.org/solutions/zerotwentyfifty,PCF calculation; PCF exchange,Promoted as new asset,LCA-SW-0090,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0050,ecoinvent software tools partner directory,Air.e HdC,Solid Forest,https://www.solidforest.com/,https://ecoinvent.org/partners/?category=software-tools,PCF calculation; CCF calculation; life-cycle approach,Promoted as new asset,LCA-SW-0091,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0051,ecoinvent software tools partner directory,Air.e LCA,Solid Forest,https://www.solidforest.com/,https://ecoinvent.org/partners/?category=software-tools,LCA,Promoted as new asset,LCA-SW-0092,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0052,ecoinvent software tools partner directory,Ansys Granta,Ansys,https://www.ansys.com/products/materials,https://ecoinvent.org/partners/?category=software-tools,environmental impact assessment; materials data; eco-design,Promoted as new asset,LCA-SW-0093,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0053,ecoinvent software tools partner directory,aPriori Manufacturing Insights Platform,aPriori,https://www.apriori.com/,https://ecoinvent.org/partners/?category=software-tools,product emissions estimation; digital twin; eco-design,Promoted as new asset,LCA-SW-0094,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0054,ecoinvent software tools partner directory,ASKOR,EVEA,https://askor.eco/,https://ecoinvent.org/partners/?category=software-tools,LCA; eco-design; ERP / PLM integration,Promoted as new asset,LCA-SW-0095,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0055,ecoinvent software tools partner directory,BEDEC Sustainability,ITeC,https://en.itec.cat/,https://ecoinvent.org/partners/?category=software-tools,life-cycle impact assessment; construction project analysis,Promoted as new asset,LCA-SW-0096,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0056,ecoinvent software tools partner directory,Brightway,Brightway developer community,https://documentation.brightway.dev/en/latest/index.html,https://ecoinvent.org/partners/?category=software-tools,,Matched existing asset,LCA-SW-0002,Deduplicated against an existing software asset,2026-09-01
SCR-0057,ecoinvent software tools partner directory,carbmee,carbmee,https://www.carbmee.com/,https://ecoinvent.org/partners/?category=software-tools,,Matched existing asset,LCA-SW-0052,Deduplicated against an existing software asset,2026-09-01
SCR-0058,ecoinvent software tools partner directory,Ccloud,Carbonstop,https://www.carbonstop.com/en,https://ecoinvent.org/partners/?category=software-tools,PCF calculation; CCF calculation,Promoted as new asset,LCA-SW-0097,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0059,ecoinvent software tools partner directory,3DEXPERIENCE Platform,Dassault Systèmes,https://www.3ds.com/sustainability/circular-economy/eco-design/lifecycle-assessment,https://ecoinvent.org/partners/?category=software-tools,,Matched existing asset,LCA-SW-0044,Deduplicated against an existing software asset,2026-09-01
SCR-0060,ecoinvent software tools partner directory,EarthSmart,EarthShift Global,https://earthshiftglobal.com/earthsmart,https://ecoinvent.org/partners/?category=software-tools,LCA,Promoted as new asset,LCA-SW-0098,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0061,ecoinvent software tools partner directory,eBalance,IKE Environmental Technology,http://www.ike-global.com/,https://ecoinvent.org/partners/?category=software-tools,LCA; PCF calculation,Promoted as new asset,LCA-SW-0099,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0062,ecoinvent software tools partner directory,Eco-Bat 4.0,Eco-Bat,http://www.eco-bat.ch/,https://ecoinvent.org/partners/?category=software-tools,building LCA,Promoted as new asset,LCA-SW-0100,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0063,ecoinvent software tools partner directory,Ecochain,Ecochain Technologies,https://ecochain.com/,https://ecoinvent.org/partners/?category=software-tools,,Matched existing asset,LCA-SW-0009,Deduplicated against an existing software asset,2026-09-01
SCR-0064,ecoinvent software tools partner directory,Ecodesign Studio,Altermaker,https://ecodesign-studio.com/,https://ecoinvent.org/partners/?category=software-tools,LCA; eco-design,Promoted as new asset,LCA-SW-0101,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0065,ecoinvent software tools partner directory,EcodEX,Trace One,https://www.traceone.com/,https://ecoinvent.org/partners/?category=software-tools,PCF calculation; multi-impact product assessment; eco-design,Promoted as new asset,LCA-SW-0102,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0066,ecoinvent software tools partner directory,EcoImpact / COMPASS,Trayak,https://trayak.com/ecoimpact-new-features/,https://ecoinvent.org/partners/?category=software-tools,screening LCA; packaging eco-design,Promoted as new asset,LCA-SW-0103,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0067,ecoinvent software tools partner directory,ECOSPEED Scout,ECOSPEED,https://www.ecospeed.ch/scout/de/,https://ecoinvent.org/partners/?category=software-tools,PCF calculation; environmental assessment,Promoted as new asset,LCA-SW-0104,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0068,ecoinvent software tools partner directory,eFootprint,IKE Environmental Technology,https://www.weblca.net/home,https://ecoinvent.org/partners/?category=software-tools,LCA; PCF calculation; supply-chain management,Promoted as new asset,LCA-SW-0105,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0069,ecoinvent software tools partner directory,eQopack,Quantis and Kleis Technology,https://quantis.com/services-solutions/digital-services/digital-products/eqopack/,https://ecoinvent.org/partners/?category=software-tools,packaging eco-design; life-cycle impact assessment,Promoted as new asset,LCA-SW-0106,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0070,ecoinvent software tools partner directory,eToolLCD,eTool,https://etoolglobal.com/about-etoollcd/,https://ecoinvent.org/partners/?category=software-tools,whole-building LCA,Promoted as new asset,LCA-SW-0107,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0071,ecoinvent software tools partner directory,JimuLCA,Ecodigit,https://www.ecdigit.com/en/,https://ecoinvent.org/partners/?category=software-tools,LCA; PCF calculation; CCF calculation; scenario analysis,Promoted as new asset,LCA-SW-0108,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0072,ecoinvent software tools partner directory,LCA4Waste,"ETH Zurich, Chair of Ecological Systems Design",https://www.ethz.ch/content/specialinterest/baug/institute-ifu/esd/en/downloads/lca4waste.html,https://ecoinvent.org/partners/?category=software-tools,LCA; waste-system comparison,Promoted as new asset,LCA-SW-0109,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0073,ecoinvent software tools partner directory,LCA.no,LCA.no,https://lca.no/,https://ecoinvent.org/partners/?category=software-tools,LCA; environmental documentation; eco-design,Promoted as new asset,LCA-SW-0110,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0074,ecoinvent software tools partner directory,Makersite,Makersite GmbH,https://makersite.io/,https://ecoinvent.org/partners/?category=software-tools,,Matched existing asset,LCA-SW-0018,Deduplicated against an existing software asset,2026-09-01
SCR-0075,ecoinvent software tools partner directory,One Click LCA,One Click LCA,https://oneclicklca.com/,https://ecoinvent.org/partners/?category=software-tools,,Matched existing asset,LCA-SW-0004,Deduplicated against an existing software asset,2026-09-01
SCR-0076,ecoinvent software tools partner directory,openLCA,GreenDelta GmbH,https://www.openlca.org/,https://ecoinvent.org/partners/?category=software-tools,,Matched existing asset,LCA-SW-0003,Deduplicated against an existing software asset,2026-09-01
SCR-0077,ecoinvent software tools partner directory,PackageSmart,EarthShift Global,https://earthshiftglobal.com/packagesmart,https://ecoinvent.org/partners/?category=software-tools,,Matched existing asset,LCA-SW-0021,Deduplicated against an existing software asset,2026-09-01
SCR-0078,ecoinvent software tools partner directory,Persefoni,Persefoni,https://persefoni.com/,https://ecoinvent.org/partners/?category=software-tools,,Excluded from verified software count,,The directory description supports corporate sustainability accounting and disclosure but does not establish LCA or product-footprint calculation for this review.,2026-09-01
SCR-0079,ecoinvent software tools partner directory,Pilario,Pilario,https://www.pilario.com/,https://ecoinvent.org/partners/?category=software-tools,packaging LCA; eco-design; eco-labelling,Promoted as new asset,LCA-SW-0111,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0080,ecoinvent software tools partner directory,PIQET,Lifecycles,https://piqet.com/,https://ecoinvent.org/partners/?category=software-tools,,Matched existing asset,LCA-SW-0022,Deduplicated against an existing software asset,2026-09-01
SCR-0081,ecoinvent software tools partner directory,PLACES,The Circulate Initiative,https://www.thecirculateinitiative.org/ghg-calculator,https://ecoinvent.org/partners/?category=software-tools,GHG calculation; waste-system comparison,Promoted as new asset,LCA-SW-0112,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0082,ecoinvent software tools partner directory,Pleiades ACV,IZUBA énergies,https://www.izuba.fr/logiciels/outils-logiciels/re-2020-acv/,https://ecoinvent.org/partners/?category=software-tools,building LCA; dynamic thermal simulation linkage,Promoted as new asset,LCA-SW-0113,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0083,ecoinvent software tools partner directory,REGIS,sinum,https://sinum.com/regis,https://ecoinvent.org/partners/?category=software-tools,LCA; CCF calculation; regionalized LCI / LCIA,Promoted as new asset,LCA-SW-0114,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0084,ecoinvent software tools partner directory,Resilio,Resilio,https://resilio-solutions.com/en/services/tech,https://ecoinvent.org/partners/?category=software-tools,,Excluded from verified software count,,"The source describes LCA services, training, consulting, and a database but does not identify a distinct software product.",2026-09-01
SCR-0085,ecoinvent software tools partner directory,Sphera LCA for Experts,Sphera,https://sphera.com/,https://ecoinvent.org/partners/?category=software-tools,,Matched existing asset,LCA-SW-0005,Deduplicated against an existing software asset,2026-09-01
SCR-0086,ecoinvent software tools partner directory,SAP Sustainability Footprint Management,SAP,https://www.sap.com/products/scm/sustainability-footprint-management.html,https://ecoinvent.org/partners/?category=software-tools,PCF calculation; enterprise integration,Promoted as new asset,LCA-SW-0115,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0087,ecoinvent software tools partner directory,SimaPro,SimaPro,https://simapro.com/,https://ecoinvent.org/partners/?category=software-tools,,Matched existing asset,LCA-SW-0001,Deduplicated against an existing software asset,2026-09-01
SCR-0088,ecoinvent software tools partner directory,SULCA,Semantum,https://www.semantum.fi/products/SULCA/,https://ecoinvent.org/partners/?category=software-tools,LCA; eco-design; flowsheet modelling,Promoted as new asset,LCA-SW-0116,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0089,ecoinvent software tools partner directory,TEAM 5.4,PwC / Ecobilan,https://www.pwc.fr/dd,https://ecoinvent.org/partners/?category=software-tools,LCA; database modelling,Promoted as new asset,LCA-SW-0117,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0090,ecoinvent software tools partner directory,Umberto,iPoint-systems GmbH,https://www.ipoint-systems.com/software/umberto/,https://ecoinvent.org/partners/?category=software-tools,,Matched existing asset,LCA-SW-0038,Deduplicated against an existing software asset,2026-09-01
SCR-0091,ecoinvent software tools partner directory,Watershed,Watershed,https://watershed.com/,https://ecoinvent.org/partners/?category=software-tools,,Excluded from verified software count,,The directory description supports corporate climate and ESG accounting but does not establish LCA or product-footprint calculation for this review.,2026-09-01
